"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","206.12","205.30","208.00","205.29","7.77K","0.16%"
"06/23/2026","205.80","212.60","213.90","205.25","8.79K","-1.97%"
"06/22/2026","209.93","207.25","214.49","207.25","27.64K","1.40%"
"06/21/2026","207.04","208.80","208.80","206.25","8.42K","0.59%"
"06/17/2026","205.82","206.50","209.00","205.00","10.53K","0.02%"
"06/16/2026","205.78","207.00","208.99","205.11","10.87K","0.36%"
"06/15/2026","205.05","210.80","210.89","205.00","10.08K","-1.30%"
"06/14/2026","207.76","208.00","209.70","205.59","10.81K","1.78%"
"06/11/2026","204.13","205.00","209.00","202.85","37.38K","1.97%"
"06/10/2026","200.18","223.99","224.70","200.00","54.43K","-9.17%"
"06/09/2026","220.40","212.77","231.00","211.65","130.51K","4.13%"
"06/08/2026","211.65","207.08","213.00","206.00","10.06K","-0.02%"
"06/07/2026","211.70","212.80","214.00","200.40","7.86K","0.27%"
"06/04/2026","211.12","210.62","214.60","210.62","18.40K","0.24%"
"06/03/2026","210.62","211.38","218.00","209.30","58.95K","-0.36%"
"06/02/2026","211.38","207.00","214.94","206.00","53.08K","2.12%"
"06/01/2026","207.00","203.90","207.50","202.53","21.50K","2.66%"
"05/25/2026","201.64","202.99","208.00","199.25","20.78K","0.29%"
"05/24/2026","201.06","200.00","204.99","198.40","11.06K","1.36%"
"05/21/2026","198.37","200.00","210.00","195.10","22.71K","-0.46%"
"05/20/2026","199.29","209.00","209.70","198.01","29.52K","-2.37%"
"05/19/2026","204.13","205.01","214.00","202.15","32.48K","-0.41%"
"05/18/2026","204.98","215.40","218.00","203.40","31.41K","-3.57%"
"05/17/2026","212.57","218.02","220.00","211.03","28.97K","-2.36%"
"05/14/2026","217.71","223.00","225.00","217.50","32.64K","-2.06%"
"05/13/2026","222.30","224.00","233.00","221.00","51.13K","-0.76%"
"05/12/2026","224.00","218.00","224.95","214.00","54.15K","2.79%"
"05/11/2026","217.93","220.10","223.99","215.33","36.30K","-0.83%"
"05/10/2026","219.76","220.00","223.95","218.00","60.26K","0.35%"
"05/06/2026","219.00","228.00","249.99","217.50","317.61K","-1.35%"
"05/05/2026","222.00","220.00","233.00","219.00","181.11K","1.57%"
"05/04/2026","218.57","222.10","235.50","211.15","218.34K","0.26%"
"05/03/2026","218.00","248.95","256.93","216.00","606.00K","1.82%"
"04/30/2026","214.11","179.97","214.11","177.50","557.34K","20.00%"
"04/29/2026","178.43","180.01","182.00","177.61","24.33K","-0.78%"
"04/28/2026","179.84","182.00","184.00","179.78","41.64K","-0.64%"
"04/27/2026","181.00","177.00","186.00","176.00","109.11K","4.16%"
"04/26/2026","173.77","174.01","177.79","172.33","41.69K","0.01%"
"04/23/2026","173.75","169.80","179.00","169.80","102.77K","2.39%"
"04/22/2026","169.70","170.00","172.00","169.00","6.85K","0.08%"
"04/21/2026","169.57","170.00","172.99","168.76","10.32K","0.18%"
"04/20/2026","169.27","171.00","174.00","168.53","14.07K","-2.14%"
"04/19/2026","172.97","174.00","174.48","170.00","25.32K","-0.02%"
"04/16/2026","173.00","168.01","174.50","168.01","93.73K","3.75%"
"04/15/2026","166.75","164.15","170.95","164.15","32.62K","1.93%"
"04/14/2026","163.60","165.55","165.55","163.00","11.44K","-0.23%"
"04/12/2026","163.98","165.06","163.98","163.98","12.90K","0.00%"
"04/09/2026","163.98","165.87","165.87","163.51","12.90K","-0.65%"
"04/08/2026","165.06","164.04","166.89","164.04","11.44K","1.26%"
"04/07/2026","163.00","165.99","168.95","163.00","47.46K","-0.36%"
"04/06/2026","163.59","163.12","169.70","163.08","20.78K","0.29%"
