"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2.69","2.71","2.72","2.69","5.20M","-0.37%"
"06/23/2026","2.70","2.75","2.76","2.69","9.44M","-1.46%"
"06/22/2026","2.74","2.79","2.79","2.74","4.71M","-1.44%"
"06/21/2026","2.78","2.72","2.81","2.72","12.53M","1.83%"
"06/17/2026","2.73","2.73","2.73","2.71","2.74M","0.37%"
"06/16/2026","2.72","2.73","2.74","2.71","1.89M","0.37%"
"06/15/2026","2.71","2.74","2.75","2.71","4.10M","-0.37%"
"06/14/2026","2.72","2.73","2.75","2.71","3.62M","0.74%"
"06/11/2026","2.70","2.73","2.73","2.70","4.35M","-1.10%"
"06/10/2026","2.73","2.75","2.78","2.73","13.13M","-0.73%"
"06/09/2026","2.75","2.74","2.76","2.73","13.72M","0.36%"
"06/08/2026","2.74","2.74","2.75","2.73","5.68M","-0.36%"
"06/07/2026","2.75","2.76","2.78","2.75","4.71M","-0.36%"
"06/04/2026","2.76","2.77","2.81","2.76","16.24M","0.00%"
"06/03/2026","2.76","2.79","2.79","2.75","7.78M","-0.72%"
"06/02/2026","2.78","2.80","2.80","2.77","5.40M","-0.71%"
"06/01/2026","2.80","2.77","2.81","2.75","8.72M","1.82%"
"05/25/2026","2.75","2.78","2.79","2.75","2.29M","-0.72%"
"05/24/2026","2.77","2.77","2.78","2.74","2.93M","1.09%"
"05/21/2026","2.74","2.73","2.76","2.73","3.54M","0.37%"
"05/20/2026","2.73","2.80","2.82","2.73","8.78M","-2.15%"
"05/19/2026","2.79","2.79","2.81","2.78","5.94M","0.36%"
"05/18/2026","2.78","2.82","2.84","2.78","17.87M","-1.77%"
"05/17/2026","2.83","2.88","2.90","2.83","8.14M","-1.74%"
"05/14/2026","2.88","2.89","2.89","2.86","7.15M","-0.35%"
"05/13/2026","2.89","2.91","2.93","2.87","8.88M","-0.34%"
"05/12/2026","2.90","2.90","2.93","2.87","19.89M","0.35%"
"05/11/2026","2.89","2.81","2.92","2.80","38.90M","2.85%"
"05/10/2026","2.81","2.80","2.83","2.79","8.31M","0.72%"
"05/06/2026","2.79","2.82","2.85","2.79","13.65M","-0.71%"
"05/05/2026","2.81","2.80","2.82","2.78","7.50M","0.72%"
"05/04/2026","2.79","2.85","2.86","2.78","24.78M","-1.76%"
"05/03/2026","2.84","2.85","2.88","2.83","17.53M","0.00%"
"04/30/2026","2.84","2.82","2.86","2.80","9.69M","1.07%"
"04/29/2026","2.81","2.79","2.87","2.76","11.99M","0.72%"
"04/28/2026","2.79","2.81","2.82","2.79","4.42M","-0.71%"
"04/27/2026","2.81","2.81","2.83","2.79","6.00M","0.36%"
"04/26/2026","2.80","2.83","2.85","2.80","8.84M","0.00%"
"04/23/2026","2.80","2.80","2.90","2.79","21.01M","0.36%"
