"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","1.480","1.550","1.550","1.510","45.82K","0.00%"
"06/23/2026","1.480","1.550","1.550","1.500","58.50K","0.00%"
"06/22/2026","1.480","1.550","1.550","1.530","105.34K","0.00%"
"06/21/2026","1.480","1.510","1.550","1.490","161.72K","0.00%"
"06/17/2026","1.480","1.450","1.550","1.450","87.73K","0.00%"
"06/16/2026","1.480","1.550","1.550","1.420","155.14K","0.00%"
"06/15/2026","1.480","1.550","1.550","1.490","74.82K","0.00%"
"06/14/2026","1.480","1.550","1.550","1.470","133.88K","0.00%"
"06/11/2026","1.480","1.480","1.490","1.460","202.54K","4.23%"
"06/10/2026","1.420","1.460","1.490","1.450","80.66K","0.00%"
"06/09/2026","1.420","1.490","1.490","1.440","178.66K","0.00%"
"06/08/2026","1.420","1.490","1.490","1.490","70.42K","0.00%"
"06/07/2026","1.420","1.490","1.490","1.490","178.53K","0.00%"
"06/04/2026","1.420","1.470","1.490","1.400","67.01K","0.00%"
"06/03/2026","1.420","1.430","1.480","1.390","245.19K","0.71%"
"06/02/2026","1.410","1.410","1.480","1.410","54.61K","0.00%"
"06/01/2026","1.410","1.430","1.480","1.350","47.85K","0.00%"
"05/25/2026","1.410","1.480","1.480","1.370","25.21K","0.00%"
"05/24/2026","1.410","1.480","1.480","1.340","62.31K","0.00%"
"05/21/2026","1.410","1.480","1.480","1.420","16.82K","0.00%"
"05/20/2026","1.410","1.480","1.480","1.390","110.56K","0.00%"
"05/19/2026","1.410","1.450","1.480","1.400","24.22K","0.00%"
"05/18/2026","1.410","1.480","1.480","1.410","87.44K","0.00%"
"05/17/2026","1.410","1.460","1.480","1.450","113.41K","0.00%"
"05/14/2026","1.410","1.470","1.480","1.470","61.28K","0.00%"
"05/13/2026","1.410","1.530","1.530","1.400","275.78K","-4.08%"
"05/12/2026","1.470","1.540","1.540","1.470","110.88K","0.00%"
"05/11/2026","1.470","1.540","1.540","1.540","115.36K","0.00%"
"05/10/2026","1.470","1.540","1.540","1.540","71.08K","0.00%"
"05/06/2026","1.470","1.540","1.540","1.470","103.48K","0.00%"
"05/05/2026","1.470","1.470","1.470","1.410","204.18K","5.00%"
"05/04/2026","1.400","1.470","1.470","1.470","95.08K","0.00%"
"05/03/2026","1.400","1.400","1.400","1.400","215.02K","4.48%"
"04/30/2026","1.340","1.400","1.400","1.400","12.37K","0.00%"
"04/29/2026","1.340","1.340","1.340","1.340","260.00K","4.69%"
"04/28/2026","1.280","1.340","1.340","1.340","10.78K","0.00%"
"04/27/2026","1.280","1.280","1.280","1.280","234.96K","4.92%"
"04/26/2026","1.220","1.220","1.220","1.220","348.71K","4.27%"
"04/23/2026","1.170","1.220","1.220","1.220","1.83K","0.00%"
"04/22/2026","1.170","1.220","1.220","1.220","1.00K","0.00%"
"04/21/2026","1.170","1.220","1.220","1.220","59.20K","0.00%"
"04/20/2026","1.170","1.220","1.220","1.220","0.06K","0.00%"
"04/19/2026","1.170","1.220","1.220","1.220","41.06K","0.00%"
"04/16/2026","1.170","1.220","1.220","1.220","0.02K","0.00%"
"04/15/2026","1.170","1.220","1.220","1.220","3.02K","0.00%"
"04/14/2026","1.170","1.220","1.220","1.220","0.01K","0.00%"
"04/12/2026","1.170","1.220","1.170","1.170","","0.00%"
"04/09/2026","1.170","1.220","1.170","1.170","","0.00%"
"04/08/2026","1.170","1.220","1.170","1.170","","0.00%"
"04/07/2026","1.170","1.220","1.220","1.190","60.66K","0.00%"
"04/06/2026","1.170","1.220","1.220","1.220","31.07K","0.00%"
"04/05/2026","1.170","1.220","1.220","1.220","5.45K","0.00%"
"04/02/2026","1.170","1.220","1.220","1.220","30.03K","0.00%"
"04/01/2026","1.170","1.220","1.220","1.220","33.54K","0.00%"
"03/31/2026","1.170","1.220","1.220","1.220","1.68K","0.00%"
"03/30/2026","1.170","1.220","1.220","1.220","135.30K","0.00%"
"03/29/2026","1.170","1.220","1.220","1.220","18.93K","0.00%"
"03/26/2026","1.170","1.220","1.220","1.220","51.97K","0.00%"
"03/25/2026","1.170","1.140","1.220","1.140","172.16K","0.00%"
"03/24/2026","1.170","1.190","1.190","1.120","25.74K","0.00%"
"03/18/2026","1.170","1.190","1.190","1.130","25.72K","0.00%"
"03/17/2026","1.170","1.190","1.200","1.120","115.03K","0.00%"
"03/16/2026","1.170","1.190","1.200","1.130","43.57K","0.00%"
"03/15/2026","1.170","1.150","1.190","1.120","133.72K","0.00%"
"03/12/2026","1.170","1.120","1.150","1.120","2.40K","0.00%"
"03/11/2026","1.170","1.150","1.150","1.120","66.64K","0.00%"
"03/10/2026","1.170","1.140","1.150","1.120","42.12K","0.00%"
"03/09/2026","1.170","1.130","1.140","1.130","14.52K","0.00%"
"03/08/2026","1.170","1.120","1.140","1.120","24.09K","0.00%"
"03/05/2026","1.170","1.120","1.140","1.120","27.08K","0.00%"
"03/04/2026","1.170","1.120","1.130","1.120","117.18K","0.00%"
"03/03/2026","1.170","1.120","1.170","1.170","","0.00%"
"03/02/2026","1.170","1.120","1.120","1.120","6.47K","0.00%"
"03/01/2026","1.170","1.120","1.120","1.120","1.27K","0.00%"
"02/26/2026","1.170","1.170","1.170","1.170","","0.00%"
"02/25/2026","1.170","1.120","1.120","1.120","1.97K","0.00%"
"02/24/2026","1.170","1.140","1.140","1.120","120.37K","0.00%"
"02/23/2026","1.170","1.140","1.140","1.120","145.86K","0.00%"
"02/22/2026","1.170","1.120","1.150","1.120","34.35K","0.00%"
"02/19/2026","1.170","1.130","1.160","1.120","27.69K","0.00%"
"02/18/2026","1.170","1.150","1.160","1.130","41.14K","0.00%"
"02/17/2026","1.170","1.130","1.140","1.120","111.82K","0.00%"
"02/16/2026","1.170","1.150","1.150","1.130","3.75K","0.00%"
"02/15/2026","1.170","1.170","1.170","1.120","10.71K","0.00%"
"02/12/2026","1.170","1.190","1.190","1.130","10.33K","0.00%"
"02/11/2026","1.170","1.130","1.220","1.120","134.30K","0.00%"
"02/10/2026","1.170","1.190","1.190","1.120","107.38K","0.00%"
"02/09/2026","1.170","1.180","1.220","1.120","85.76K","0.00%"
"02/08/2026","1.170","1.140","1.220","1.120","58.62K","0.00%"
"02/05/2026","1.170","1.170","1.170","1.080","281.92K","4.46%"
"02/04/2026","1.120","1.120","1.170","1.080","151.32K","0.00%"
"02/03/2026","1.120","1.140","1.150","1.070","43.87K","0.00%"
"02/02/2026","1.120","1.090","1.150","1.080","25.13K","0.00%"
"02/01/2026","1.120","1.150","1.160","1.090","42.75K","0.00%"
