"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","5.10","5.13","5.20","5.08","898.60K","-0.58%"
"06/23/2026","5.13","5.25","5.35","5.10","2.82M","-2.47%"
"06/22/2026","5.26","5.36","5.40","5.26","1.68M","-1.87%"
"06/21/2026","5.36","5.19","5.38","5.17","4.17M","3.47%"
"06/17/2026","5.18","5.20","5.20","5.10","719.77K","0.39%"
"06/16/2026","5.16","5.20","5.23","5.09","1.05M","-0.77%"
"06/15/2026","5.20","4.91","5.27","4.84","3.87M","5.69%"
"06/14/2026","4.92","4.87","4.95","4.77","478.76K","4.46%"
"06/11/2026","4.71","4.84","4.91","4.70","644.38K","-2.69%"
"06/10/2026","4.84","5.04","5.06","4.80","656.42K","-4.35%"
"06/09/2026","5.06","5.05","5.10","5.00","658.81K","0.80%"
"06/08/2026","5.02","5.00","5.06","4.95","791.78K","0.40%"
"06/07/2026","5.00","4.92","5.10","4.85","1.16M","1.63%"
"06/04/2026","4.92","4.92","4.94","4.81","1.15M","0.00%"
"06/03/2026","4.92","4.94","4.98","4.89","691.72K","0.20%"
"06/02/2026","4.91","4.90","4.98","4.85","1.00M","1.24%"
"06/01/2026","4.85","4.92","4.93","4.79","299.43K","0.41%"
"05/25/2026","4.83","4.85","4.93","4.78","428.38K","-0.41%"
"05/24/2026","4.85","4.79","4.87","4.77","347.58K","2.11%"
"05/21/2026","4.75","4.87","4.87","4.73","779.01K","0.42%"
"05/20/2026","4.73","4.87","4.95","4.71","741.18K","-3.27%"
"05/19/2026","4.89","4.83","4.97","4.75","517.79K","1.24%"
"05/18/2026","4.83","5.07","5.07","4.83","961.30K","-4.17%"
"05/17/2026","5.04","5.23","5.23","5.02","789.28K","-3.26%"
"05/14/2026","5.21","5.23","5.30","5.18","549.90K","-0.38%"
"05/13/2026","5.23","5.37","5.41","5.19","2.46M","-2.61%"
"05/12/2026","5.37","5.34","5.38","5.20","1.71M","0.75%"
"05/11/2026","5.33","5.31","5.44","5.25","4.67M","0.76%"
"05/10/2026","5.29","5.20","5.31","5.00","3.42M","2.32%"
"05/06/2026","5.17","5.22","5.27","5.09","1.89M","-0.96%"
"05/05/2026","5.22","5.06","5.24","5.00","3.77M","4.40%"
"05/04/2026","5.00","4.80","5.05","4.75","3.97M","4.17%"
"05/03/2026","4.80","4.66","4.80","4.64","1.41M","3.67%"
"04/30/2026","4.63","4.69","4.72","4.62","2.46M","-1.49%"
"04/29/2026","4.70","4.74","4.74","4.69","487.34K","-0.42%"
"04/28/2026","4.72","4.78","4.78","4.70","508.86K","-0.42%"
"04/27/2026","4.74","4.78","4.80","4.73","458.94K","-0.84%"
"04/26/2026","4.78","4.86","4.90","4.76","548.91K","-1.65%"
"04/23/2026","4.86","4.83","4.91","4.81","2.37M","0.83%"
"04/22/2026","4.82","4.73","4.85","4.71","2.85M","1.90%"
"04/21/2026","4.73","4.62","4.76","4.62","5.65M","1.72%"
"04/20/2026","4.65","4.64","4.65","4.59","3.23M","1.09%"
"04/19/2026","4.60","4.66","4.69","4.58","3.44M","-1.29%"
"04/16/2026","4.66","4.69","4.75","4.65","2.26M","-0.43%"
"04/15/2026","4.68","4.61","4.75","4.54","4.05M","2.18%"
"04/14/2026","4.58","4.64","4.69","4.57","2.00M","-1.29%"
"04/12/2026","4.64","4.90","4.64","4.64","4.24M","0.00%"
"04/09/2026","4.64","4.60","4.67","4.54","4.24M","-5.31%"
"04/08/2026","4.90","4.77","4.90","4.74","3.98M","3.59%"
"04/07/2026","4.73","4.71","4.78","4.71","3.36M","-0.42%"
"04/06/2026","4.75","4.75","4.77","4.70","1.92M","0.42%"
"04/05/2026","4.73","4.72","4.79","4.72","2.67M","0.21%"
"04/02/2026","4.72","4.74","4.77","4.68","3.15M","-0.42%"
"04/01/2026","4.74","4.71","4.85","4.68","6.45M","1.50%"
"03/31/2026","4.67","4.65","4.73","4.60","3.52M","1.08%"
"03/30/2026","4.62","4.71","4.76","4.59","4.67M","-1.28%"
"03/29/2026","4.68","4.75","4.81","4.57","13.29M","-3.90%"
"03/26/2026","4.87","5.40","5.68","4.85","18.92M","-9.81%"
"03/25/2026","5.40","5.53","5.61","5.36","5.08M","-1.82%"
"03/24/2026","5.50","5.11","5.54","5.09","28.00M","7.84%"
"03/18/2026","5.10","4.73","5.11","4.71","15.87M","8.28%"
"03/17/2026","4.71","4.56","4.71","4.56","1.79M","3.06%"
"03/16/2026","4.57","4.63","4.67","4.51","2.02M","-1.51%"
"03/15/2026","4.64","4.76","4.78","4.60","1.51M","-1.49%"
"03/12/2026","4.71","4.65","4.84","4.60","5.65M","1.07%"
"03/11/2026","4.66","4.71","4.73","4.62","1.95M","-0.85%"
"03/10/2026","4.70","4.62","4.75","4.60","6.49M","2.17%"
"03/09/2026","4.60","4.35","4.60","4.29","9.41M","6.48%"
"03/08/2026","4.32","4.25","4.32","4.23","2.10M","1.65%"
"03/05/2026","4.25","4.18","4.29","4.18","2.24M","1.43%"
"03/04/2026","4.19","4.19","4.22","4.16","1.03M","0.00%"
"03/03/2026","4.19","4.22","4.27","4.16","1.73M","-0.48%"
"03/02/2026","4.21","4.15","4.24","4.13","2.84M","2.18%"
"03/01/2026","4.12","3.98","4.18","3.98","2.22M","-3.06%"
"02/26/2026","4.25","4.11","4.25","4.07","3.24M","3.66%"
"02/25/2026","4.10","4.11","4.15","4.01","1.84M","0.00%"
"02/24/2026","4.10","4.16","4.18","4.10","717.71K","-1.44%"
"02/23/2026","4.16","4.08","4.17","4.08","786.14K","1.96%"
"02/22/2026","4.08","4.15","4.16","4.06","917.11K","-1.21%"
"02/19/2026","4.13","4.20","4.23","4.10","1.36M","-1.67%"
"02/18/2026","4.20","4.23","4.23","4.19","1.20M","-0.24%"
"02/17/2026","4.21","4.15","4.23","4.14","2.36M","1.69%"
"02/16/2026","4.14","4.23","4.25","4.14","2.38M","-1.19%"
"02/15/2026","4.19","4.22","4.25","4.18","1.57M","-0.24%"
"02/12/2026","4.20","4.18","4.34","4.17","9.22M","1.20%"
"02/11/2026","4.15","4.20","4.23","4.14","1.93M","-0.72%"
"02/10/2026","4.18","4.14","4.21","4.10","3.98M","1.70%"
"02/09/2026","4.11","4.06","4.17","4.05","2.62M","1.48%"
