"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","70.56","69.30","71.00","69.11","14.77K","0.68%"
"06/23/2026","70.08","70.38","71.00","69.30","28.66K","-0.86%"
"06/22/2026","70.69","70.57","71.39","70.34","9.39K","-0.13%"
"06/21/2026","70.78","71.55","71.55","70.32","19.80K","-0.56%"
"06/17/2026","71.18","71.00","71.65","70.66","11.31K","-0.07%"
"06/16/2026","71.23","71.98","72.00","71.00","11.66K","-0.17%"
"06/15/2026","71.35","72.34","72.97","70.93","25.34K","-0.61%"
"06/14/2026","71.79","69.43","71.99","69.43","31.48K","4.59%"
"06/11/2026","68.64","70.53","70.79","67.00","25.86K","-2.68%"
"06/10/2026","70.53","73.40","73.40","70.00","42.76K","-3.32%"
"06/09/2026","72.95","72.81","73.49","72.30","15.59K","0.21%"
"06/08/2026","72.80","73.30","74.50","72.11","43.92K","-0.86%"
"06/07/2026","73.43","73.00","74.69","71.61","85.64K","0.31%"
"06/04/2026","73.20","72.76","73.50","71.50","36.85K","0.60%"
"06/03/2026","72.76","73.03","73.42","72.08","25.04K","-0.36%"
"06/02/2026","73.02","73.97","74.32","72.08","30.94K","-0.46%"
"06/01/2026","73.36","72.00","73.86","72.00","30.37K","1.89%"
"05/25/2026","72.00","71.00","74.51","70.31","109.59K","2.53%"
"05/24/2026","70.22","70.98","70.99","70.01","26.79K","0.36%"
"05/21/2026","69.97","72.10","72.99","69.33","85.89K","-2.89%"
"05/20/2026","72.05","74.85","77.45","72.05","144.49K","-3.39%"
"05/19/2026","74.58","74.50","76.48","74.32","40.61K","0.53%"
"05/18/2026","74.19","77.20","77.85","74.12","102.35K","-2.89%"
"05/17/2026","76.40","78.62","80.89","76.26","370.74K","0.47%"
"05/14/2026","76.04","76.00","77.48","74.72","226.31K","0.73%"
"05/13/2026","75.49","74.35","75.50","74.00","97.15K","2.01%"
"05/12/2026","74.00","75.44","76.00","73.80","84.42K","-1.84%"
"05/11/2026","75.39","76.15","76.50","74.50","141.80K","-0.03%"
"05/10/2026","75.41","75.00","77.50","75.00","302.05K","1.22%"
"05/06/2026","74.50","78.00","78.49","74.00","401.75K","-3.99%"
"05/05/2026","77.60","69.00","79.80","68.20","1.09M","11.02%"
"05/04/2026","69.90","70.75","70.75","68.00","129.42K","-1.20%"
"05/03/2026","70.75","68.20","71.50","68.13","380.13K","3.86%"
"04/30/2026","68.12","67.85","68.65","67.11","119.02K","0.81%"
"04/29/2026","67.57","67.84","67.99","67.02","100.46K","0.57%"
"04/28/2026","67.19","68.30","68.75","67.00","90.57K","-1.48%"
"04/27/2026","68.20","68.00","70.39","67.72","338.73K","1.91%"
"04/26/2026","66.92","68.10","68.50","66.60","141.27K","-0.84%"
"04/23/2026","67.49","68.60","69.95","67.07","155.58K","-1.47%"
"04/22/2026","68.50","66.44","69.00","66.43","167.23K","3.46%"
"04/21/2026","66.21","65.65","66.64","65.50","78.77K","0.76%"
"04/20/2026","65.71","66.69","66.80","65.10","59.61K","-0.99%"
"04/19/2026","66.37","66.00","66.90","65.05","224.24K","3.22%"
"04/16/2026","64.30","62.30","65.74","62.00","370.69K","3.78%"
"04/15/2026","61.96","61.80","62.16","61.08","64.19K","1.46%"
"04/14/2026","61.07","61.93","62.80","61.03","71.82K","-0.70%"
"04/12/2026","61.50","61.64","61.50","61.50","174.75K","0.00%"
"04/09/2026","61.50","61.64","63.01","61.31","174.75K","-0.23%"
"04/08/2026","61.64","61.69","62.39","60.35","165.10K","2.39%"
"04/07/2026","60.20","59.70","62.49","59.00","337.21K","0.84%"
"04/06/2026","59.70","59.25","61.74","59.25","241.63K","0.78%"
"04/05/2026","59.24","57.99","61.25","57.99","167.62K","2.24%"
"04/02/2026","57.94","59.79","59.79","57.51","48.87K","-2.41%"
"04/01/2026","59.37","56.99","59.90","56.00","153.61K","4.60%"
"03/31/2026","56.76","57.20","57.40","56.02","24.32K","-0.23%"
"03/30/2026","56.89","58.20","59.50","55.20","77.30K","-2.28%"
"03/29/2026","58.22","59.48","60.30","58.05","17.76K","-2.12%"
"03/26/2026","59.48","57.30","62.40","57.30","327.03K","3.95%"
"03/25/2026","57.22","57.00","58.00","57.00","36.96K","0.39%"
"03/24/2026","57.00","57.17","57.46","56.10","24.72K","-0.04%"
"03/18/2026","57.02","56.97","57.15","56.41","22.09K","0.99%"
"03/17/2026","56.46","56.80","57.25","56.00","20.93K","-1.03%"
"03/16/2026","57.05","57.00","58.85","56.50","57.43K","0.49%"
"03/15/2026","56.77","57.17","57.98","56.58","18.75K","-0.70%"
"03/12/2026","57.17","58.34","59.90","57.05","89.62K","-2.01%"
"03/11/2026","58.34","57.25","60.00","57.00","199.47K","2.28%"
"03/10/2026","57.04","56.50","57.25","56.00","28.06K","1.91%"
"03/09/2026","55.97","56.20","56.94","55.00","17.63K","-0.39%"
"03/08/2026","56.19","57.25","58.29","56.00","21.06K","-1.02%"
"03/05/2026","56.77","56.24","57.50","56.05","15.58K","1.32%"
"03/04/2026","56.03","56.35","57.50","55.85","15.99K","-0.30%"
"03/03/2026","56.20","57.00","57.99","56.00","20.20K","-1.51%"
"03/02/2026","57.06","53.80","58.25","53.00","66.14K","8.38%"
"03/01/2026","52.65","54.00","54.99","51.30","41.32K","-6.52%"
"02/26/2026","56.32","56.90","57.99","56.00","31.30K","0.16%"
"02/25/2026","56.23","59.00","59.59","55.60","30.80K","-4.69%"
"02/24/2026","59.00","60.00","60.49","58.80","37.18K","-0.24%"
"02/23/2026","59.14","59.35","60.50","59.00","28.33K","-0.29%"
"02/22/2026","59.31","60.10","60.40","59.00","32.14K","-1.95%"
"02/19/2026","60.49","61.76","61.76","60.10","29.27K","-1.03%"
"02/18/2026","61.12","61.60","61.83","61.06","25.52K","-0.78%"
"02/17/2026","61.60","61.50","61.88","61.40","18.72K","0.16%"
"02/16/2026","61.50","61.50","61.98","61.40","38.14K","0.03%"
"02/15/2026","61.48","62.55","62.55","61.03","69.43K","-1.16%"
"02/12/2026","62.20","61.92","62.55","61.68","20.64K","0.35%"
"02/11/2026","61.98","62.51","63.20","61.80","33.60K","-0.05%"
"02/10/2026","62.01","62.41","62.80","61.50","36.69K","-0.64%"
"02/09/2026","62.41","63.15","63.90","61.70","19.87K","-1.11%"
"02/08/2026","63.11","62.08","63.89","62.08","55.61K","0.77%"
"02/05/2026","62.63","63.52","64.45","62.10","90.92K","-1.20%"
"02/04/2026","63.39","63.10","65.99","63.05","343.54K","0.57%"
"02/03/2026","63.03","61.48","63.20","61.10","143.35K","2.89%"
"02/02/2026","61.26","60.94","61.50","60.52","26.48K","0.53%"
"02/01/2026","60.94","61.58","61.58","60.16","39.73K","-0.96%"
"01/28/2026","61.53","61.55","62.10","59.50","112.36K","-0.03%"
"01/27/2026","61.55","59.80","61.74","59.17","112.73K","3.64%"
