"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","48.40","48.90","49.80","48.02","25.98K","-1.08%"
"06/23/2026","48.93","50.15","50.15","48.26","51.62K","-1.41%"
"06/22/2026","49.63","49.93","51.45","49.50","125.98K","-0.26%"
"06/21/2026","49.76","49.00","50.00","48.91","60.96K","2.05%"
"06/17/2026","48.76","49.39","49.65","48.30","39.18K","-0.29%"
"06/16/2026","48.90","48.85","49.30","48.60","8.30K","0.04%"
"06/15/2026","48.88","49.65","49.99","48.50","27.37K","-1.51%"
"06/14/2026","49.63","49.01","50.00","49.01","36.29K","3.18%"
"06/11/2026","48.10","49.85","50.00","48.00","30.69K","-3.51%"
"06/10/2026","49.85","50.99","51.47","49.50","93.87K","-1.38%"
"06/09/2026","50.55","50.73","51.69","50.50","65.16K","-0.16%"
"06/08/2026","50.63","50.99","51.19","50.50","31.34K","-0.32%"
"06/07/2026","50.79","50.56","51.83","50.31","43.13K","0.67%"
"06/04/2026","50.45","51.19","51.95","50.26","76.48K","-1.06%"
"06/03/2026","50.99","52.30","52.52","48.00","85.78K","-2.11%"
"06/02/2026","52.09","53.12","53.50","52.00","115.72K","-1.66%"
"06/01/2026","52.97","52.52","53.60","52.52","38.62K","1.28%"
"05/25/2026","52.30","53.10","53.63","52.30","63.97K","-1.51%"
"05/24/2026","53.10","54.00","54.00","53.05","64.55K","-0.21%"
"05/21/2026","53.21","54.00","54.49","53.00","65.39K","-0.84%"
"05/20/2026","53.66","53.92","55.50","53.00","202.44K","-0.63%"
"05/19/2026","54.00","53.50","54.38","52.32","69.18K","1.77%"
"05/18/2026","53.06","53.56","54.00","53.00","66.39K","-0.95%"
"05/17/2026","53.57","55.09","55.69","53.51","111.60K","-2.32%"
"05/14/2026","54.84","54.22","57.50","54.11","235.38K","1.78%"
"05/13/2026","53.88","54.95","54.95","53.10","94.95K","-0.85%"
"05/12/2026","54.34","54.99","55.98","52.70","226.14K","-1.00%"
"05/11/2026","54.89","56.90","56.98","54.70","217.93K","-2.83%"
"05/10/2026","56.49","57.91","57.99","55.76","121.93K","-2.45%"
"05/06/2026","57.91","57.65","59.00","55.80","185.27K","1.10%"
"05/05/2026","57.28","56.12","62.44","55.03","701.51K","2.18%"
"05/04/2026","56.06","61.30","62.48","55.00","616.97K","-8.23%"
"05/03/2026","61.09","57.77","65.87","55.87","930.19K","9.34%"
"04/30/2026","55.87","50.98","55.87","50.00","1.33M","20.00%"
"04/29/2026","46.56","43.22","46.56","38.50","815.40K","20.00%"
"04/28/2026","38.80","38.20","38.80","36.52","221.84K","19.99%"
"04/27/2026","32.34","33.83","33.83","31.55","978.32K","-3.31%"
"04/26/2026","33.44","29.48","34.65","29.02","2.76M","15.32%"
"04/23/2026","29.00","29.64","29.93","28.51","216.24K","1.83%"
"04/22/2026","28.48","29.48","30.25","28.12","281.99K","-3.00%"
"04/21/2026","29.36","27.69","32.33","27.68","1.39M","-44.34%"
"04/20/2026","52.74","52.90","53.65","52.00","83.29K","0.40%"
"04/19/2026","52.53","53.51","54.00","52.53","88.20K","-0.89%"
"04/16/2026","53.00","54.69","54.97","52.26","205.42K","0.47%"
"04/15/2026","52.75","49.00","54.50","49.00","682.24K","11.76%"
"04/14/2026","47.20","47.50","47.70","47.00","25.33K","1.07%"
"04/12/2026","46.70","46.59","46.70","46.70","151.46K","0.00%"
