"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","21.20","21.20","21.20","21.20","320.90K","-20.00%"
"06/23/2026","26.50","26.50","26.50","26.50","125.71K","-19.99%"
"06/22/2026","33.12","33.12","33.12","33.12","98.87K","-20.00%"
"06/21/2026","41.40","36.72","41.40","41.40","","0.00%"
"06/17/2026","41.40","36.72","41.40","34.50","8.21M","20.00%"
"06/16/2026","34.50","31.25","34.50","29.80","7.94M","20.00%"
"06/15/2026","28.75","24.20","28.75","24.02","7.03M","19.99%"
"06/14/2026","23.96","22.60","24.30","21.80","5.78M","10.67%"
"06/11/2026","21.65","20.20","22.80","18.13","6.62M","9.62%"
"06/10/2026","19.75","18.99","21.99","18.25","8.52M","6.07%"
"06/09/2026","18.62","15.53","18.62","15.16","7.23M","19.97%"
"06/08/2026","15.52","15.72","16.04","15.26","2.53M","-1.15%"
"06/07/2026","15.70","14.08","15.70","14.00","4.05M","11.74%"
"06/04/2026","14.05","14.02","14.12","13.82","401.34K","0.21%"
"06/03/2026","14.02","14.20","14.27","14.02","354.76K","-0.78%"
"06/02/2026","14.13","14.19","14.31","14.10","523.66K","-0.07%"
"06/01/2026","14.14","14.20","14.40","14.10","504.56K","0.64%"
"05/25/2026","14.05","14.27","14.65","14.02","1.17M","-0.14%"
"05/24/2026","14.07","14.50","14.50","14.00","497.82K","-1.26%"
"05/21/2026","14.25","13.86","15.00","13.73","2.00M","2.89%"
"05/20/2026","13.85","14.20","14.30","13.80","398.96K","-2.26%"
"05/19/2026","14.17","14.10","14.43","14.10","333.22K","0.71%"
"05/18/2026","14.07","14.35","14.65","14.03","927.94K","-0.92%"
"05/17/2026","14.20","14.69","14.71","14.14","820.34K","-3.07%"
"05/14/2026","14.65","14.63","14.94","14.52","1.33M","0.41%"
"05/13/2026","14.59","14.83","15.00","14.53","1.39M","-1.62%"
"05/12/2026","14.83","15.55","15.55","14.55","3.09M","-3.95%"
"05/11/2026","15.44","13.52","15.47","13.52","7.50M","14.20%"
"05/10/2026","13.52","13.65","13.80","13.50","646.96K","-0.59%"
"05/06/2026","13.60","13.71","13.89","13.51","1.38M","-0.66%"
"05/05/2026","13.69","13.83","14.20","13.55","932.40K","-1.44%"
"05/04/2026","13.89","14.30","14.55","13.82","891.00K","-2.53%"
"05/03/2026","14.25","13.70","14.89","13.64","2.17M","4.47%"
"04/30/2026","13.64","14.30","14.30","13.50","2.05M","-3.94%"
"04/29/2026","14.20","14.75","14.79","14.12","2.11M","-4.89%"
"04/28/2026","14.93","17.77","17.77","14.84","3.70M","0.81%"
"04/27/2026","14.81","16.30","16.35","14.80","2.62M","-7.63%"
"04/26/2026","16.03","16.36","16.95","16.00","3.78M","3.71%"
"04/23/2026","15.46","14.70","16.00","14.70","4.56M","7.66%"
"04/22/2026","14.36","13.86","14.60","13.51","2.48M","2.64%"
"04/21/2026","13.99","13.38","14.80","13.05","5.36M","11.31%"
"04/20/2026","12.57","13.00","13.00","12.40","1.09M","-3.38%"
"04/19/2026","13.01","13.50","13.60","12.96","1.05M","-2.22%"
"04/16/2026","13.30","13.60","13.77","13.10","2.17M","-0.45%"
"04/15/2026","13.36","12.22","13.48","11.90","6.09M","12.29%"
"04/14/2026","11.90","10.71","12.20","10.71","4.11M","-88.55%"
"04/12/2026","103.91","104.80","103.91","103.91","71.63K","900.00%"
"04/09/2026","10.39","10.51","10.60","10.38","716.29K","-0.85%"
"04/08/2026","10.48","10.47","10.68","10.37","549.32K","1.51%"
"04/07/2026","10.32","10.07","10.75","10.05","1.75M","3.14%"
"04/06/2026","10.01","9.99","10.15","9.90","691.16K","0.71%"
"04/05/2026","9.94","9.46","10.20","9.46","1.02M","5.46%"
"04/02/2026","9.42","9.53","9.65","9.40","317.72K","-1.32%"
"04/01/2026","9.55","9.51","9.74","9.51","147.49K","1.12%"
"03/31/2026","9.44","9.50","9.80","9.41","279.78K","0.64%"
"03/30/2026","9.38","9.70","9.80","9.30","339.06K","-3.55%"
"03/29/2026","9.73","9.89","10.00","9.70","298.17K","-1.44%"
"03/26/2026","9.87","9.93","10.22","9.70","550.18K","-0.21%"
"03/25/2026","9.89","9.93","10.00","9.86","186.30K","-0.41%"
"03/24/2026","9.93","10.08","10.28","9.90","346.97K","-0.83%"
"03/18/2026","10.02","10.34","10.34","9.85","460.26K","-1.17%"
"03/17/2026","10.14","9.75","10.48","9.75","996.32K","4.41%"
"03/16/2026","9.71","9.89","10.00","9.68","312.76K","-1.80%"
"03/15/2026","9.89","10.25","10.25","9.81","493.31K","-2.40%"
"03/12/2026","10.13","10.48","10.48","10.11","555.45K","-1.06%"
"03/11/2026","10.24","10.49","10.80","10.16","861.49K","-1.15%"
"03/10/2026","10.36","10.20","10.81","10.00","797.60K","2.08%"
"03/09/2026","10.15","10.49","10.49","10.00","692.46K","-3.25%"
"03/08/2026","10.49","11.10","11.10","10.45","1.02M","-4.44%"
"03/05/2026","10.97","11.02","12.69","10.82","813.52K","-0.30%"
"03/04/2026","11.01","11.23","11.40","10.77","501.53K","-0.19%"
"03/03/2026","11.03","11.00","11.30","10.65","963.38K","-0.66%"
"03/02/2026","11.10","10.71","11.69","10.50","1.48M","5.30%"
"03/01/2026","10.54","9.70","10.80","9.60","1.12M","-1.69%"
"02/26/2026","10.72","10.87","11.19","10.51","1.35M","1.99%"
"02/25/2026","10.51","10.90","12.48","10.25","8.52M","-1.53%"
"02/24/2026","10.68","10.48","10.70","10.15","1.08M","4.87%"
"02/23/2026","10.18","10.25","11.00","10.10","2.23M","0.63%"
"02/22/2026","10.12","10.05","10.29","9.50","1.34M","1.48%"
"02/19/2026","9.97","10.00","10.28","9.63","612.29K","0.14%"
"02/18/2026","9.95","10.30","10.60","9.80","2.49M","-1.63%"
"02/17/2026","10.12","9.78","11.00","9.77","4.91M","4.85%"
"02/16/2026","9.65","8.54","10.00","8.42","3.90M","13.09%"
"02/15/2026","8.53","8.67","8.77","8.52","260.83K","-0.36%"
"02/12/2026","8.56","8.58","8.69","8.50","381.79K","0.07%"
"02/11/2026","8.56","8.84","8.85","8.53","550.89K","-1.68%"
"02/10/2026","8.70","8.82","8.89","8.69","473.74K","-0.51%"
"02/09/2026","8.75","8.71","9.18","8.66","1.26M","1.00%"
"02/08/2026","8.66","8.95","9.00","8.65","774.55K","-1.62%"
"02/05/2026","8.81","9.29","9.59","8.73","1.87M","-4.19%"
"02/04/2026","9.19","9.40","9.48","9.03","1.07M","-0.87%"
"02/03/2026","9.27","8.80","9.59","8.60","2.79M","7.80%"
"02/02/2026","8.60","8.70","8.90","8.50","1.12M","-1.10%"
"02/01/2026","8.70","8.04","8.90","7.90","1.61M","9.42%"
"01/28/2026","7.95","8.24","8.24","7.90","271.42K","-1.33%"
"01/27/2026","8.06","7.87","8.40","7.87","428.16K","2.30%"
"01/26/2026","7.87","8.15","8.18","7.82","249.97K","-2.22%"
"01/25/2026","8.05","8.00","8.15","8.00","253.17K","0.80%"
"01/22/2026","7.99","8.11","8.15","7.92","120.38K","-1.08%"
"01/21/2026","8.08","8.06","8.28","7.95","307.76K","0.20%"
"01/20/2026","8.06","8.40","8.59","8.03","500.65K","-2.20%"
"01/19/2026","8.24","8.19","8.47","8.10","587.99K","1.12%"
"01/18/2026","8.15","8.29","8.46","8.10","271.00K","-1.67%"
"01/15/2026","8.29","8.52","8.70","8.12","966.55K","-2.49%"
"01/14/2026","8.50","8.80","8.88","8.14","991.32K","-1.92%"
"01/13/2026","8.67","8.99","9.25","8.63","1.16M","-1.99%"
"01/12/2026","8.84","9.00","9.35","8.76","1.64M","-0.60%"
"01/11/2026","8.90","9.30","9.49","8.88","1.93M","-3.85%"
"01/08/2026","9.25","8.97","9.85","8.88","6.53M","7.58%"
"01/06/2026","8.60","8.84","9.20","8.50","3.01M","-1.16%"
"01/05/2026","8.70","7.90","9.15","7.85","3.46M","10.90%"
"01/04/2026","7.84","8.37","8.37","7.81","264.15K","-2.84%"
