"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","22.69","23.00","23.48","22.35","321.58K","-0.79%"
"06/23/2026","22.87","23.35","23.75","22.81","165.97K","-2.06%"
"06/22/2026","23.35","23.61","23.85","23.28","180.06K","-0.93%"
"06/21/2026","23.57","23.09","23.65","23.09","158.80K","2.12%"
"06/17/2026","23.08","23.12","23.35","22.74","266.90K","0.00%"
"06/16/2026","23.08","23.56","23.90","23.02","245.15K","-2.00%"
"06/15/2026","23.55","23.82","24.10","23.53","183.09K","-0.30%"
"06/14/2026","23.62","24.25","24.25","23.52","195.37K","0.81%"
"06/11/2026","23.43","24.50","24.50","23.13","279.26K","-4.25%"
"06/10/2026","24.47","25.60","25.87","24.31","461.12K","-4.41%"
"06/09/2026","25.60","25.39","26.44","25.00","1.24M","1.55%"
"06/08/2026","25.21","25.60","25.79","25.07","250.63K","-1.33%"
"06/07/2026","25.55","25.39","25.89","25.14","393.62K","1.63%"
"06/04/2026","25.14","24.81","25.80","24.30","646.93K","1.70%"
"06/03/2026","24.72","24.14","25.48","24.14","1.02M","3.09%"
"06/02/2026","23.98","24.23","24.95","23.90","691.91K","0.88%"
"06/01/2026","23.77","23.25","24.30","23.22","245.59K","2.63%"
"05/25/2026","23.16","23.86","24.00","23.05","291.84K","-2.69%"
"05/24/2026","23.80","24.30","24.47","23.80","245.92K","-0.25%"
"05/21/2026","23.86","24.27","24.89","23.84","278.49K","-1.85%"
"05/20/2026","24.31","24.98","25.30","24.30","457.90K","-2.29%"
"05/19/2026","24.88","24.57","25.60","24.57","598.80K","1.34%"
"05/18/2026","24.55","24.77","25.15","24.50","303.13K","-1.48%"
"05/17/2026","24.92","25.87","26.12","24.75","1.02M","-2.27%"
"05/14/2026","25.50","23.63","25.60","23.63","3.89M","9.44%"
"05/13/2026","23.30","23.00","23.50","22.93","1.29M","2.60%"
"05/12/2026","22.71","22.95","23.60","22.66","2.78M","-0.13%"
"05/11/2026","22.74","22.67","22.97","22.52","269.48K","0.40%"
"05/10/2026","22.65","23.00","23.28","22.50","608.16K","0.71%"
"05/06/2026","22.49","23.10","24.10","22.35","1.08M","-2.22%"
"05/05/2026","23.00","21.45","23.20","20.95","2.01M","7.23%"
"05/04/2026","21.45","21.39","21.79","21.24","591.99K","0.28%"
"05/03/2026","21.39","20.85","21.45","20.75","559.13K","2.79%"
"04/30/2026","20.81","21.05","21.29","20.79","421.98K","-0.14%"
"04/29/2026","20.84","20.75","21.26","20.66","723.10K","0.77%"
"04/28/2026","20.68","20.88","20.99","20.66","187.39K","-0.67%"
"04/27/2026","20.82","20.99","21.05","20.74","167.79K","0.24%"
"04/26/2026","20.77","20.50","21.18","20.50","750.44K","2.67%"
"04/23/2026","20.23","20.15","20.58","20.15","360.87K","0.40%"
"04/22/2026","20.15","20.07","20.29","20.04","179.01K","0.60%"
"04/21/2026","20.03","20.29","20.29","20.02","124.94K","-1.28%"
"04/20/2026","20.29","20.16","20.49","20.01","243.09K","0.69%"
"04/19/2026","20.15","20.45","20.45","20.00","312.73K","-1.61%"
"04/16/2026","20.48","20.62","20.68","20.46","248.62K","-0.68%"
"04/15/2026","20.62","20.80","20.94","20.60","198.75K","-0.72%"
"04/14/2026","20.77","21.02","21.19","20.60","546.19K","2.21%"
"04/12/2026","20.32","20.59","20.32","20.32","245.34K","0.00%"
"04/09/2026","20.32","20.59","20.60","20.20","245.34K","-1.31%"
"04/08/2026","20.59","20.75","20.99","20.54","344.39K","0.88%"
