"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2.240","2.290","2.300","2.200","48.79M","-2.18%"
"06/23/2026","2.290","2.320","2.360","2.230","56.58M","-0.43%"
"06/22/2026","2.300","2.430","2.440","2.300","68.09M","-2.95%"
"06/21/2026","2.370","2.420","2.440","2.330","42.62M","-1.25%"
"06/17/2026","2.400","2.380","2.400","2.360","34.76M","1.69%"
"06/16/2026","2.360","2.350","2.400","2.330","41.08M","2.61%"
"06/15/2026","2.300","2.340","2.350","2.260","41.12M","-0.86%"
"06/14/2026","2.320","2.380","2.440","2.300","57.95M","-0.43%"
"06/11/2026","2.330","2.200","2.330","2.180","64.36M","4.02%"
"06/10/2026","2.240","2.390","2.600","2.240","109.85M","-4.27%"
"06/09/2026","2.340","2.280","2.340","2.230","17.21M","2.18%"
"06/08/2026","2.290","2.340","2.380","2.290","57.06M","-2.97%"
"06/07/2026","2.360","2.400","2.440","2.320","65.39M","-0.84%"
"06/04/2026","2.380","2.440","2.480","2.370","108.51M","-2.06%"
"06/03/2026","2.430","2.360","2.460","2.330","128.69M","5.65%"
"06/02/2026","2.300","2.250","2.320","2.240","71.04M","2.22%"
"06/01/2026","2.250","2.190","2.250","2.170","20.22M","2.74%"
"05/25/2026","2.190","2.160","2.190","2.140","24.42M","1.86%"
"05/24/2026","2.150","2.160","2.210","2.150","25.16M","0.47%"
"05/21/2026","2.140","2.200","2.220","2.140","24.11M","-3.60%"
"05/20/2026","2.220","2.230","2.280","2.180","59.39M","-0.45%"
"05/19/2026","2.230","2.180","2.230","2.180","45.65M","2.76%"
"05/18/2026","2.170","2.190","2.210","2.140","31.58M","-1.36%"
"05/17/2026","2.200","2.230","2.250","2.140","52.39M","-1.35%"
"05/14/2026","2.230","2.260","2.280","2.170","46.73M","-0.89%"
"05/13/2026","2.250","2.210","2.260","2.200","80.03M","2.74%"
"05/12/2026","2.190","2.100","2.200","2.100","60.34M","4.78%"
"05/11/2026","2.090","2.030","2.100","2.030","42.62M","3.47%"
"05/10/2026","2.020","1.970","2.030","1.960","41.74M","3.59%"
"05/06/2026","1.950","1.990","2.000","1.940","33.62M","-2.01%"
"05/05/2026","1.990","1.960","2.020","1.950","52.01M","1.02%"
"05/04/2026","1.970","2.030","2.040","1.940","32.10M","-2.48%"
"05/03/2026","2.020","2.030","2.070","2.010","22.72M","0.50%"
"04/30/2026","2.010","2.020","2.070","2.000","38.19M","0.50%"
"04/29/2026","2.000","1.930","2.030","1.920","69.60M","3.63%"
"04/28/2026","1.930","1.940","1.940","1.920","7.24M","0.00%"
"04/27/2026","1.930","1.930","1.940","1.920","7.61M","0.52%"
"04/26/2026","1.920","1.930","1.950","1.920","10.90M","-0.52%"
"04/23/2026","1.930","1.940","1.960","1.930","12.32M","-0.52%"
"04/22/2026","1.940","1.940","1.960","1.920","30.79M","0.52%"
"04/21/2026","1.930","1.910","1.960","1.900","24.46M","1.58%"
"04/20/2026","1.900","1.900","1.940","1.890","26.36M","-0.52%"
"04/19/2026","1.910","1.950","1.970","1.900","30.12M","-1.04%"
"04/16/2026","1.930","1.930","1.980","1.910","41.32M","0.52%"
"04/15/2026","1.920","1.860","1.940","1.840","51.80M","4.35%"
"04/14/2026","1.840","1.830","1.870","1.810","31.78M","0.00%"
"04/12/2026","1.840","1.890","1.840","1.840","63.33M","0.00%"
"04/09/2026","1.840","1.890","1.890","1.820","63.33M","-2.65%"
"04/08/2026","1.890","1.750","1.890","1.750","59.06M","10.53%"
"04/07/2026","1.710","1.760","1.770","1.700","25.37M","-2.84%"
"04/06/2026","1.760","1.770","1.770","1.740","17.80M","0.00%"
"04/05/2026","1.760","1.780","1.800","1.750","22.56M","-1.12%"
"04/02/2026","1.780","1.800","1.850","1.760","75.21M","-2.73%"
