"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","7.260","7.160","7.280","7.160","143.62K","0.41%"
"06/23/2026","7.230","7.260","7.290","7.150","293.17K","-0.14%"
"06/22/2026","7.240","7.210","7.320","7.200","530.46K","0.42%"
"06/21/2026","7.210","7.210","7.270","7.130","165.58K","0.00%"
"06/17/2026","7.210","7.240","7.330","7.100","560.04K","-0.69%"
"06/16/2026","7.260","7.300","7.390","7.160","475.54K","-0.27%"
"06/15/2026","7.280","7.270","7.410","7.220","150.12K","0.28%"
"06/14/2026","7.260","7.260","7.500","7.160","397.46K","0.41%"
"06/11/2026","7.230","7.250","7.300","7.030","279.62K","-0.28%"
"06/10/2026","7.250","7.580","7.650","7.220","532.66K","-3.20%"
"06/09/2026","7.490","7.650","7.650","7.360","406.90K","-2.09%"
"06/08/2026","7.650","7.800","7.900","7.520","623.68K","-1.42%"
"06/07/2026","7.760","7.300","7.980","7.290","2.09M","6.16%"
"06/04/2026","7.310","7.290","7.370","7.280","148.47K","0.27%"
"06/03/2026","7.290","7.340","7.370","7.280","157.76K","-0.68%"
"06/02/2026","7.340","7.380","7.380","7.290","152.62K","-0.14%"
"06/01/2026","7.350","7.330","7.400","7.270","221.44K","0.27%"
"05/25/2026","7.330","7.350","7.400","7.280","141.03K","-0.27%"
"05/24/2026","7.350","7.350","7.400","7.260","199.56K","0.00%"
"05/21/2026","7.350","7.270","7.400","7.250","185.19K","0.68%"
"05/20/2026","7.300","7.300","7.400","7.250","391.93K","0.41%"
"05/19/2026","7.270","7.280","7.370","7.250","110.71K","-0.14%"
"05/18/2026","7.280","7.420","7.470","7.250","343.97K","-1.89%"
"05/17/2026","7.420","7.540","7.580","7.400","584.13K","-1.46%"
"05/14/2026","7.530","7.450","7.700","7.420","895.31K","1.48%"
"05/13/2026","7.420","7.450","7.450","7.370","431.09K","0.54%"
"05/12/2026","7.380","7.250","7.490","7.250","1.14M","0.82%"
"05/11/2026","7.320","7.410","7.520","7.250","990.06K","-0.95%"
"05/10/2026","7.390","7.440","7.530","7.320","1.80M","-0.67%"
"05/06/2026","7.440","7.510","7.590","7.410","716.89K","-0.93%"
"05/05/2026","7.510","7.500","7.690","7.490","1.03M","0.40%"
"05/04/2026","7.480","7.560","7.980","7.410","4.31M","-0.53%"
"05/03/2026","7.520","8.190","8.200","7.370","2.84M","-7.50%"
"04/30/2026","8.130","8.550","8.800","7.800","1.20M","-4.91%"
"04/29/2026","8.550","7.010","8.550","7.010","3.94M","9.90%"
"04/28/2026","7.780","7.780","8.020","7.780","1.46M","-9.95%"
"04/27/2026","8.640","8.740","9.580","8.640","1.26M","-9.91%"
"04/26/2026","9.590","11.710","11.710","9.590","1.79M","-9.95%"
"04/23/2026","10.650","10.650","10.650","10.650","171.43K","9.91%"
"04/22/2026","9.690","9.550","9.690","8.980","319.03K","9.99%"
"04/21/2026","8.810","8.080","8.810","8.010","257.28K","9.99%"
"04/20/2026","8.010","7.290","8.010","7.290","328.29K","9.88%"
"04/19/2026","7.290","6.640","7.290","6.500","599.90K","9.95%"
"04/16/2026","6.630","6.290","6.790","6.060","253.89K","5.24%"
"04/15/2026","6.300","5.950","6.300","5.950","230.04K","5.35%"
"04/14/2026","5.980","5.930","6.000","5.870","151.12K","-0.66%"
"04/12/2026","6.020","6.000","6.020","6.020","54.06K","0.00%"
"04/09/2026","6.020","6.000","6.100","5.860","54.06K","0.33%"
"04/08/2026","6.000","5.950","6.050","5.870","90.69K","-1.15%"
"04/07/2026","6.070","5.870","6.120","5.610","150.66K","2.71%"
"04/06/2026","5.910","6.010","6.150","5.850","162.98K","-2.96%"
"04/05/2026","6.090","6.180","6.250","6.000","186.22K","1.00%"
"04/02/2026","6.030","5.920","6.400","5.820","368.65K","2.73%"
"04/01/2026","5.870","6.000","6.100","5.760","202.31K","-4.55%"
"03/31/2026","6.150","5.830","6.170","5.500","270.86K","5.31%"
"03/30/2026","5.840","5.310","5.990","5.110","675.54K","6.76%"
"03/29/2026","5.470","5.120","5.500","5.050","415.67K","6.21%"
"03/26/2026","5.150","5.250","5.380","5.110","154.94K","-3.20%"
"03/25/2026","5.320","5.210","5.400","5.010","99.36K","2.11%"
"03/24/2026","5.210","5.150","5.350","4.930","462.48K","1.56%"
"03/18/2026","5.130","5.390","5.450","5.120","125.33K","-6.22%"
"03/17/2026","5.470","5.040","5.500","4.850","562.70K","7.47%"
"03/16/2026","5.090","4.480","5.110","4.450","864.05K","9.23%"
"03/15/2026","4.660","4.650","4.690","4.450","30.97K","0.00%"
"03/12/2026","4.660","4.550","4.700","4.400","501.08K","2.19%"
"03/11/2026","4.560","4.460","4.750","4.460","174.36K","-1.72%"
"03/10/2026","4.640","4.470","4.750","4.400","245.69K","3.34%"
"03/09/2026","4.490","4.360","4.570","4.350","71.76K","2.28%"
"03/08/2026","4.390","4.500","4.590","4.300","233.48K","-2.88%"
"03/05/2026","4.520","4.520","4.690","4.500","28.11K","0.00%"
"03/04/2026","4.520","4.400","4.700","4.210","137.80K","4.87%"
"03/03/2026","4.310","4.550","4.650","4.300","327.76K","-5.27%"
"03/02/2026","4.550","4.600","4.780","4.510","152.31K","-4.81%"
"03/01/2026","4.780","4.540","4.800","4.420","389.70K","-2.65%"
"02/26/2026","4.910","4.780","5.050","4.670","370.89K","2.51%"
"02/25/2026","4.790","4.500","4.900","4.320","440.06K","7.16%"
"02/24/2026","4.470","4.640","4.690","4.450","74.37K","-3.46%"
"02/23/2026","4.630","4.670","4.700","4.600","163.87K","-0.86%"
"02/22/2026","4.670","4.690","4.790","4.670","108.99K","-0.85%"
"02/19/2026","4.710","4.750","4.850","4.690","103.24K","0.00%"
