"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.207","0.208","0.210","0.205","163.18M","0.00%"
"06/23/2026","0.207","0.211","0.215","0.207","291.84M","-1.90%"
"06/22/2026","0.211","0.212","0.215","0.210","228.65M","0.00%"
"06/21/2026","0.211","0.214","0.216","0.211","181.74M","-0.94%"
"06/17/2026","0.213","0.218","0.218","0.212","257.92M","-1.39%"
"06/16/2026","0.216","0.219","0.224","0.215","554.79M","-0.46%"
"06/15/2026","0.217","0.212","0.223","0.212","1.31B","3.33%"
"06/14/2026","0.210","0.211","0.212","0.209","386.71M","1.94%"
"06/11/2026","0.206","0.202","0.206","0.200","311.80M","1.98%"
"06/10/2026","0.202","0.205","0.214","0.201","850.87M","-0.98%"
"06/09/2026","0.204","0.204","0.207","0.203","164.39M","0.49%"
"06/08/2026","0.203","0.206","0.207","0.202","305.21M","-1.46%"
"06/07/2026","0.206","0.208","0.210","0.206","225.72M","-1.44%"
"06/04/2026","0.209","0.213","0.215","0.208","337.91M","-1.42%"
"06/03/2026","0.212","0.210","0.217","0.208","1.05B","1.44%"
"06/02/2026","0.209","0.211","0.213","0.208","357.55M","0.00%"
"06/01/2026","0.209","0.206","0.213","0.205","867.12M","2.96%"
"05/25/2026","0.203","0.206","0.207","0.203","277.96M","0.50%"
"05/24/2026","0.202","0.200","0.204","0.198","780.65M","2.02%"
"05/21/2026","0.198","0.198","0.200","0.194","192.68M","0.00%"
"05/20/2026","0.198","0.204","0.205","0.198","402.33M","-2.46%"
"05/19/2026","0.203","0.204","0.206","0.203","120.85M","0.00%"
"05/18/2026","0.203","0.202","0.207","0.202","475.41M","0.50%"
"05/17/2026","0.202","0.209","0.210","0.202","208.41M","-2.88%"
"05/14/2026","0.208","0.213","0.214","0.208","216.61M","-0.95%"
"05/13/2026","0.210","0.203","0.214","0.202","731.02M","3.96%"
"05/12/2026","0.202","0.205","0.206","0.202","208.33M","-0.98%"
"05/11/2026","0.204","0.203","0.207","0.202","217.17M","0.49%"
"05/10/2026","0.203","0.202","0.204","0.201","153.47M","0.50%"
"05/06/2026","0.202","0.203","0.206","0.202","189.01M","0.00%"
"05/05/2026","0.202","0.204","0.206","0.202","165.58M","-0.98%"
"05/04/2026","0.204","0.204","0.208","0.203","285.62M","0.00%"
"05/03/2026","0.204","0.204","0.205","0.201","159.66M","0.49%"
"04/30/2026","0.203","0.203","0.205","0.201","209.94M","0.50%"
"04/29/2026","0.202","0.204","0.205","0.201","213.03M","-0.49%"
"04/28/2026","0.203","0.207","0.209","0.203","254.53M","-1.93%"
"04/27/2026","0.207","0.208","0.210","0.206","144.66M","-0.48%"
"04/26/2026","0.208","0.211","0.211","0.207","332.82M","-0.48%"
"04/23/2026","0.209","0.212","0.214","0.208","374.61M","-0.48%"
"04/22/2026","0.210","0.206","0.212","0.205","532.59M","2.44%"
"04/21/2026","0.205","0.205","0.206","0.202","633.54M","0.99%"
"04/20/2026","0.203","0.204","0.205","0.201","178.07M","0.00%"
"04/19/2026","0.203","0.209","0.212","0.202","346.05M","-1.46%"
"04/16/2026","0.206","0.207","0.213","0.205","458.07M","0.49%"
"04/15/2026","0.205","0.203","0.208","0.200","361.66M","1.99%"
"04/14/2026","0.201","0.188","0.212","0.186","1.62B","8.06%"
"04/12/2026","0.186","0.179","0.186","0.186","518.70M","0.00%"
"04/09/2026","0.186","0.180","0.188","0.178","518.70M","3.91%"
"04/08/2026","0.179","0.182","0.184","0.179","179.32M","0.00%"
"04/07/2026","0.179","0.183","0.184","0.179","255.54M","-2.19%"
"04/06/2026","0.183","0.187","0.189","0.178","482.92M","-1.61%"
"04/05/2026","0.186","0.192","0.198","0.185","445.59M","-4.12%"
"04/02/2026","0.194","0.187","0.195","0.181","1.03B","3.19%"
"04/01/2026","0.188","0.189","0.205","0.180","744.05M","9.70%"
"03/31/2026","0.171","0.169","0.175","0.169","555.62M","0.91%"
"03/30/2026","0.170","0.171","0.174","0.168","527.44M","-0.90%"
"03/29/2026","0.171","0.178","0.178","0.169","439.30M","-4.72%"
"03/26/2026","0.180","0.181","0.184","0.174","1.07B","-0.85%"
"03/25/2026","0.181","0.191","0.191","0.181","928.11M","-25.34%"
"03/24/2026","0.243","0.237","0.243","0.232","892.14M","4.74%"
"03/18/2026","0.232","0.227","0.235","0.227","634.22M","2.65%"
"03/17/2026","0.226","0.223","0.226","0.222","270.42M","2.26%"
"03/16/2026","0.221","0.221","0.225","0.216","272.42M","0.91%"
"03/15/2026","0.219","0.222","0.224","0.219","181.79M","-1.35%"
"03/12/2026","0.222","0.225","0.226","0.218","227.41M","-0.89%"
"03/11/2026","0.224","0.219","0.228","0.217","659.69M","3.23%"
"03/10/2026","0.217","0.218","0.220","0.215","153.54M","0.46%"
"03/09/2026","0.216","0.213","0.220","0.209","296.35M","1.41%"
"03/08/2026","0.213","0.216","0.220","0.213","430.40M","-0.93%"
"03/05/2026","0.215","0.216","0.222","0.215","558.62M","1.42%"
"03/04/2026","0.212","0.212","0.213","0.206","202.32M","0.47%"
"03/03/2026","0.211","0.212","0.214","0.207","316.91M","0.00%"
"03/02/2026","0.211","0.198","0.213","0.198","488.08M","6.57%"
"03/01/2026","0.198","0.190","0.199","0.186","103.03M","-1.49%"
"02/26/2026","0.201","0.199","0.201","0.197","144.33M","1.52%"
"02/25/2026","0.198","0.199","0.201","0.197","147.32M","0.00%"
"02/24/2026","0.198","0.201","0.202","0.197","94.56M","-1.49%"
"02/23/2026","0.201","0.200","0.202","0.198","112.58M","0.50%"
"02/22/2026","0.200","0.203","0.203","0.195","101.38M","-0.50%"
"02/19/2026","0.201","0.206","0.207","0.200","162.72M","-1.95%"
"02/18/2026","0.205","0.199","0.205","0.198","177.84M","3.02%"
"02/17/2026","0.199","0.200","0.203","0.197","158.34M","-0.50%"
"02/16/2026","0.200","0.208","0.209","0.199","308.27M","-3.38%"
"02/15/2026","0.207","0.208","0.211","0.207","149.26M","0.00%"
"02/12/2026","0.207","0.207","0.210","0.206","156.56M","-0.48%"
"02/11/2026","0.208","0.214","0.215","0.207","328.01M","-2.35%"
"02/10/2026","0.213","0.209","0.218","0.207","914.40M","2.40%"
"02/09/2026","0.208","0.208","0.211","0.206","153.98M","0.48%"
"02/08/2026","0.207","0.208","0.215","0.206","455.09M","0.49%"
"02/05/2026","0.206","0.209","0.211","0.203","315.28M","-0.48%"
"02/04/2026","0.207","0.197","0.212","0.195","1.17B","6.15%"
"02/03/2026","0.195","0.196","0.197","0.193","122.90M","0.00%"
"02/02/2026","0.195","0.193","0.197","0.191","124.55M","0.00%"
"02/01/2026","0.195","0.184","0.198","0.183","340.30M","6.56%"
"01/28/2026","0.183","0.191","0.192","0.182","195.22M","-3.17%"
"01/27/2026","0.189","0.193","0.196","0.189","125.64M","-2.07%"
"01/26/2026","0.193","0.195","0.196","0.192","75.83M","-0.52%"
"01/25/2026","0.194","0.198","0.200","0.194","92.77M","-1.52%"
"01/22/2026","0.197","0.200","0.202","0.197","119.17M","-1.01%"
"01/21/2026","0.199","0.198","0.201","0.194","114.72M","0.51%"
"01/20/2026","0.198","0.200","0.205","0.196","222.87M","-1.49%"
"01/19/2026","0.201","0.200","0.202","0.199","94.19M","0.50%"
"01/18/2026","0.200","0.196","0.201","0.195","66.93M","3.63%"
"01/15/2026","0.193","0.199","0.203","0.193","111.87M","-2.03%"
"01/14/2026","0.197","0.203","0.204","0.191","138.80M","-2.48%"
"01/13/2026","0.202","0.209","0.210","0.202","171.94M","-3.35%"
"01/12/2026","0.209","0.213","0.214","0.209","170.83M","-1.42%"
"01/11/2026","0.212","0.212","0.215","0.210","167.20M","0.95%"
"01/08/2026","0.210","0.211","0.216","0.209","294.36M","0.00%"
"01/06/2026","0.210","0.211","0.213","0.209","100.71M","-0.94%"
"01/05/2026","0.212","0.214","0.216","0.209","176.61M","-0.47%"
"01/04/2026","0.213","0.213","0.217","0.210","237.15M","0.95%"
