"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","8.570","8.650","8.800","8.550","453.94K","-0.92%"
"06/23/2026","8.650","8.840","8.870","8.600","459.89K","-2.04%"
"06/22/2026","8.830","9.140","9.140","8.760","1.35M","-3.07%"
"06/21/2026","9.110","9.050","9.150","9.000","572.19K","0.89%"
"06/17/2026","9.030","9.150","9.320","9.010","2.27M","-1.31%"
"06/16/2026","9.150","9.290","9.500","9.150","1.23M","-0.87%"
"06/15/2026","9.230","9.140","9.510","9.100","2.70M","1.10%"
"06/14/2026","9.130","9.180","9.280","9.000","1.74M","0.55%"
"06/11/2026","9.080","8.920","9.100","8.890","1.51M","1.68%"
"06/10/2026","8.930","9.180","9.200","8.920","1.08M","-1.76%"
"06/09/2026","9.090","9.000","9.190","8.950","2.09M","1.11%"
"06/08/2026","8.990","8.900","9.100","8.900","571.09K","0.56%"
"06/07/2026","8.940","8.780","9.080","8.780","1.40M","1.59%"
"06/04/2026","8.800","8.900","8.970","8.700","2.60M","-1.01%"
"06/03/2026","8.890","9.130","9.180","8.890","1.20M","-1.33%"
"06/02/2026","9.010","8.890","9.230","8.770","3.65M","2.27%"
"06/01/2026","8.810","8.700","9.000","8.550","1.58M","1.26%"
"05/25/2026","8.700","8.720","9.000","8.540","2.08M","0.00%"
"05/24/2026","8.700","8.810","8.980","8.690","3.03M","-0.57%"
"05/21/2026","8.750","8.950","8.950","8.690","841.44K","-1.13%"
"05/20/2026","8.850","8.890","9.080","8.630","1.03M","0.45%"
"05/19/2026","8.810","8.670","9.150","8.670","962.86K","0.11%"
"05/18/2026","8.800","8.850","9.000","8.610","942.98K","-0.45%"
"05/17/2026","8.840","9.250","9.430","8.840","1.80M","-4.02%"
"05/14/2026","9.210","9.700","9.700","9.200","3.00M","-2.75%"
"05/13/2026","9.470","9.250","10.080","9.210","6.24M","2.38%"
"05/12/2026","9.250","9.320","9.680","9.250","2.95M","-0.75%"
"05/11/2026","9.320","8.990","9.890","8.710","10.47M","3.56%"
"05/10/2026","9.000","8.250","9.120","8.250","13.38M","10.16%"
"05/06/2026","8.170","8.380","8.450","8.160","1.52M","-2.51%"
"05/05/2026","8.380","8.500","8.620","8.050","8.21M","-0.24%"
"05/04/2026","8.400","8.230","8.750","8.060","4.63M","2.07%"
"05/03/2026","8.230","7.440","8.380","7.400","8.13M","11.22%"
"04/30/2026","7.400","7.500","7.500","7.300","1.92M","-0.40%"
"04/29/2026","7.430","7.310","7.550","7.200","3.20M","2.20%"
"04/28/2026","7.270","7.250","7.320","7.200","1.09M","0.83%"
"04/27/2026","7.210","7.200","7.290","7.170","1.27M","0.14%"
"04/26/2026","7.200","7.420","7.450","7.180","1.92M","-2.96%"
"04/23/2026","7.420","7.290","7.550","7.210","2.84M","1.78%"
"04/22/2026","7.290","7.300","7.300","7.110","1.62M","1.67%"
"04/21/2026","7.170","7.300","8.000","7.000","12.97M","-0.42%"
"04/20/2026","7.200","7.150","7.260","6.950","4.24M","2.56%"
"04/19/2026","7.020","7.000","7.160","6.950","4.00M","1.01%"
"04/16/2026","6.950","7.050","7.640","6.810","10.77M","-1.00%"
"04/15/2026","7.020","6.330","7.250","6.250","19.61M","10.20%"
"04/14/2026","6.370","6.120","6.380","6.050","6.49M","4.08%"
"04/12/2026","6.120","5.770","6.120","6.120","4.86M","0.00%"
"04/09/2026","6.120","5.780","6.120","5.780","4.86M","6.07%"
"04/08/2026","5.770","5.600","5.910","5.520","2.89M","4.53%"
"04/07/2026","5.520","5.640","5.650","5.500","1.22M","-1.25%"
"04/06/2026","5.590","5.720","5.740","5.560","2.34M","-1.58%"
"04/05/2026","5.680","5.550","5.700","5.480","2.66M","2.90%"
"04/02/2026","5.520","5.550","5.550","5.460","1.55M","0.36%"
"04/01/2026","5.500","5.450","5.500","5.350","2.10M","2.04%"
"03/31/2026","5.390","5.480","5.500","5.350","1.24M","-1.46%"
"03/30/2026","5.470","5.370","5.470","5.320","1.87M","1.86%"
"03/29/2026","5.370","5.290","5.380","5.140","2.96M","1.32%"
"03/26/2026","5.300","5.540","5.560","5.280","3.09M","-3.64%"
"03/25/2026","5.500","5.520","5.590","5.420","2.25M","-0.18%"
"03/24/2026","5.510","5.600","5.600","5.430","1.64M","0.00%"
"03/18/2026","5.510","5.450","5.640","5.370","3.28M","1.66%"
"03/17/2026","5.420","5.310","5.510","5.260","1.43M","1.69%"
"03/16/2026","5.330","5.300","5.370","5.160","1.51M","0.57%"
"03/15/2026","5.300","5.400","5.490","5.160","2.80M","-2.39%"
"03/12/2026","5.430","5.460","5.500","5.320","2.20M","-0.91%"
"03/11/2026","5.480","5.500","5.690","5.330","5.02M","1.48%"
"03/10/2026","5.400","5.170","5.470","5.170","3.65M","2.86%"
"03/09/2026","5.250","4.850","5.260","4.780","7.08M","9.37%"
"03/08/2026","4.800","4.480","4.810","4.430","2.64M","8.11%"
"03/05/2026","4.440","4.410","4.500","4.340","957.25K","2.07%"
"03/04/2026","4.350","4.160","4.410","4.100","1.50M","4.57%"
"03/03/2026","4.160","4.140","4.290","4.130","646.14K","0.24%"
"03/02/2026","4.150","4.130","4.250","4.130","510.13K","0.48%"
"03/01/2026","4.130","3.950","4.250","3.870","995.19K","-4.18%"
"02/26/2026","4.310","4.320","4.350","4.250","809.19K","1.41%"
"02/25/2026","4.250","4.520","4.520","4.210","928.65K","-5.35%"
"02/24/2026","4.490","4.570","4.570","4.470","854.35K","-0.66%"
"02/23/2026","4.520","4.490","4.580","4.430","547.55K","2.49%"
"02/22/2026","4.410","4.680","4.740","4.370","1.01M","-4.55%"
"02/19/2026","4.620","4.830","4.860","4.600","1.02M","-3.75%"
