"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","243.00","240.01","243.90","240.01","57.45K","1.25%"
"06/23/2026","240.00","239.02","242.50","238.00","75.06K","0.41%"
"06/22/2026","239.02","233.00","241.95","232.50","94.78K","3.15%"
"06/21/2026","231.71","227.55","238.00","227.55","105.80K","1.90%"
"06/17/2026","227.40","228.00","229.50","225.50","54.51K","0.13%"
"06/16/2026","227.10","226.50","229.50","223.15","39.01K","0.10%"
"06/15/2026","226.87","229.04","230.90","226.50","44.72K","-0.48%"
"06/14/2026","227.96","224.97","230.90","223.00","93.73K","2.82%"
"06/11/2026","221.70","221.50","225.00","219.00","48.96K","0.21%"
"06/10/2026","221.23","219.00","228.80","219.00","131.99K","0.72%"
"06/09/2026","219.65","215.04","220.00","215.04","22.96K","2.14%"
"06/08/2026","215.04","214.84","217.99","212.52","16.88K","0.09%"
"06/07/2026","214.84","214.49","219.94","212.14","11.59K","-0.54%"
"06/04/2026","216.00","212.25","218.00","212.00","31.24K","2.30%"
"06/03/2026","211.15","214.70","217.89","211.00","9.15K","-1.64%"
"06/02/2026","214.66","219.98","219.98","214.00","8.99K","-2.00%"
"06/01/2026","219.04","216.06","220.00","216.06","6.82K","1.89%"
"05/25/2026","214.98","214.77","218.90","214.25","15.69K","0.10%"
"05/24/2026","214.77","210.01","219.90","210.01","23.02K","3.23%"
"05/21/2026","208.06","208.32","212.00","206.51","12.34K","-0.12%"
"05/20/2026","208.30","215.00","215.90","208.05","9.13K","-0.63%"
"05/19/2026","209.62","205.20","215.89","205.10","16.26K","2.25%"
"05/18/2026","205.01","210.00","214.99","202.22","24.30K","-2.42%"
"05/17/2026","210.09","218.60","219.48","210.03","31.21K","-3.89%"
"05/14/2026","218.60","218.51","221.00","217.00","22.01K","0.42%"
"05/13/2026","217.69","219.00","225.00","217.10","46.78K","0.49%"
"05/12/2026","216.63","213.01","224.00","213.01","83.47K","1.77%"
"05/11/2026","212.86","217.00","217.00","210.03","24.97K","-0.06%"
"05/10/2026","212.98","204.25","220.00","204.20","105.83K","5.27%"
"05/06/2026","202.31","202.00","210.00","198.00","42.71K","-0.57%"
"05/05/2026","203.46","194.01","213.00","190.00","94.84K","5.18%"
"05/04/2026","193.44","191.00","199.00","191.00","48.70K","1.41%"
"05/03/2026","190.75","184.90","192.99","183.51","44.78K","4.06%"
"04/30/2026","183.30","182.01","185.98","181.13","21.74K","0.19%"
"04/29/2026","182.96","178.86","190.00","178.01","58.69K","2.68%"
"04/28/2026","178.19","178.80","179.70","177.00","13.91K","-0.08%"
"04/27/2026","178.34","179.99","179.99","176.23","13.07K","-0.18%"
"04/26/2026","178.66","178.57","179.00","176.00","20.78K","0.34%"
"04/23/2026","178.05","181.00","184.83","177.50","17.67K","-0.81%"
"04/22/2026","179.50","184.00","186.99","178.30","37.65K","-2.48%"
"04/21/2026","184.07","186.00","195.00","182.60","121.20K","0.07%"
"04/20/2026","183.95","171.00","187.00","170.50","219.66K","8.14%"
"04/19/2026","170.11","169.29","171.10","167.81","10.12K","1.50%"
"04/16/2026","167.60","170.50","172.59","166.00","21.50K","-1.43%"
"04/15/2026","170.04","171.00","172.84","168.60","14.36K","-0.64%"
"04/14/2026","171.14","172.84","172.84","170.00","28.05K","1.07%"
"04/12/2026","169.32","160.46","169.32","169.32","129.49K","0.00%"
"04/09/2026","169.32","160.93","175.90","159.60","129.49K","5.52%"
"04/08/2026","160.46","161.69","163.40","160.15","16.56K","0.21%"
"04/07/2026","160.12","160.27","161.99","160.00","10.18K","0.04%"
"04/06/2026","160.05","162.29","165.00","160.00","29.65K","0.50%"
"04/05/2026","159.25","160.00","169.00","158.00","62.51K","0.58%"
"04/02/2026","158.33","148.97","163.80","148.97","105.17K","6.35%"
"04/01/2026","148.87","148.00","149.10","147.60","11.12K","0.79%"
