"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.457","0.455","0.469","0.445","33.67M","0.44%"
"06/23/2026","0.455","0.456","0.464","0.451","25.66M","-0.22%"
"06/22/2026","0.456","0.471","0.477","0.451","56.35M","-3.18%"
"06/21/2026","0.471","0.473","0.483","0.465","43.45M","0.21%"
"06/17/2026","0.470","0.471","0.475","0.461","53.94M","0.21%"
"06/16/2026","0.469","0.512","0.529","0.467","180.57M","-7.68%"
"06/15/2026","0.508","0.479","0.515","0.476","128.96M","6.05%"
"06/14/2026","0.479","0.475","0.490","0.467","91.33M","4.81%"
"06/11/2026","0.457","0.458","0.472","0.436","111.53M","0.22%"
"06/10/2026","0.456","0.458","0.539","0.445","504.55M","-0.44%"
"06/09/2026","0.458","0.384","0.458","0.384","291.97M","19.58%"
"06/08/2026","0.383","0.366","0.388","0.362","45.17M","4.08%"
"06/07/2026","0.368","0.371","0.373","0.358","38.89M","-0.54%"
"06/04/2026","0.370","0.353","0.373","0.353","78.01M","5.11%"
"06/03/2026","0.352","0.352","0.358","0.350","37.58M","0.57%"
"06/02/2026","0.350","0.347","0.351","0.346","28.16M","1.16%"
"06/01/2026","0.346","0.343","0.347","0.342","7.73M","1.47%"
"05/25/2026","0.341","0.342","0.344","0.337","11.37M","0.59%"
"05/24/2026","0.339","0.340","0.345","0.339","9.46M","-0.29%"
"05/21/2026","0.340","0.343","0.344","0.338","16.21M","0.00%"
"05/20/2026","0.340","0.352","0.352","0.340","24.90M","-2.86%"
"05/19/2026","0.350","0.343","0.353","0.341","32.15M","1.74%"
"05/18/2026","0.344","0.356","0.356","0.343","13.81M","-3.64%"
"05/17/2026","0.357","0.357","0.360","0.350","28.65M","0.00%"
"05/14/2026","0.357","0.362","0.365","0.356","28.08M","-0.83%"
"05/13/2026","0.360","0.363","0.368","0.357","47.87M","0.00%"
"05/12/2026","0.360","0.354","0.361","0.350","54.39M","1.98%"
"05/11/2026","0.353","0.360","0.360","0.349","30.58M","-1.40%"
"05/10/2026","0.358","0.351","0.362","0.348","85.11M","2.29%"
"05/06/2026","0.350","0.355","0.356","0.344","30.89M","-0.85%"
"05/05/2026","0.353","0.341","0.358","0.339","110.83M","3.52%"
"05/04/2026","0.341","0.339","0.342","0.336","29.20M","0.59%"
"05/03/2026","0.339","0.339","0.340","0.337","11.83M","0.30%"
"04/30/2026","0.338","0.342","0.343","0.335","28.21M","-0.88%"
"04/29/2026","0.341","0.342","0.344","0.340","21.04M","-0.29%"
"04/28/2026","0.342","0.344","0.353","0.341","60.03M","-0.29%"
"04/27/2026","0.343","0.337","0.346","0.337","34.86M","1.78%"
"04/26/2026","0.337","0.338","0.342","0.336","21.66M","-0.30%"
"04/23/2026","0.338","0.341","0.344","0.337","27.84M","-0.29%"
"04/22/2026","0.339","0.347","0.352","0.337","80.49M","-1.45%"
"04/21/2026","0.344","0.320","0.347","0.317","94.82M","7.84%"
"04/20/2026","0.319","0.319","0.321","0.317","10.32M","0.31%"
"04/19/2026","0.318","0.322","0.322","0.317","17.04M","-0.63%"
"04/16/2026","0.320","0.320","0.322","0.319","9.27M","0.31%"
"04/15/2026","0.319","0.319","0.322","0.317","12.56M","0.95%"
"04/14/2026","0.316","0.320","0.321","0.316","6.54M","-1.25%"
"04/12/2026","0.320","0.324","0.320","0.320","14.11M","0.00%"
"04/09/2026","0.320","0.324","0.324","0.316","14.11M","-1.23%"
"04/08/2026","0.324","0.315","0.324","0.312","25.16M","4.85%"
"04/07/2026","0.309","0.313","0.316","0.307","12.83M","-1.28%"
"04/06/2026","0.313","0.312","0.317","0.311","13.27M","0.97%"
"04/05/2026","0.310","0.313","0.313","0.309","8.25M","-0.32%"
"04/02/2026","0.311","0.312","0.315","0.308","6.41M","-0.32%"
"04/01/2026","0.312","0.310","0.316","0.309","5.94M","1.63%"
"03/31/2026","0.307","0.307","0.311","0.303","7.27M","0.00%"
"03/30/2026","0.307","0.310","0.313","0.304","12.34M","-0.97%"
"03/29/2026","0.310","0.320","0.321","0.309","15.15M","-2.82%"
"03/26/2026","0.319","0.331","0.333","0.317","20.75M","-3.63%"
"03/25/2026","0.331","0.335","0.337","0.330","27.25M","-0.60%"
"03/24/2026","0.333","0.333","0.341","0.330","87.66M","0.00%"
"03/18/2026","0.333","0.327","0.334","0.326","27.07M","2.15%"
"03/17/2026","0.326","0.323","0.331","0.322","22.77M","1.24%"
"03/16/2026","0.322","0.320","0.325","0.316","20.82M","0.63%"
"03/15/2026","0.320","0.320","0.326","0.318","17.35M","0.00%"
"03/12/2026","0.320","0.315","0.322","0.314","21.06M","0.95%"
"03/11/2026","0.317","0.318","0.321","0.313","11.17M","-0.31%"
"03/10/2026","0.318","0.309","0.323","0.309","38.61M","2.91%"
"03/09/2026","0.309","0.308","0.312","0.304","14.75M","1.31%"
"03/08/2026","0.305","0.309","0.312","0.302","14.15M","-1.29%"
"03/05/2026","0.309","0.300","0.315","0.297","34.80M","3.00%"
"03/04/2026","0.300","0.295","0.300","0.290","16.22M","2.39%"
"03/03/2026","0.293","0.286","0.301","0.285","44.78M","2.81%"
"03/02/2026","0.285","0.287","0.292","0.284","7.54M","0.71%"
"03/01/2026","0.283","0.279","0.287","0.271","18.54M","-3.41%"
"02/26/2026","0.293","0.295","0.295","0.286","20.67M","1.03%"
"02/25/2026","0.290","0.300","0.301","0.286","18.56M","-3.01%"
"02/24/2026","0.299","0.300","0.303","0.297","18.36M","-0.33%"
"02/23/2026","0.300","0.295","0.302","0.295","11.20M","2.04%"
"02/22/2026","0.294","0.314","0.323","0.276","84.14M","-6.37%"
"02/19/2026","0.314","0.325","0.325","0.313","17.28M","-2.48%"
"02/18/2026","0.322","0.315","0.327","0.315","42.25M","0.94%"
"02/17/2026","0.319","0.314","0.320","0.308","15.73M","1.59%"
"02/16/2026","0.314","0.324","0.324","0.314","11.93M","-1.87%"
"02/15/2026","0.320","0.322","0.329","0.320","15.28M","-0.62%"
"02/12/2026","0.322","0.324","0.328","0.321","8.70M","-0.92%"
"02/11/2026","0.325","0.330","0.333","0.324","23.83M","-0.61%"
"02/10/2026","0.327","0.320","0.338","0.318","43.04M","2.83%"
"02/09/2026","0.318","0.323","0.326","0.317","10.36M","-1.55%"
"02/08/2026","0.323","0.328","0.329","0.320","16.28M","-0.62%"
"02/05/2026","0.325","0.323","0.330","0.315","19.58M","1.56%"
"02/04/2026","0.320","0.313","0.339","0.312","91.15M","2.56%"
"02/03/2026","0.312","0.310","0.315","0.310","18.31M","1.30%"
"02/02/2026","0.308","0.305","0.312","0.295","35.58M","0.33%"
"02/01/2026","0.307","0.284","0.308","0.279","51.55M","10.04%"
"01/28/2026","0.279","0.301","0.304","0.270","63.99M","-7.62%"
