"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.64","0.63","0.64","0.63","7.37M","1.44%"
"06/23/2026","0.63","0.65","0.67","0.63","11.67M","-3.54%"
"06/22/2026","0.65","0.64","0.68","0.64","18.41M","1.72%"
"06/21/2026","0.64","0.64","0.64","0.63","19.81M","0.00%"
"06/17/2026","0.64","0.66","0.67","0.64","19.06M","-2.58%"
"06/16/2026","0.66","0.68","0.69","0.65","13.41M","-2.51%"
"06/15/2026","0.68","0.67","0.70","0.67","30.32M","2.27%"
"06/14/2026","0.66","0.67","0.67","0.65","15.51M","2.80%"
"06/11/2026","0.64","0.67","0.67","0.63","37.28M","-3.01%"
"06/10/2026","0.66","0.69","0.72","0.66","113.18M","-1.19%"
"06/09/2026","0.67","0.65","0.68","0.65","44.08M","2.91%"
"06/08/2026","0.65","0.65","0.66","0.64","14.67M","0.00%"
"06/07/2026","0.65","0.66","0.67","0.65","23.49M","-1.36%"
"06/04/2026","0.66","0.64","0.70","0.63","72.58M","3.94%"
"06/03/2026","0.63","0.63","0.64","0.62","38.80M","2.42%"
"06/02/2026","0.62","0.62","0.63","0.62","10.21M","0.00%"
"06/01/2026","0.62","0.62","0.63","0.62","11.32M","0.00%"
"05/25/2026","0.62","0.63","0.64","0.61","16.01M","-2.69%"
"05/24/2026","0.63","0.63","0.64","0.62","23.25M","0.00%"
"05/21/2026","0.63","0.61","0.64","0.61","31.20M","3.10%"
"05/20/2026","0.61","0.63","0.63","0.61","19.00M","-1.29%"
"05/19/2026","0.62","0.61","0.64","0.61","44.10M","1.31%"
"05/18/2026","0.61","0.61","0.63","0.61","32.27M","0.00%"
"05/17/2026","0.61","0.61","0.63","0.60","27.22M","0.00%"
"05/14/2026","0.61","0.60","0.62","0.59","32.05M","3.20%"
"05/13/2026","0.59","0.59","0.60","0.58","35.52M","0.00%"
"05/12/2026","0.59","0.55","0.60","0.54","77.35M","9.06%"
"05/11/2026","0.54","0.54","0.55","0.54","65.05M","0.00%"
"05/10/2026","0.54","0.50","0.55","0.50","91.55M","8.48%"
"05/06/2026","0.50","0.50","0.51","0.49","52.24M","0.00%"
"05/05/2026","0.49","0.49","0.49","0.48","48.22M","2.30%"
"05/04/2026","0.48","0.47","0.48","0.47","40.99M","2.13%"
"05/03/2026","0.47","0.47","0.48","0.47","14.93M","0.00%"
"04/30/2026","0.47","0.48","0.48","0.47","32.98M","0.00%"
"04/29/2026","0.47","0.47","0.48","0.47","42.18M","3.71%"
"04/28/2026","0.46","0.46","0.46","0.46","10.99M","0.00%"
"04/27/2026","0.46","0.46","0.47","0.46","12.10M","0.00%"
"04/26/2026","0.46","0.47","0.47","0.46","14.96M","0.00%"
"04/23/2026","0.46","0.47","0.48","0.46","35.43M","-2.74%"
"04/22/2026","0.47","0.46","0.47","0.46","61.78M","4.17%"
"04/21/2026","0.46","0.45","0.46","0.45","21.84M","2.01%"
"04/20/2026","0.45","0.44","0.45","0.44","26.27M","1.82%"
"04/19/2026","0.44","0.44","0.45","0.43","13.90M","0.00%"
"04/16/2026","0.44","0.45","0.45","0.44","11.80M","0.00%"
"04/15/2026","0.45","0.46","0.46","0.45","9.54M","-1.32%"
"04/14/2026","0.45","0.46","0.46","0.45","8.69M","0.00%"
"04/12/2026","0.45","0.46","0.45","0.45","4.87M","0.00%"
"04/09/2026","0.45","0.46","0.46","0.45","4.87M","0.00%"
"04/08/2026","0.46","0.45","0.46","0.45","9.35M","2.25%"
"04/07/2026","0.44","0.45","0.46","0.44","8.14M","-1.77%"
"04/06/2026","0.45","0.45","0.45","0.44","12.35M","1.34%"
"04/05/2026","0.45","0.45","0.45","0.44","8.35M","0.00%"
"04/02/2026","0.45","0.45","0.46","0.44","7.81M","0.00%"
"04/01/2026","0.45","0.46","0.46","0.45","6.21M","0.00%"
