"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","56.10","55.50","56.20","55.20","553.79K","1.72%"
"06/23/2026","55.15","55.50","56.30","53.00","296.20K","-0.34%"
"06/22/2026","55.34","56.00","56.25","55.00","420.22K","-1.18%"
"06/21/2026","56.00","56.16","56.60","55.96","259.85K","-0.28%"
"06/17/2026","56.16","56.15","56.50","55.60","288.41K","0.09%"
"06/16/2026","56.11","56.75","56.95","56.00","440.08K","-0.95%"
"06/15/2026","56.65","56.55","57.57","56.50","441.36K","0.43%"
"06/14/2026","56.41","56.85","56.88","56.00","501.62K","2.69%"
"06/11/2026","54.93","55.60","55.70","54.31","488.51K","-1.66%"
"06/10/2026","55.86","58.00","58.00","55.76","716.82K","-3.69%"
"06/09/2026","58.00","57.95","58.44","57.60","319.99K","0.33%"
"06/08/2026","57.81","58.60","58.60","57.56","462.90K","-1.62%"
"06/07/2026","58.76","58.90","59.70","58.00","692.04K","-0.15%"
"06/04/2026","58.85","59.80","60.30","58.80","1.13M","-1.11%"
"06/03/2026","59.51","58.20","59.70","58.01","1.81M","2.64%"
"06/02/2026","57.98","58.47","58.80","57.30","678.27K","-0.84%"
"06/01/2026","58.47","56.60","58.47","56.60","1.03M","4.63%"
"05/25/2026","55.88","57.00","57.00","55.52","350.95K","-1.32%"
"05/24/2026","56.63","54.82","57.19","54.79","819.51K","3.36%"
"05/21/2026","54.79","53.91","54.95","53.60","382.79K","1.65%"
"05/20/2026","53.90","54.50","54.89","53.75","317.09K","-1.06%"
"05/19/2026","54.48","54.40","55.20","54.00","294.22K","0.42%"
"05/18/2026","54.25","55.00","55.30","53.35","561.51K","-1.36%"
"05/17/2026","55.00","57.16","57.18","54.60","823.80K","-3.85%"
"05/14/2026","57.20","57.70","58.00","56.80","418.43K","-0.87%"
"05/13/2026","57.70","58.30","58.70","57.26","555.06K","-0.52%"
"05/12/2026","58.00","57.00","58.00","56.60","1.23M","2.02%"
"05/11/2026","56.85","54.90","57.25","54.82","1.92M","3.84%"
"05/10/2026","54.75","53.70","54.80","53.54","753.05K","2.28%"
"05/06/2026","53.53","53.98","54.19","53.40","386.42K","-0.22%"
"05/05/2026","53.65","53.70","53.81","52.60","420.86K","-0.30%"
"05/04/2026","53.81","54.82","55.50","53.76","947.77K","-1.37%"
"05/03/2026","54.56","53.84","54.56","53.50","944.88K","1.51%"
"04/30/2026","53.75","53.40","53.81","53.00","664.14K","0.66%"
"04/29/2026","53.40","53.45","53.50","53.01","531.52K","0.00%"
"04/28/2026","53.40","53.40","53.62","53.31","385.76K","0.06%"
"04/27/2026","53.37","53.35","53.49","53.05","305.85K","0.04%"
"04/26/2026","53.35","53.75","53.80","53.02","433.71K","-0.63%"
"04/23/2026","53.69","53.95","53.95","53.50","651.10K","0.15%"
"04/22/2026","53.61","53.97","54.28","53.60","908.78K","0.43%"
"04/21/2026","53.38","52.47","54.49","52.47","1.56M","1.73%"
"04/20/2026","52.47","52.27","52.63","48.00","701.65K","0.61%"
"04/19/2026","52.15","53.05","53.22","52.02","882.69K","-1.60%"
"04/16/2026","53.00","53.78","54.20","52.65","1.49M","-1.45%"
"04/15/2026","53.78","54.93","55.50","53.41","1.48M","-2.04%"
"04/14/2026","54.90","53.00","55.89","52.65","1.88M","-5.26%"
"04/12/2026","57.95","56.89","57.95","57.95","2.25M","0.00%"
"04/09/2026","57.95","57.10","57.99","56.02","2.25M","1.86%"
"04/08/2026","56.89","58.25","59.00","56.70","1.72M","-0.19%"
"04/07/2026","57.00","56.00","58.40","55.90","1.76M","2.17%"
