"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2.000","1.990","2.000","1.960","8.44M","0.00%"
"06/23/2026","2.000","2.010","2.010","1.950","6.99M","-0.50%"
"06/22/2026","2.010","2.020","2.030","1.960","17.56M","-0.99%"
"06/21/2026","2.030","1.990","2.060","1.980","10.97M","2.53%"
"06/17/2026","1.980","2.020","2.020","1.980","6.60M","-1.00%"
"06/16/2026","2.000","1.950","2.040","1.940","16.61M","2.56%"
"06/15/2026","1.950","1.980","2.010","1.950","17.42M","-1.52%"
"06/14/2026","1.980","1.910","2.000","1.880","19.55M","5.88%"
"06/11/2026","1.870","1.830","1.920","1.770","22.69M","2.19%"
"06/10/2026","1.830","1.920","1.950","1.820","13.45M","-4.19%"
"06/09/2026","1.910","1.860","1.910","1.850","15.93M","4.37%"
"06/08/2026","1.830","1.850","1.850","1.820","8.13M","-1.61%"
"06/07/2026","1.860","1.840","1.920","1.840","20.72M","1.64%"
"06/04/2026","1.830","1.860","1.890","1.830","20.76M","-1.08%"
"06/03/2026","1.850","1.770","1.860","1.750","38.54M","4.52%"
"06/02/2026","1.770","1.780","1.790","1.760","11.64M","0.00%"
"06/01/2026","1.770","1.770","1.790","1.750","5.96M","0.57%"
"05/25/2026","1.760","1.750","1.770","1.730","5.14M","1.15%"
"05/24/2026","1.740","1.760","1.780","1.730","4.05M","-0.57%"
"05/21/2026","1.750","1.760","1.770","1.710","3.27M","-0.57%"
"05/20/2026","1.760","1.810","1.810","1.750","6.90M","-1.68%"
"05/19/2026","1.790","1.750","1.830","1.750","10.95M","2.87%"
"05/18/2026","1.740","1.810","1.830","1.740","15.42M","-4.92%"
"05/17/2026","1.830","1.870","1.900","1.810","18.26M","-2.14%"
"05/14/2026","1.870","1.940","1.970","1.860","31.73M","-2.60%"
"05/13/2026","1.920","1.810","1.930","1.790","39.26M","6.08%"
"05/12/2026","1.810","1.680","1.820","1.680","41.57M","7.10%"
"05/11/2026","1.690","1.660","1.700","1.650","26.36M","-1.17%"
"05/10/2026","1.710","1.740","1.750","1.690","13.10M","-1.72%"
"05/06/2026","1.740","1.720","1.740","1.700","4.63M","1.16%"
"05/05/2026","1.720","1.720","1.730","1.680","5.79M","0.00%"
"05/04/2026","1.720","1.770","1.770","1.720","6.11M","-2.27%"
"05/03/2026","1.760","1.770","1.770","1.720","7.55M","0.00%"
"04/30/2026","1.760","1.800","1.800","1.760","5.57M","-1.68%"
"04/29/2026","1.790","1.820","1.830","1.770","9.18M","-1.65%"
"04/28/2026","1.820","1.850","1.860","1.810","5.76M","-1.09%"
"04/27/2026","1.840","1.860","1.880","1.830","10.80M","0.00%"
"04/26/2026","1.840","1.810","1.880","1.780","36.38M","2.22%"
"04/23/2026","1.800","1.760","1.810","1.730","8.20M","1.69%"
"04/22/2026","1.770","1.760","1.800","1.690","14.18M","1.14%"
"04/21/2026","1.750","1.730","1.770","1.720","7.33M","1.74%"
"04/20/2026","1.720","1.700","1.760","1.690","8.72M","1.78%"
"04/19/2026","1.690","1.700","1.710","1.690","4.45M","0.60%"
"04/16/2026","1.680","1.630","1.750","1.610","22.94M","3.07%"
"04/15/2026","1.630","1.640","1.650","1.620","6.98M","0.00%"
"04/14/2026","1.630","1.670","1.670","1.620","6.47M","-1.81%"
"04/12/2026","1.660","1.680","1.660","1.660","3.17M","0.00%"
"04/09/2026","1.660","1.690","1.690","1.660","3.17M","-1.19%"
"04/08/2026","1.680","1.700","1.700","1.670","3.57M","0.00%"
"04/07/2026","1.680","1.690","1.710","1.660","2.24M","0.60%"
"04/06/2026","1.670","1.720","1.730","1.670","6.59M","-2.34%"
"04/05/2026","1.710","1.650","1.720","1.630","7.69M","3.64%"
"04/02/2026","1.650","1.650","1.670","1.640","1.41M","0.00%"
"04/01/2026","1.650","1.670","1.670","1.640","1.40M","-1.20%"
"03/31/2026","1.670","1.660","1.680","1.640","4.79M","1.21%"
"03/30/2026","1.650","1.630","1.660","1.620","2.77M","1.23%"
"03/29/2026","1.630","1.680","1.680","1.620","3.29M","-2.98%"
"03/26/2026","1.680","1.680","1.690","1.610","3.93M","1.20%"
"03/25/2026","1.660","1.670","1.690","1.660","2.42M","-0.60%"
"03/24/2026","1.670","1.690","1.700","1.670","2.08M","-1.18%"
"03/18/2026","1.690","1.680","1.710","1.680","1.36M","0.60%"
"03/17/2026","1.680","1.710","1.740","1.670","2.31M","-1.18%"
"03/16/2026","1.700","1.740","1.750","1.690","1.82M","-2.30%"
"03/15/2026","1.740","1.740","1.770","1.720","1.61M","0.00%"
"03/12/2026","1.740","1.780","1.790","1.740","2.20M","-1.69%"
"03/11/2026","1.770","1.790","1.820","1.760","5.34M","1.14%"
"03/10/2026","1.750","1.680","1.820","1.680","4.04M","3.55%"
"03/09/2026","1.690","1.680","1.710","1.670","1.38M","0.60%"
"03/08/2026","1.680","1.730","1.730","1.670","1.37M","-1.18%"
"03/05/2026","1.700","1.700","1.730","1.690","2.61M","1.19%"
"03/04/2026","1.680","1.690","1.700","1.660","1.39M","0.00%"
"03/03/2026","1.680","1.750","1.750","1.630","4.07M","-2.89%"
"03/02/2026","1.730","1.570","1.770","1.550","8.96M","9.49%"
"03/01/2026","1.580","1.590","1.600","1.450","2.64M","-4.82%"
"02/26/2026","1.660","1.660","1.700","1.620","2.33M","0.00%"
"02/25/2026","1.660","1.780","1.790","1.650","3.94M","-6.74%"
"02/24/2026","1.780","1.870","1.870","1.760","5.77M","-4.30%"
"02/23/2026","1.860","1.850","1.870","1.800","1.51M","3.33%"
"02/22/2026","1.800","1.900","1.900","1.600","4.83M","-5.76%"
"02/19/2026","1.910","1.970","1.970","1.910","2.15M","-3.05%"
"02/18/2026","1.970","1.980","1.980","1.930","6.16M","0.00%"
"02/17/2026","1.970","2.000","2.020","1.940","7.62M","-1.50%"
"02/16/2026","2.000","2.020","2.060","1.990","6.56M","-0.50%"
"02/15/2026","2.010","2.070","2.070","2.010","9.38M","-2.90%"
"02/12/2026","2.070","2.000","2.080","1.980","6.16M","4.02%"
"02/11/2026","1.990","2.020","2.030","1.990","3.33M","-1.49%"
"02/10/2026","2.020","2.050","2.060","1.990","9.21M","-0.98%"
"02/09/2026","2.040","2.020","2.040","1.970","7.85M","2.00%"
"02/08/2026","2.000","2.030","2.050","1.990","7.46M","-0.99%"
"02/05/2026","2.020","2.050","2.060","1.990","7.14M","-0.98%"
"02/04/2026","2.040","2.050","2.070","2.010","6.92M","0.49%"
"02/03/2026","2.030","2.000","2.070","1.950","16.63M","2.01%"
"02/02/2026","1.990","1.990","2.010","1.980","7.23M","-0.50%"
"02/01/2026","2.000","2.000","2.060","1.970","3.21M","0.50%"
"01/28/2026","1.990","2.090","2.140","1.960","9.72M","-3.86%"
"01/27/2026","2.070","2.130","2.140","2.070","5.35M","-2.36%"
"01/26/2026","2.120","2.140","2.170","2.080","8.07M","-0.93%"
"01/25/2026","2.140","2.260","2.270","2.120","29.71M","-4.89%"
"01/22/2026","2.250","2.410","2.460","2.250","84.24M","-5.46%"
"01/21/2026","2.380","2.280","2.400","2.270","43.42M","7.69%"
"01/20/2026","2.210","2.110","2.250","2.110","19.40M","4.74%"
"01/19/2026","2.110","2.110","2.150","2.090","8.92M","0.00%"
"01/18/2026","2.110","2.100","2.150","2.100","5.97M","0.96%"
"01/15/2026","2.090","2.140","2.150","2.070","8.82M","-1.88%"
"01/14/2026","2.130","2.030","2.180","2.030","22.85M","4.93%"
"01/13/2026","2.030","2.100","2.110","2.030","5.65M","-2.87%"
"01/12/2026","2.090","2.070","2.150","2.070","11.08M","1.46%"
"01/11/2026","2.060","2.070","2.100","1.940","12.53M","-1.90%"
"01/08/2026","2.100","2.240","2.250","2.080","15.42M","-6.67%"
"01/06/2026","2.250","2.110","2.280","2.090","37.59M","9.22%"
"01/05/2026","2.060","2.150","2.230","2.040","19.31M","1.81%"
"01/04/2026","2.023","2.058","2.058","1.942","22.27M","-2.23%"
