"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","47.37","47.03","47.73","47.00","19.62K","0.08%"
"06/23/2026","47.33","48.00","48.01","47.22","30.56K","-0.88%"
"06/22/2026","47.75","47.49","47.93","47.03","33.44K","0.74%"
"06/21/2026","47.40","48.00","48.50","47.00","49.67K","-1.25%"
"06/17/2026","48.00","47.47","48.00","46.60","154.65K","1.59%"
"06/16/2026","47.25","47.90","48.00","46.32","186.56K","-1.34%"
"06/15/2026","47.89","47.59","48.89","47.49","327.14K","0.82%"
"06/14/2026","47.50","46.00","47.55","45.20","136.55K","5.44%"
"06/11/2026","45.05","45.90","45.98","44.02","101.70K","-2.02%"
"06/10/2026","45.98","47.02","47.02","45.91","66.91K","-2.15%"
"06/09/2026","46.99","46.10","47.00","46.00","97.83K","2.15%"
"06/08/2026","46.00","46.30","46.34","45.70","314.52K","-0.76%"
"06/07/2026","46.35","46.50","47.44","45.90","153.68K","-0.32%"
"06/04/2026","46.50","47.64","47.75","46.26","188.03K","-1.08%"
"06/03/2026","47.01","48.60","48.60","47.01","163.49K","-3.07%"
"06/02/2026","48.50","44.20","49.50","44.20","1.12M","9.75%"
"06/01/2026","44.19","43.75","44.50","42.97","130.58K","1.59%"
"05/25/2026","43.50","44.10","44.40","42.90","170.06K","-1.36%"
"05/24/2026","44.10","41.49","45.00","41.23","869.89K","6.37%"
"05/21/2026","41.46","41.00","41.50","41.00","116.83K","1.00%"
"05/20/2026","41.05","41.50","41.95","40.80","60.99K","-1.11%"
"05/19/2026","41.51","41.59","42.00","41.50","131.85K","-1.45%"
"05/18/2026","42.12","42.29","42.40","41.51","125.90K","-0.40%"
"05/17/2026","42.29","42.45","42.94","42.19","144.88K","-0.26%"
"05/14/2026","42.40","42.50","42.50","41.60","132.67K","0.86%"
"05/13/2026","42.04","42.57","42.60","41.90","108.40K","0.10%"
"05/12/2026","42.00","41.40","43.70","41.33","726.67K","1.97%"
"05/11/2026","41.19","41.02","41.38","40.53","147.41K","0.39%"
"05/10/2026","41.03","41.27","41.90","40.50","217.09K","-0.58%"
"05/06/2026","41.27","40.77","41.93","40.77","336.90K","1.43%"
"05/05/2026","40.69","40.57","41.10","40.29","296.85K","0.30%"
"05/04/2026","40.57","40.25","41.50","39.51","638.69K","1.45%"
"05/03/2026","39.99","39.70","40.30","38.00","372.70K","0.13%"
"04/30/2026","39.94","40.00","40.00","39.80","63.83K","-0.15%"
"04/29/2026","40.00","39.80","40.30","39.80","51.35K","0.55%"
"04/28/2026","39.78","40.30","40.40","39.60","116.71K","-0.53%"
"04/27/2026","39.99","40.50","40.76","39.85","130.42K","-0.82%"
