"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","66.21","67.31","69.44","65.75","77.66K","-1.63%"
"06/23/2026","67.31","70.01","70.69","66.10","169.84K","-3.33%"
"06/22/2026","69.63","74.72","74.99","69.25","246.75K","-6.67%"
"06/21/2026","74.61","79.89","79.89","73.15","343.44K","-5.00%"
"06/17/2026","78.54","74.50","88.98","73.10","1.87M","5.92%"
"06/16/2026","74.15","75.05","75.98","72.50","72.70K","-1.19%"
"06/15/2026","75.04","73.00","76.98","72.00","214.26K","4.22%"
"06/14/2026","72.00","72.00","73.49","71.52","58.63K","1.38%"
"06/11/2026","71.02","72.00","72.70","70.00","36.26K","-1.25%"
"06/10/2026","71.92","75.00","77.00","71.71","169.08K","-3.50%"
"06/09/2026","74.53","72.50","77.00","72.12","186.58K","3.64%"
"06/08/2026","71.91","72.88","73.01","71.75","19.75K","-1.48%"
"06/07/2026","72.99","74.75","74.75","71.50","61.13K","0.01%"
"06/04/2026","72.98","70.25","74.47","70.13","83.33K","4.08%"
"06/03/2026","70.12","72.88","72.88","69.21","35.53K","-2.23%"
"06/02/2026","71.72","72.11","73.89","71.41","26.21K","0.45%"
"06/01/2026","71.40","70.70","72.00","70.11","17.73K","2.66%"
"05/25/2026","69.55","69.01","74.50","69.00","111.54K","0.04%"
"05/24/2026","69.52","71.70","74.25","69.00","63.78K","-2.91%"
"05/21/2026","71.60","73.40","76.00","71.50","30.78K","-1.23%"
"05/20/2026","72.49","72.30","74.29","72.00","22.88K","0.33%"
"05/19/2026","72.25","73.99","74.00","72.05","17.06K","-1.28%"
"05/18/2026","73.19","74.00","75.85","72.10","27.84K","-1.84%"
"05/17/2026","74.56","75.20","76.99","74.00","37.09K","-0.61%"
"05/14/2026","75.02","77.01","78.50","75.00","43.65K","-2.41%"
"05/13/2026","76.87","77.55","80.00","76.35","40.17K","-0.39%"
"05/12/2026","77.17","80.00","80.99","77.00","45.73K","-2.14%"
"05/11/2026","78.86","76.20","81.44","76.15","100.53K","3.59%"
