"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","1.530","1.550","1.560","1.530","6.69M","-1.29%"
"06/23/2026","1.550","1.600","1.600","1.550","14.29M","-2.52%"
"06/22/2026","1.590","1.610","1.630","1.590","15.18M","-0.62%"
"06/21/2026","1.600","1.600","1.620","1.580","22.86M","0.63%"
"06/17/2026","1.590","1.630","1.650","1.590","27.15M","-1.85%"
"06/16/2026","1.620","1.590","1.660","1.580","55.54M","2.53%"
"06/15/2026","1.580","1.610","1.640","1.560","20.69M","-0.63%"
"06/14/2026","1.590","1.600","1.610","1.570","27.57M","2.58%"
"06/11/2026","1.550","1.660","1.670","1.540","41.41M","-6.06%"
"06/10/2026","1.650","1.670","1.730","1.630","60.10M","-0.60%"
"06/09/2026","1.660","1.650","1.680","1.640","23.45M","1.84%"
"06/08/2026","1.630","1.640","1.670","1.620","36.42M","-1.21%"
"06/07/2026","1.650","1.680","1.740","1.630","95.68M","-1.79%"
"06/04/2026","1.680","1.570","1.710","1.560","136.19M","7.01%"
"06/03/2026","1.570","1.590","1.610","1.560","28.27M","-1.26%"
"06/02/2026","1.590","1.570","1.610","1.560","27.90M","2.58%"
"06/01/2026","1.550","1.540","1.570","1.540","12.00M","1.31%"
"05/25/2026","1.530","1.530","1.550","1.520","14.78M","0.00%"
"05/24/2026","1.530","1.530","1.550","1.510","13.05M","1.32%"
"05/21/2026","1.510","1.540","1.560","1.490","17.77M","-1.31%"
"05/20/2026","1.530","1.570","1.580","1.520","19.36M","-1.92%"
"05/19/2026","1.560","1.530","1.590","1.530","31.37M","2.63%"
"05/18/2026","1.520","1.590","1.590","1.520","32.08M","-3.80%"
"05/17/2026","1.580","1.600","1.650","1.560","62.64M","0.00%"
"05/14/2026","1.580","1.510","1.620","1.490","110.01M","5.33%"
"05/13/2026","1.500","1.510","1.530","1.490","41.13M","0.67%"
"05/12/2026","1.490","1.460","1.510","1.460","32.33M","2.76%"
"05/11/2026","1.450","1.460","1.470","1.450","10.16M","-0.68%"
"05/10/2026","1.460","1.470","1.470","1.450","9.82M","0.00%"
"05/06/2026","1.460","1.460","1.480","1.440","13.37M","0.00%"
"05/05/2026","1.460","1.470","1.470","1.450","10.82M","0.00%"
"05/04/2026","1.460","1.470","1.480","1.450","20.59M","0.00%"
"05/03/2026","1.460","1.470","1.480","1.450","14.01M","0.00%"
"04/30/2026","1.460","1.500","1.500","1.460","20.72M","-1.35%"
"04/29/2026","1.480","1.500","1.520","1.470","53.62M","0.68%"
"04/28/2026","1.470","1.460","1.500","1.440","43.83M","1.38%"
"04/27/2026","1.450","1.460","1.520","1.450","48.04M","0.00%"
"04/26/2026","1.450","1.420","1.480","1.420","48.10M","2.84%"
"04/23/2026","1.410","1.450","1.450","1.410","21.05M","-2.08%"
"04/22/2026","1.440","1.460","1.500","1.420","88.50M","0.70%"
"04/21/2026","1.430","1.370","1.470","1.360","117.31M","5.93%"
"04/20/2026","1.350","1.360","1.370","1.340","8.06M","-0.74%"
"04/19/2026","1.360","1.350","1.360","1.340","9.54M","1.49%"
"04/16/2026","1.340","1.340","1.370","1.330","28.13M","0.75%"
"04/15/2026","1.330","1.340","1.350","1.330","6.98M","0.00%"
"04/14/2026","1.330","1.330","1.340","1.320","3.72M","0.76%"
"04/12/2026","1.320","1.330","1.320","1.320","6.65M","0.00%"
"04/09/2026","1.320","1.340","1.340","1.320","6.65M","-0.75%"
"04/08/2026","1.330","1.330","1.350","1.320","14.77M","2.31%"
"04/07/2026","1.300","1.330","1.330","1.300","7.37M","-1.52%"
"04/06/2026","1.320","1.340","1.340","1.320","5.68M","-0.75%"
"04/05/2026","1.330","1.320","1.350","1.310","15.85M","1.53%"
"04/02/2026","1.310","1.310","1.320","1.300","3.49M","0.00%"
"04/01/2026","1.310","1.300","1.310","1.300","2.99M","1.55%"
"03/31/2026","1.290","1.300","1.310","1.290","4.82M","-0.77%"
"03/30/2026","1.300","1.320","1.330","1.290","6.99M","-1.52%"
"03/29/2026","1.320","1.330","1.350","1.320","5.83M","-0.75%"
"03/26/2026","1.330","1.350","1.360","1.320","5.56M","-0.75%"
"03/25/2026","1.340","1.340","1.360","1.330","6.80M","0.00%"
"03/24/2026","1.340","1.330","1.350","1.320","6.01M","0.75%"
"03/18/2026","1.330","1.330","1.340","1.320","3.75M","0.76%"
"03/17/2026","1.320","1.320","1.340","1.320","2.67M","0.00%"
"03/16/2026","1.320","1.330","1.340","1.310","3.73M","-0.75%"
"03/15/2026","1.330","1.350","1.360","1.320","4.88M","-0.75%"
"03/12/2026","1.340","1.360","1.370","1.340","5.54M","-1.47%"
"03/11/2026","1.360","1.360","1.370","1.340","7.16M","0.00%"
"03/10/2026","1.360","1.360","1.370","1.340","6.76M","0.74%"
"03/09/2026","1.350","1.340","1.380","1.340","14.97M","0.75%"
"03/08/2026","1.340","1.330","1.360","1.320","15.69M","1.52%"
"03/05/2026","1.320","1.320","1.330","1.320","10.39M","0.00%"
"03/04/2026","1.320","1.300","1.330","1.290","14.21M","1.54%"
"03/03/2026","1.300","1.310","1.310","1.280","7.51M","-0.76%"
"03/02/2026","1.310","1.320","1.340","1.300","25.81M","-1.50%"
"03/01/2026","1.330","1.280","1.340","1.240","25.21M","-2.21%"
"02/26/2026","1.360","1.370","1.370","1.340","9.00M","0.00%"
"02/25/2026","1.360","1.400","1.400","1.350","8.99M","-2.86%"
"02/24/2026","1.400","1.410","1.420","1.390","11.67M","-0.71%"
"02/23/2026","1.410","1.410","1.430","1.400","17.59M","0.71%"
"02/22/2026","1.400","1.440","1.450","1.400","18.49M","-2.10%"
"02/19/2026","1.430","1.460","1.510","1.430","44.47M","-1.38%"
"02/18/2026","1.450","1.460","1.460","1.440","4.72M","0.00%"
"02/17/2026","1.450","1.450","1.470","1.440","13.50M","0.69%"
"02/16/2026","1.440","1.460","1.470","1.440","9.31M","-0.69%"
"02/15/2026","1.450","1.450","1.470","1.440","14.69M","0.00%"
"02/12/2026","1.450","1.440","1.480","1.430","12.84M","1.40%"
"02/11/2026","1.430","1.460","1.470","1.430","8.63M","-1.38%"
"02/10/2026","1.450","1.460","1.470","1.450","5.05M","-0.68%"
"02/09/2026","1.460","1.470","1.480","1.450","7.54M","-0.68%"
"02/08/2026","1.470","1.490","1.490","1.460","14.28M","0.00%"
"02/05/2026","1.470","1.490","1.500","1.460","13.60M","-1.34%"
"02/04/2026","1.490","1.450","1.530","1.450","38.32M","2.76%"
"02/03/2026","1.450","1.450","1.460","1.430","8.43M","0.69%"
"02/02/2026","1.440","1.440","1.470","1.430","10.87M","0.00%"
"02/01/2026","1.440","1.410","1.460","1.390","10.20M","2.86%"
"01/28/2026","1.400","1.440","1.450","1.390","10.34M","-2.78%"
"01/27/2026","1.440","1.430","1.460","1.420","10.42M","0.70%"
"01/26/2026","1.430","1.450","1.460","1.420","6.74M","-1.38%"
"01/25/2026","1.450","1.470","1.480","1.450","6.77M","-1.36%"
"01/22/2026","1.470","1.490","1.490","1.470","6.91M","-0.68%"
"01/21/2026","1.480","1.460","1.500","1.440","13.90M","1.37%"
"01/20/2026","1.460","1.490","1.490","1.450","6.34M","-1.35%"
"01/19/2026","1.480","1.490","1.500","1.460","7.83M","-0.67%"
"01/18/2026","1.490","1.410","1.500","1.400","25.85M","7.19%"
"01/15/2026","1.390","1.440","1.450","1.380","12.52M","-2.11%"
"01/14/2026","1.420","1.470","1.480","1.390","16.27M","-3.40%"
"01/13/2026","1.470","1.530","1.540","1.470","15.36M","-3.92%"
"01/12/2026","1.530","1.560","1.600","1.510","27.03M","-1.92%"
"01/11/2026","1.560","1.570","1.580","1.540","12.17M","0.00%"
"01/08/2026","1.560","1.600","1.610","1.550","17.45M","-1.89%"
"01/06/2026","1.590","1.600","1.610","1.580","19.89M","0.00%"
"01/05/2026","1.590","1.610","1.650","1.560","58.40M","0.00%"
"01/04/2026","1.590","1.580","1.680","1.570","91.36M","2.58%"
