"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","39.68","39.50","41.00","38.50","2.68M","0.46%"
"06/23/2026","39.50","37.69","39.50","37.60","2.60M","5.19%"
"06/22/2026","37.55","36.18","37.89","35.70","1.31M","4.48%"
"06/21/2026","35.94","35.96","36.00","35.28","790.13K","1.38%"
"06/17/2026","35.45","36.30","36.30","35.40","1.59M","-1.56%"
"06/16/2026","36.01","36.90","37.25","36.01","817.37K","-1.61%"
"06/15/2026","36.60","35.50","36.80","35.30","1.73M","4.57%"
"06/14/2026","35.00","36.98","36.98","34.99","935.07K","-1.41%"
"06/11/2026","35.50","36.48","36.60","35.10","535.19K","-1.39%"
"06/10/2026","36.00","37.89","37.89","36.00","505.26K","-3.87%"
"06/09/2026","37.45","37.50","37.58","36.90","335.95K","1.55%"
"06/08/2026","36.88","37.89","37.89","36.83","337.55K","-1.52%"
"06/07/2026","37.45","37.98","37.99","37.37","271.74K","-0.74%"
"06/04/2026","37.73","37.10","37.75","37.00","521.28K","1.48%"
"06/03/2026","37.18","38.40","38.40","37.07","458.43K","-1.38%"
"06/02/2026","37.70","38.50","38.59","37.62","688.91K","-1.82%"
"06/01/2026","38.40","38.24","38.50","37.40","1.11M","0.84%"
"05/25/2026","38.08","37.30","38.13","36.22","1.95M","2.92%"
"05/24/2026","37.00","36.80","37.10","36.10","1.25M","2.92%"
"05/21/2026","35.95","35.87","35.95","35.00","1.42M","2.19%"
"05/20/2026","35.18","36.99","37.00","35.05","813.39K","-3.59%"
"05/19/2026","36.49","35.49","36.49","34.80","1.63M","4.17%"
"05/18/2026","35.03","36.47","36.47","34.90","1.62M","-1.74%"
"05/17/2026","35.65","36.99","37.32","35.00","659.13K","-3.65%"
"05/14/2026","37.00","36.92","39.17","36.92","2.14M","0.60%"
"05/13/2026","36.78","37.33","38.50","36.75","1.42M","-0.59%"
"05/12/2026","37.00","35.00","37.37","34.84","5.54M","6.32%"
"05/11/2026","34.80","35.20","35.47","34.06","2.04M","-0.60%"
"05/10/2026","35.01","34.83","35.15","34.57","853.66K","0.52%"
"05/06/2026","34.83","34.56","35.34","34.56","949.30K","0.81%"
"05/05/2026","34.55","34.42","34.88","33.80","841.63K","0.61%"
"05/04/2026","34.34","35.76","35.89","34.34","1.41M","-3.94%"
"05/03/2026","35.75","36.80","36.90","35.20","2.01M","-2.69%"
"04/30/2026","36.74","35.81","37.50","35.50","2.16M","2.77%"
"04/29/2026","35.75","35.50","36.15","35.40","1.17M","0.70%"
"04/28/2026","35.50","35.51","36.40","35.00","1.96M","0.42%"
"04/27/2026","35.35","34.80","35.95","34.60","2.56M","1.26%"
"04/26/2026","34.91","34.69","34.99","34.20","671.05K","0.90%"
"04/23/2026","34.60","34.05","34.69","34.00","2.71M","2.06%"
"04/22/2026","33.90","34.97","35.20","33.71","1.50M","-1.71%"
"04/21/2026","34.49","34.24","34.99","34.10","405.90K","0.73%"
"04/20/2026","34.24","34.00","34.30","33.33","488.49K","1.15%"
"04/19/2026","33.85","34.90","35.15","33.71","811.15K","-2.98%"
"04/16/2026","34.89","34.00","35.48","33.70","1.52M","3.53%"
"04/15/2026","33.70","32.51","34.14","32.24","1.08M","4.63%"
"04/14/2026","32.21","33.06","33.96","32.01","798.97K","-2.57%"
"04/12/2026","33.06","32.71","33.06","33.06","466.77K","0.00%"
"04/09/2026","33.06","32.75","33.70","32.75","466.77K","1.07%"
"04/08/2026","32.71","33.85","35.00","32.69","1.75M","-2.97%"
"04/07/2026","33.71","33.58","34.17","33.50","1.71M","0.63%"
"04/06/2026","33.50","32.71","33.69","32.60","638.65K","3.08%"
"04/05/2026","32.50","31.98","32.90","31.80","424.05K","2.10%"
"04/02/2026","31.83","31.83","32.19","31.31","415.46K","0.00%"
"04/01/2026","31.83","31.55","32.50","31.55","421.71K","1.50%"
"03/31/2026","31.36","31.06","32.30","30.90","549.67K","-0.44%"
"03/30/2026","31.50","31.63","31.99","31.00","276.61K","-0.10%"
"03/29/2026","31.53","31.95","32.29","31.52","236.03K","-0.82%"
"03/26/2026","31.79","32.39","32.60","31.70","307.26K","-1.00%"
"03/25/2026","32.11","32.50","33.34","32.11","884.60K","-1.20%"
"03/24/2026","32.50","31.90","34.58","31.90","2.36M","2.85%"
"03/18/2026","31.60","31.75","32.00","31.02","807.94K","0.25%"
"03/17/2026","31.52","30.59","31.77","30.40","313.80K","3.55%"
"03/16/2026","30.44","31.74","32.00","30.13","631.68K","-4.04%"
"03/15/2026","31.72","31.99","32.70","31.72","426.50K","-0.88%"
"03/12/2026","32.00","31.98","32.50","31.33","585.21K","0.53%"
"03/11/2026","31.83","32.71","33.44","30.95","1.83M","-2.36%"
"03/10/2026","32.60","31.99","34.23","31.72","632.09K","2.81%"
"03/09/2026","31.71","32.75","33.20","31.55","433.66K","-3.88%"
"03/08/2026","32.99","30.49","34.00","30.30","2.15M","9.42%"
"03/05/2026","30.15","31.50","31.50","30.00","565.30K","-4.29%"
"03/04/2026","31.50","29.76","31.98","29.53","2.15M","6.78%"
"03/03/2026","29.50","29.15","29.50","28.01","634.23K","1.03%"
"03/02/2026","29.20","29.51","30.98","29.17","358.13K","-2.34%"
"03/01/2026","29.90","28.50","30.10","28.00","1.28M","-1.35%"
"02/26/2026","30.31","30.71","32.50","30.31","2.76M","-0.53%"
"02/25/2026","30.47","30.64","31.00","30.00","2.67M","0.23%"
"02/24/2026","30.40","30.97","31.20","30.00","906.95K","-2.97%"
"02/23/2026","31.33","29.39","31.33","29.12","1.43M","7.59%"
"02/22/2026","29.12","29.50","30.40","28.30","1.00M","4.64%"
"02/19/2026","27.83","31.20","31.49","27.80","790.49K","-10.25%"
"02/18/2026","31.01","29.76","31.14","29.72","1.99M","4.20%"
"02/17/2026","29.76","29.51","30.05","29.39","415.67K","0.20%"
"02/16/2026","29.70","29.40","30.00","29.37","1.38M","1.12%"
"02/15/2026","29.37","30.41","30.69","29.14","1.54M","-3.48%"
"02/12/2026","30.43","30.00","30.70","29.86","4.59M","2.11%"
"02/11/2026","29.80","27.32","30.05","27.32","5.49M","9.16%"
"02/10/2026","27.30","28.76","28.80","27.30","1.88M","-4.58%"
"02/09/2026","28.61","29.00","30.30","28.61","1.68M","-1.34%"
"02/08/2026","29.00","29.15","29.23","28.50","1.22M","0.42%"
"02/05/2026","28.88","28.22","31.24","28.22","5.32M","3.14%"
"02/04/2026","28.00","27.20","28.24","27.20","2.08M","3.32%"
"02/03/2026","27.10","26.20","27.25","26.20","1.24M","3.44%"
"02/02/2026","26.20","26.16","26.30","25.80","225.87K","0.54%"
"02/01/2026","26.06","26.10","26.36","25.88","247.68K","0.12%"
"01/28/2026","26.03","26.38","26.68","25.43","741.94K","-1.33%"
"01/27/2026","26.38","26.39","26.94","26.25","851.25K","1.31%"
"01/26/2026","26.04","25.40","26.50","25.20","1.33M","2.64%"
"01/25/2026","25.37","25.69","25.80","25.36","430.68K","-1.25%"
"01/22/2026","25.69","25.92","26.00","25.37","524.97K","-0.46%"
"01/21/2026","25.81","25.93","26.14","25.72","262.21K","-0.73%"
"01/20/2026","26.00","25.95","26.50","25.90","466.14K","0.46%"
"01/19/2026","25.88","25.30","26.00","25.20","1.19M","2.70%"
"01/18/2026","25.20","24.83","25.48","24.70","174.86K","2.02%"
"01/15/2026","24.70","24.98","25.50","24.26","353.60K","-1.16%"
"01/14/2026","24.99","25.03","25.15","24.61","392.41K","-0.16%"
"01/13/2026","25.03","25.71","25.92","24.80","382.22K","-2.64%"
"01/12/2026","25.71","25.63","25.96","25.63","251.26K","0.39%"
"01/11/2026","25.61","25.76","26.09","25.60","191.72K","-0.35%"
"01/08/2026","25.70","25.46","26.25","25.12","2.34M","1.98%"
"01/06/2026","25.20","24.65","25.42","24.65","903.93K","2.44%"
"01/05/2026","24.60","25.70","26.00","24.41","889.04K","-4.09%"
"01/04/2026","25.65","26.00","26.39","25.57","348.29K","-0.39%"
