"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","29.600","31.490","31.490","28.920","2.89M","-8.07%"
"06/23/2026","32.200","29.800","32.460","28.660","2.59M","8.16%"
"06/22/2026","29.770","27.400","30.020","27.400","2.49M","8.65%"
"06/21/2026","27.400","26.050","27.670","26.050","2.33M","5.43%"
"06/17/2026","25.990","24.700","25.990","24.700","1.54M","6.08%"
"06/16/2026","24.500","24.680","25.480","24.500","923.30K","0.00%"
"06/15/2026","24.500","24.570","25.990","24.500","1.57M","-0.08%"
"06/14/2026","24.520","24.380","25.000","24.140","902.38K","3.24%"
"06/11/2026","23.750","24.490","25.000","23.750","866.71K","-3.06%"
"06/10/2026","24.500","25.980","25.980","24.500","573.22K","-3.88%"
"06/09/2026","25.490","26.400","27.200","24.830","3.10M","-2.71%"
"06/08/2026","26.200","24.400","28.000","24.260","4.07M","5.65%"
"06/07/2026","24.800","23.510","24.800","23.500","961.84K","5.76%"
"06/04/2026","23.450","23.500","24.290","23.250","900.12K","0.51%"
"06/03/2026","23.330","24.520","24.690","22.860","674.07K","-4.66%"
"06/02/2026","24.470","23.970","25.500","23.810","1.09M","2.26%"
"06/01/2026","23.930","22.110","23.930","22.110","1.21M","8.67%"
"05/25/2026","22.020","22.710","22.780","22.000","643.26K","-2.57%"
"05/24/2026","22.600","21.850","22.980","21.850","777.29K","3.57%"
"05/21/2026","21.820","21.610","22.700","21.010","1.00M","1.02%"
"05/20/2026","21.600","23.010","23.010","21.300","567.39K","-6.09%"
"05/19/2026","23.000","22.600","23.080","22.450","342.99K","1.77%"
"05/18/2026","22.600","22.700","23.150","21.860","1.41M","-0.31%"
"05/17/2026","22.670","22.520","23.380","22.300","1.10M","0.53%"
"05/14/2026","22.550","23.320","23.510","22.550","381.19K","-3.30%"
"05/13/2026","23.320","24.000","24.430","23.130","1.25M","-2.63%"
"05/12/2026","23.950","22.650","24.100","22.530","1.88M","5.97%"
"05/11/2026","22.600","23.460","23.510","22.520","812.34K","-3.83%"
"05/10/2026","23.500","23.040","23.780","21.000","1.82M","2.17%"
"05/06/2026","23.000","21.000","23.290","20.800","5.28M","9.00%"
"05/05/2026","21.100","19.850","21.470","19.790","4.79M","8.32%"
"05/04/2026","19.480","19.200","19.480","18.860","1.62M","2.53%"
"05/03/2026","19.000","18.930","19.450","18.780","897.43K","0.42%"
"04/30/2026","18.920","19.250","19.520","18.870","1.04M","-1.46%"
"04/29/2026","19.200","19.340","19.700","19.160","1.72M","0.52%"
"04/28/2026","19.100","19.170","19.250","18.800","1.15M","-0.26%"
"04/27/2026","19.150","19.800","19.800","19.120","1.07M","-3.28%"
"04/26/2026","19.800","20.200","20.300","19.140","3.70M","-1.74%"
"04/23/2026","20.150","17.800","20.240","17.800","7.10M","13.78%"
"04/22/2026","17.710","17.720","18.140","17.610","643.60K","0.06%"
"04/21/2026","17.700","17.800","18.050","17.500","1.64M","0.11%"
"04/20/2026","17.680","16.810","17.790","16.810","3.08M","5.87%"
"04/19/2026","16.700","16.730","16.730","16.500","723.71K","0.66%"
"04/16/2026","16.590","16.360","16.850","16.350","1.44M","1.65%"
"04/15/2026","16.320","16.410","16.500","16.240","577.93K","-0.06%"
"04/14/2026","16.330","16.350","16.600","16.230","685.00K","0.74%"
"04/12/2026","16.210","16.350","16.210","16.210","798.88K","0.00%"
"04/09/2026","16.210","16.370","16.670","16.210","798.88K","-0.86%"
"04/08/2026","16.350","16.780","16.780","16.250","1.64M","1.11%"
"04/07/2026","16.170","17.300","17.300","16.140","3.61M","-6.53%"
"04/06/2026","17.300","15.500","17.300","15.490","3.33M","11.76%"
"04/05/2026","15.480","15.310","15.620","15.290","566.10K","1.84%"
"04/02/2026","15.200","15.010","15.340","14.850","466.28K","1.47%"
"04/01/2026","14.980","15.000","15.200","14.940","119.98K","0.33%"
"03/31/2026","14.930","14.960","15.020","14.810","121.80K","-0.20%"
"03/30/2026","14.960","15.050","15.190","14.830","145.86K","-0.60%"
"03/29/2026","15.050","15.250","15.250","15.010","433.48K","-1.05%"
"03/26/2026","15.210","15.400","15.500","15.200","169.11K","-0.91%"
"03/25/2026","15.350","15.190","15.600","15.180","405.47K","1.12%"
