"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","17.00","16.54","17.39","16.01","8.67M","3.66%"
"06/23/2026","16.40","15.70","17.00","15.70","7.42M","5.60%"
"06/22/2026","15.53","16.00","16.55","15.40","4.61M","-2.33%"
"06/21/2026","15.90","15.57","16.00","15.50","527.08K","2.12%"
"06/17/2026","15.57","15.59","15.76","15.45","1.56M","-0.13%"
"06/16/2026","15.59","15.51","15.61","15.25","499.84K","0.65%"
"06/15/2026","15.49","15.21","15.53","15.21","713.14K","2.18%"
"06/14/2026","15.16","14.86","15.28","14.85","331.31K","3.48%"
"06/11/2026","14.65","14.85","14.90","14.25","510.09K","-1.74%"
"06/10/2026","14.91","15.01","15.07","14.80","708.93K","-0.20%"
"06/09/2026","14.94","15.30","15.48","14.83","1.30M","-1.71%"
"06/08/2026","15.20","15.69","15.70","15.15","1.64M","-3.86%"
"06/07/2026","15.81","15.83","15.90","15.51","828.37K","-0.50%"
"06/04/2026","15.89","16.20","16.50","15.80","2.77M","-1.61%"
"06/03/2026","16.15","16.25","16.58","15.80","1.54M","-0.06%"
"06/02/2026","16.16","15.53","16.85","15.53","9.97M","3.79%"
"06/01/2026","15.57","15.27","15.60","15.13","911.68K","2.98%"
"05/25/2026","15.12","15.50","15.83","15.10","472.34K","-2.45%"
"05/24/2026","15.50","15.50","15.70","15.30","188.49K","0.19%"
"05/21/2026","15.47","15.50","15.70","15.00","985.49K","0.13%"
"05/20/2026","15.45","16.30","16.60","15.15","2.17M","-5.50%"
"05/19/2026","16.35","15.84","16.39","15.32","1.95M","2.89%"
"05/18/2026","15.89","16.31","16.32","15.30","1.15M","-2.58%"
"05/17/2026","16.31","16.27","16.42","16.03","3.15M","1.94%"
"05/14/2026","16.00","15.47","16.00","15.23","3.88M","3.69%"
"05/13/2026","15.43","15.03","15.53","15.03","1.45M","2.66%"
"05/12/2026","15.03","15.00","15.17","14.92","2.00M","0.60%"
"05/11/2026","14.94","14.90","15.00","14.58","4.28M","0.74%"
"05/10/2026","14.83","14.95","15.17","14.80","1.59M","-0.54%"
"05/06/2026","14.91","14.82","15.30","14.82","2.97M","0.61%"
"05/05/2026","14.82","14.85","15.00","14.71","1.04M","-0.20%"
