"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","4.96","5.12","5.17","4.92","15.96M","-3.50%"
"06/23/2026","5.14","4.72","5.25","4.72","79.66M","8.90%"
"06/22/2026","4.72","4.81","4.82","4.70","4.71M","-1.46%"
"06/21/2026","4.79","4.59","4.88","4.54","14.31M","5.74%"
"06/17/2026","4.53","4.44","4.62","4.41","4.05M","2.95%"
"06/16/2026","4.40","4.47","4.49","4.40","1.68M","-0.45%"
"06/15/2026","4.42","4.47","4.51","4.42","1.25M","-0.67%"
"06/14/2026","4.45","4.44","4.50","4.41","996.51K","2.06%"
"06/11/2026","4.36","4.43","4.43","4.36","1.26M","-1.58%"
"06/10/2026","4.43","4.57","4.62","4.41","2.85M","-3.06%"
"06/09/2026","4.57","4.60","4.64","4.53","1.25M","-0.65%"
"06/08/2026","4.60","4.53","4.69","4.48","8.50M","1.55%"
"06/07/2026","4.53","4.60","4.60","4.52","2.36M","-1.52%"
"06/04/2026","4.60","4.57","4.68","4.50","2.59M","1.77%"
"06/03/2026","4.52","4.58","4.65","4.50","1.68M","-0.66%"
"06/02/2026","4.55","4.52","4.60","4.50","3.44M","1.11%"
"06/01/2026","4.50","4.52","4.60","4.47","1.67M","-0.44%"
"05/25/2026","4.52","4.60","4.64","4.49","1.42M","-1.53%"
"05/24/2026","4.59","4.61","4.65","4.56","788.04K","0.66%"
"05/21/2026","4.56","4.61","4.68","4.55","1.88M","-0.87%"
"05/20/2026","4.60","4.76","4.84","4.60","3.01M","-3.16%"
"05/19/2026","4.75","4.83","4.90","4.73","3.98M","0.00%"
"05/18/2026","4.75","4.67","4.95","4.61","9.37M","1.50%"
"05/17/2026","4.68","4.90","4.94","4.67","6.39M","-4.49%"
"05/14/2026","4.90","4.80","4.92","4.77","8.51M","2.30%"
"05/13/2026","4.79","4.77","4.86","4.67","4.07M","1.91%"
"05/12/2026","4.70","4.76","4.80","4.68","2.36M","-0.84%"
"05/11/2026","4.74","4.61","4.75","4.60","2.74M","3.04%"
"05/10/2026","4.60","4.67","4.72","4.58","1.83M","-1.50%"
"05/06/2026","4.67","4.41","4.68","4.41","5.05M","6.14%"
"05/05/2026","4.40","4.48","4.50","4.40","3.09M","-1.79%"
"05/04/2026","4.48","4.43","4.49","4.39","3.17M","1.36%"
"05/03/2026","4.42","4.40","4.43","4.34","1.91M","1.14%"
"04/30/2026","4.37","4.34","4.40","4.33","1.56M","0.92%"
"04/29/2026","4.33","4.39","4.40","4.32","1.01M","-0.92%"
"04/28/2026","4.37","4.42","4.43","4.35","527.15K","-1.13%"
"04/27/2026","4.42","4.40","4.43","4.30","994.63K","0.45%"
"04/26/2026","4.40","4.34","4.41","4.22","1.93M","2.56%"
"04/23/2026","4.29","4.35","4.36","4.29","1.84M","-1.38%"
"04/22/2026","4.35","4.25","4.35","4.17","2.79M","2.59%"
"04/21/2026","4.24","4.25","4.29","4.20","895.48K","0.95%"
"04/20/2026","4.20","4.28","4.32","4.19","966.85K","-1.64%"
"04/19/2026","4.27","4.18","4.33","4.10","2.86M","3.14%"
"04/16/2026","4.14","4.11","4.20","4.10","1.67M","1.22%"
"04/15/2026","4.09","4.09","4.12","4.08","1.22M","0.25%"
"04/14/2026","4.08","4.20","4.22","4.00","6.61M","-2.63%"
"04/12/2026","4.19","4.22","4.19","4.19","443.06K","0.00%"
"04/09/2026","4.19","4.20","4.23","4.17","443.06K","-0.71%"
"04/08/2026","4.22","4.14","4.23","4.14","734.52K","2.43%"
"04/07/2026","4.12","4.20","4.21","4.11","695.80K","-1.90%"
"04/06/2026","4.20","4.12","4.23","4.12","2.37M","0.96%"
"04/05/2026","4.16","4.13","4.19","4.10","1.50M","0.97%"
"04/02/2026","4.12","4.15","4.22","4.11","2.53M","-0.72%"
"04/01/2026","4.15","4.04","4.20","4.04","2.94M","2.98%"
"03/31/2026","4.03","4.00","4.08","3.96","2.00M","1.00%"
"03/30/2026","3.99","3.98","4.01","3.95","1.55M","1.53%"
"03/29/2026","3.93","4.01","4.03","3.92","939.14K","-2.00%"
"03/26/2026","4.01","4.03","4.03","3.99","764.59K","0.25%"
"03/25/2026","4.00","4.03","4.07","3.99","1.62M","-0.50%"
"03/24/2026","4.02","4.04","4.10","4.00","1.26M","0.00%"
"03/18/2026","4.02","3.98","4.04","3.98","315.65K","1.01%"
"03/17/2026","3.98","4.00","4.05","3.95","917.10K","-0.50%"
"03/16/2026","4.00","4.02","4.07","3.99","465.60K","-1.23%"
"03/15/2026","4.05","4.09","4.09","4.00","575.91K","-0.25%"
"03/12/2026","4.06","4.14","4.14","4.05","389.82K","-1.69%"
"03/11/2026","4.13","4.05","4.18","4.03","854.27K","2.48%"
"03/10/2026","4.03","4.06","4.09","4.00","722.89K","-0.49%"
"03/09/2026","4.05","4.06","4.07","4.00","680.50K","-0.25%"
"03/08/2026","4.06","4.02","4.11","3.98","884.43K","1.00%"
"03/05/2026","4.02","3.98","4.12","3.93","1.22M","1.77%"
"03/04/2026","3.95","3.94","3.98","3.88","1.22M","1.28%"
"03/03/2026","3.90","4.00","4.00","3.89","1.01M","-2.01%"
"03/02/2026","3.98","4.06","4.07","3.95","527.56K","0.00%"
"03/01/2026","3.98","3.71","4.09","3.71","1.35M","-6.79%"
"02/26/2026","4.27","4.33","4.41","4.25","1.42M","-1.16%"
"02/25/2026","4.32","4.47","4.47","4.31","497.36K","-4.00%"
"02/24/2026","4.50","4.48","4.50","4.36","509.31K","0.45%"
"02/23/2026","4.48","4.33","4.48","4.31","466.10K","3.94%"
"02/22/2026","4.31","4.48","4.49","4.30","1.17M","-3.79%"
"02/19/2026","4.48","4.60","4.63","4.48","590.43K","-2.61%"
"02/18/2026","4.60","4.58","4.63","4.55","1.70M","0.44%"
"02/17/2026","4.58","4.64","4.66","4.57","1.07M","-0.43%"
"02/16/2026","4.60","4.55","4.70","4.53","4.56M","1.32%"
"02/15/2026","4.54","4.55","4.61","4.51","1.86M","0.00%"
"02/12/2026","4.54","4.49","4.54","4.45","455.84K","1.11%"
"02/11/2026","4.49","4.58","4.59","4.49","1.01M","-1.75%"
"02/10/2026","4.57","4.53","4.58","4.53","2.45M","2.24%"
"02/09/2026","4.47","4.45","4.59","4.41","3.72M","1.13%"
"02/08/2026","4.42","4.47","4.48","4.41","952.46K","-0.23%"
"02/05/2026","4.43","4.43","4.47","4.37","1.89M","0.23%"
"02/04/2026","4.42","4.43","4.53","4.39","1.73M","1.38%"
"02/03/2026","4.36","4.35","4.48","4.35","1.02M","0.69%"
"02/02/2026","4.33","4.40","4.40","4.31","326.42K","-1.37%"
"02/01/2026","4.39","4.29","4.40","4.25","1.02M","2.09%"
"01/28/2026","4.30","4.39","4.40","4.21","1.30M","-1.15%"
"01/27/2026","4.35","4.36","4.37","4.27","1.30M","0.93%"
"01/26/2026","4.31","4.42","4.52","4.29","2.48M","-2.05%"
"01/25/2026","4.40","4.59","4.59","4.39","2.41M","-2.87%"
