"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","82.12","80.10","82.95","80.10","213.95K","2.24%"
"06/23/2026","80.32","81.20","81.50","80.10","37.28K","-1.08%"
"06/22/2026","81.20","81.45","81.45","80.72","24.07K","-0.36%"
"06/21/2026","81.49","81.45","81.90","80.08","44.91K","0.47%"
"06/17/2026","81.11","82.05","82.38","81.02","91.14K","-0.18%"
"06/16/2026","81.26","78.73","82.00","77.52","144.66K","4.55%"
"06/15/2026","77.72","79.00","79.80","77.50","38.04K","-1.41%"
"06/14/2026","78.83","78.00","79.00","77.12","39.61K","2.38%"
"06/11/2026","77.00","79.98","79.98","76.60","82.60K","-2.32%"
"06/10/2026","78.83","81.65","81.69","78.60","95.88K","-2.86%"
"06/09/2026","81.15","80.85","81.96","80.80","98.74K","0.37%"
"06/08/2026","80.85","80.00","81.50","79.72","64.72K","-0.23%"
"06/07/2026","81.04","80.45","82.50","80.06","210.96K","0.05%"
"06/04/2026","81.00","81.23","81.50","80.13","74.83K","-0.12%"
"06/03/2026","81.10","81.50","81.69","79.70","88.68K","0.28%"
"06/02/2026","80.87","81.50","81.76","80.10","77.25K","-0.39%"
"06/01/2026","81.19","80.00","81.97","79.49","89.37K","2.13%"
"05/25/2026","79.50","80.99","81.88","79.25","103.26K","-1.84%"
"05/24/2026","80.99","82.79","82.79","80.90","117.53K","-0.54%"
"05/21/2026","81.43","83.50","83.50","81.03","90.77K","-1.26%"
"05/20/2026","82.47","85.01","85.03","82.14","116.34K","-2.94%"
"05/19/2026","84.97","85.13","86.87","84.01","95.76K","-1.20%"
"05/18/2026","86.00","89.26","89.50","85.52","191.82K","-3.65%"
"05/17/2026","89.26","88.50","89.50","87.57","513.16K","0.22%"
"05/14/2026","89.06","92.00","92.77","88.77","371.08K","-3.56%"
"05/13/2026","92.35","89.50","96.00","87.40","3.45M","6.05%"
"05/12/2026","87.08","85.00","88.09","84.03","664.99K","2.57%"
"05/11/2026","84.90","84.98","87.00","84.05","244.97K","0.69%"
"05/10/2026","84.32","84.00","85.50","83.00","114.57K","1.13%"
"05/06/2026","83.38","82.97","84.00","82.75","77.20K","0.51%"
"05/05/2026","82.96","83.90","83.90","82.50","59.76K","-1.20%"
"05/04/2026","83.97","82.50","88.10","81.30","627.38K","2.36%"
"05/03/2026","82.03","82.48","82.82","82.00","46.43K","0.04%"
"04/30/2026","82.00","81.79","82.60","81.20","69.16K","0.79%"
"04/29/2026","81.36","82.15","82.78","81.30","40.34K","-0.95%"
"04/28/2026","82.14","82.84","83.00","81.53","66.15K","-0.19%"
