"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","20.94","20.85","21.10","20.85","651.75K","-0.24%"
"06/23/2026","20.99","21.27","21.27","20.91","893.88K","-0.52%"
"06/22/2026","21.10","21.30","21.39","20.92","1.54M","-0.57%"
"06/21/2026","21.22","21.40","21.53","21.00","1.74M","-0.84%"
"06/17/2026","21.40","21.10","21.50","20.96","3.51M","1.90%"
"06/16/2026","21.00","21.58","21.58","20.96","1.31M","-2.69%"
"06/15/2026","21.58","21.20","21.60","21.16","3.19M","2.27%"
"06/14/2026","21.10","21.00","21.33","20.75","3.10M","3.33%"
"06/11/2026","20.42","20.80","20.91","20.20","1.72M","-2.25%"
"06/10/2026","20.89","21.20","21.27","20.54","1.66M","-2.11%"
"06/09/2026","21.34","21.20","21.38","21.10","1.84M","1.28%"
"06/08/2026","21.07","21.55","21.80","21.00","2.40M","-2.45%"
"06/07/2026","21.60","22.10","22.10","21.60","1.32M","-2.92%"
"06/04/2026","22.25","22.05","22.34","21.88","1.69M","0.95%"
"06/03/2026","22.04","22.48","22.48","21.81","1.92M","-2.00%"
"06/02/2026","22.49","22.29","22.49","21.99","3.12M","1.08%"
"06/01/2026","22.25","22.50","22.78","21.98","3.21M","-1.11%"
"05/25/2026","22.50","22.05","22.56","21.80","5.95M","1.35%"
"05/24/2026","22.20","22.10","22.50","21.96","2.76M","0.91%"
"05/21/2026","22.00","21.70","22.03","21.50","1.28M","1.76%"
"05/20/2026","21.62","21.90","22.17","21.60","2.83M","-0.60%"
"05/19/2026","21.75","21.55","22.12","21.55","2.26M","1.12%"
"05/18/2026","21.51","21.46","21.66","21.30","2.85M","-0.46%"
"05/17/2026","21.61","21.98","21.99","21.48","1.33M","-1.73%"
"05/14/2026","21.99","21.67","21.99","21.60","2.68M","1.99%"
"05/13/2026","21.56","22.20","22.40","21.39","5.97M","-1.96%"
"05/12/2026","21.99","22.33","22.39","21.82","2.28M","-1.48%"
"05/11/2026","22.32","22.71","22.83","22.15","2.57M","-1.59%"
"05/10/2026","22.68","22.22","22.77","22.22","3.30M","2.16%"
"05/06/2026","22.20","21.00","22.20","21.00","7.15M","5.71%"
"05/05/2026","21.00","20.77","21.04","20.35","1.86M","0.10%"
"05/04/2026","20.98","21.00","21.23","20.10","2.40M","0.24%"
"05/03/2026","20.93","20.65","21.00","20.60","1.36M","1.60%"
"04/30/2026","20.60","20.80","20.90","20.45","2.46M","-0.96%"
"04/29/2026","20.80","21.00","21.00","20.51","2.12M","-1.65%"
"04/28/2026","21.15","21.25","21.30","20.80","2.50M","-0.47%"
"04/27/2026","21.25","21.25","21.29","20.91","787.01K","0.24%"
"04/26/2026","21.20","21.10","21.32","20.83","1.10M","0.71%"
"04/23/2026","21.05","21.37","21.42","20.90","1.28M","-1.50%"
"04/22/2026","21.37","20.79","21.58","20.74","3.21M","2.89%"
"04/21/2026","20.77","20.35","20.77","20.25","2.04M","2.11%"
"04/20/2026","20.34","20.80","20.85","20.00","1.43M","-1.88%"
"04/19/2026","20.73","20.80","20.80","20.50","1.59M","0.88%"
"04/16/2026","20.55","20.65","21.60","20.51","4.87M","-0.24%"
"04/15/2026","20.60","20.69","20.86","20.41","2.85M","0.00%"
"04/14/2026","20.60","20.28","21.60","20.18","7.16M","0.64%"
"04/12/2026","20.47","19.95","20.47","20.47","6.71M","0.00%"
"04/09/2026","20.47","19.94","20.47","19.45","6.71M","2.61%"
"04/08/2026","19.95","19.20","19.95","19.20","8.77M","6.12%"
"04/07/2026","18.80","18.87","18.93","18.66","3.41M","-0.32%"
"04/06/2026","18.86","18.57","18.91","18.53","3.73M","2.61%"
"04/05/2026","18.38","18.30","18.70","18.25","6.99M","0.99%"
"04/02/2026","18.20","18.49","18.61","18.19","4.15M","-1.57%"
"04/01/2026","18.49","18.13","18.49","18.10","4.50M","2.72%"
"03/31/2026","18.00","18.40","18.50","17.80","3.42M","-1.37%"
"03/30/2026","18.25","18.70","18.82","18.21","1.00M","-2.41%"
"03/29/2026","18.70","18.77","18.83","18.50","1.08M","-0.37%"
"03/26/2026","18.77","19.10","19.22","18.77","2.29M","-1.21%"
"03/25/2026","19.00","18.51","19.15","18.48","7.07M","2.81%"
"03/24/2026","18.48","18.69","18.80","18.40","2.46M","-0.86%"
"03/18/2026","18.64","18.50","18.97","18.50","3.55M","1.30%"
"03/17/2026","18.40","18.37","19.11","18.30","4.21M","0.82%"
"03/16/2026","18.25","18.70","18.87","17.88","2.25M","-2.14%"
"03/15/2026","18.65","18.99","18.99","18.57","852.70K","-1.58%"
"03/12/2026","18.95","19.22","19.22","18.75","1.67M","-1.40%"
"03/11/2026","19.22","19.16","19.35","19.10","1.66M","1.16%"
"03/10/2026","19.00","18.75","19.13","18.67","4.95M","2.15%"
"03/09/2026","18.60","19.80","19.80","18.60","8.43M","-5.92%"
"03/08/2026","19.77","19.86","20.49","19.20","2.47M","-1.15%"
"03/05/2026","20.00","19.35","20.19","19.35","4.56M","4.17%"
"03/04/2026","19.20","19.48","19.54","18.50","3.15M","-0.67%"
"03/03/2026","19.33","19.85","19.90","18.95","5.01M","-3.69%"
"03/02/2026","20.07","20.00","20.22","19.50","3.68M","2.29%"
"03/01/2026","19.62","19.80","20.50","18.66","2.89M","-5.35%"
"02/26/2026","20.73","21.55","21.55","20.55","3.18M","-0.34%"
"02/25/2026","20.80","21.58","21.70","20.50","2.42M","-3.26%"
"02/24/2026","21.50","22.30","22.49","21.40","4.72M","-3.28%"
"02/23/2026","22.23","21.59","22.62","21.03","2.31M","2.96%"
"02/22/2026","21.59","22.50","22.69","20.10","4.87M","-4.04%"
"02/19/2026","22.50","23.26","23.28","22.16","5.21M","-3.35%"
"02/18/2026","23.28","22.60","23.28","22.56","4.61M","3.01%"
"02/17/2026","22.60","22.90","22.90","22.48","2.51M","-0.88%"
"02/16/2026","22.80","23.20","23.54","22.60","7.15M","-1.30%"
"02/15/2026","23.10","22.90","23.10","22.61","2.78M","1.32%"
"02/12/2026","22.80","22.45","22.80","22.20","2.12M","1.56%"
"02/11/2026","22.45","22.85","22.90","22.30","1.43M","-1.54%"
"02/10/2026","22.80","22.80","23.00","22.35","2.18M","0.00%"
"02/09/2026","22.80","22.77","23.15","22.55","3.31M","-0.44%"
"02/08/2026","22.90","23.12","23.49","22.66","2.77M","0.00%"
"02/05/2026","22.90","22.42","23.00","22.07","5.27M","2.14%"
"02/04/2026","22.42","22.48","22.65","22.27","6.82M","0.76%"
"02/03/2026","22.25","21.80","23.70","21.65","13.20M","2.06%"
"02/02/2026","21.80","21.95","22.00","21.40","3.25M","-0.59%"
"02/01/2026","21.93","21.98","22.05","21.10","2.64M","1.29%"
"01/28/2026","21.65","22.20","22.39","21.25","5.12M","-2.48%"
"01/27/2026","22.20","22.19","22.46","22.00","5.18M","0.91%"
"01/26/2026","22.00","21.90","22.47","21.65","6.68M","0.05%"
"01/25/2026","21.99","22.26","23.00","21.51","4.35M","-0.95%"
"01/22/2026","22.20","21.60","23.34","21.45","14.96M","2.92%"
"01/21/2026","21.57","21.21","21.90","20.62","8.19M","1.84%"
"01/20/2026","21.18","19.81","22.50","19.65","9.89M","7.02%"
"01/19/2026","19.79","19.90","19.97","19.51","2.26M","-0.75%"
"01/18/2026","19.94","19.70","20.00","19.25","1.09M","1.89%"
"01/15/2026","19.57","19.80","20.07","19.30","1.71M","-0.91%"
"01/14/2026","19.75","19.07","19.98","18.60","2.24M","3.67%"
"01/13/2026","19.05","20.49","20.68","19.00","3.93M","-4.99%"
"01/12/2026","20.05","20.00","20.34","19.70","1.50M","0.25%"
"01/11/2026","20.00","19.20","20.19","19.20","3.71M","3.90%"
"01/08/2026","19.25","19.00","20.00","18.90","2.80M","1.85%"
"01/06/2026","18.90","18.19","19.10","18.19","4.36M","4.71%"
"01/05/2026","18.05","17.80","18.70","16.69","9.61M","2.27%"
"01/04/2026","17.65","18.50","18.74","17.60","2.12M","-4.54%"
