"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","8.000","7.500","8.500","7.000","3.68M","7.96%"
"06/23/2026","7.410","7.900","8.100","7.310","1.65M","-6.20%"
"06/22/2026","7.900","8.120","8.490","7.620","4.19M","-1.50%"
"06/21/2026","8.020","8.880","10.170","7.840","7.36M","-5.65%"
"06/17/2026","8.500","7.330","8.780","7.330","5.61M","15.96%"
"06/16/2026","7.330","6.110","7.330","5.900","4.22M","19.97%"
"06/15/2026","6.110","6.500","6.500","5.840","3.38M","-0.16%"
"06/14/2026","6.120","5.100","6.120","5.060","3.40M","20.00%"
"06/11/2026","5.100","4.950","5.120","4.870","374.15K","2.82%"
"06/10/2026","4.960","5.000","5.060","4.950","269.65K","-0.80%"
"06/09/2026","5.000","5.100","5.140","4.970","203.33K","-1.19%"
"06/08/2026","5.060","5.000","5.100","4.940","225.67K","1.20%"
"06/07/2026","5.000","4.890","5.080","4.810","424.44K","3.09%"
"06/04/2026","4.850","4.740","4.950","4.660","263.90K","1.46%"
"06/03/2026","4.780","4.780","4.800","4.750","21.02K","0.00%"
"06/02/2026","4.780","4.830","4.860","4.760","179.04K","-0.83%"
"06/01/2026","4.820","4.740","4.870","4.740","44.28K","0.00%"
"05/25/2026","4.820","4.930","4.930","4.740","108.17K","-0.82%"
"05/24/2026","4.860","4.780","4.990","4.780","184.59K","-0.61%"
"05/21/2026","4.890","4.890","4.890","4.730","55.81K","0.00%"
"05/20/2026","4.890","4.690","5.000","4.660","156.80K","3.60%"
"05/19/2026","4.720","4.750","4.810","4.610","229.62K","-1.67%"
"05/18/2026","4.800","4.980","4.980","4.730","166.50K","-2.44%"
"05/17/2026","4.920","5.000","5.000","4.900","181.04K","-1.60%"
"05/14/2026","5.000","5.000","5.040","4.920","250.23K","-0.20%"
"05/13/2026","5.010","5.040","5.040","4.910","218.39K","0.20%"
"05/12/2026","5.000","5.000","5.040","4.910","285.43K","-0.20%"
"05/11/2026","5.010","5.070","5.100","4.990","424.43K","-1.18%"
