"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","5,779.02","5,782.78","5,796.35","5,754.70","98.49M","-0.07%"
"06/23/2026","5,782.78","5,854.58","5,873.71","5,766.44","140.09M","-1.23%"
"06/22/2026","5,854.58","5,860.52","5,879.26","5,837.32","143.76M","-0.10%"
"06/21/2026","5,860.52","5,842.71","5,894.05","5,842.68","143.02M","0.30%"
"06/17/2026","5,842.71","5,810.20","5,862.61","5,794.73","154.85M","0.56%"
"06/16/2026","5,810.20","5,832.63","5,835.10","5,794.85","273.97M","-0.38%"
"06/15/2026","5,832.63","5,782.95","5,850.72","5,788.06","301.35M","0.86%"
"06/14/2026","5,782.95","5,609.69","5,788.78","5,720.90","154.57M","3.09%"
"06/11/2026","5,609.69","5,705.99","5,699.27","5,609.61","106.38M","-1.69%"
"06/10/2026","5,705.99","5,820.55","5,823.62","5,698.64","138.57M","-1.97%"
"06/09/2026","5,820.55","5,804.05","5,861.18","5,808.89","149.27M","0.28%"
"06/08/2026","5,804.05","5,825.21","5,863.57","5,785.47","384.64M","-0.36%"
"06/07/2026","5,825.21","5,922.69","5,912.06","5,825.21","197.23M","-1.65%"
"06/04/2026","5,922.69","5,898.85","5,927.97","5,889.98","312.60M","0.40%"
"06/03/2026","5,898.85","5,950.51","5,965.47","5,862.93","153.33M","-0.87%"
"06/02/2026","5,950.51","5,960.78","5,970.22","5,932.54","124.04M","-0.17%"
"06/01/2026","5,960.78","5,887.49","5,960.78","5,906.08","145.83M","1.24%"
"05/25/2026","5,887.49","5,847.57","5,887.49","5,825.89","119.52M","0.68%"
"05/24/2026","5,847.57","5,800.79","5,880.62","5,828.02","124.82M","0.81%"
"05/21/2026","5,800.79","5,742.70","5,803.39","5,731.06","95.86M","1.01%"
"05/20/2026","5,742.70","5,827.66","5,865.86","5,742.70","140.12M","-1.46%"
"05/19/2026","5,827.66","5,720.25","5,844.57","5,724.39","138.93M","1.88%"
"05/18/2026","5,720.25","5,730.06","5,770.63","5,705.79","144.48M","-0.17%"
