"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","4,509.58","4,467.57","4,539.11","4,452.83","","0.94%"
"06/23/2026","4,467.57","4,490.48","4,515.35","4,448.49","","-0.51%"
"06/22/2026","4,490.48","4,625.74","4,649.54","4,488.80","","-2.92%"
"06/21/2026","4,625.74","4,578.43","4,655.23","4,578.43","","1.03%"
"06/19/2026","4,578.43","4,614.54","4,578.43","4,578.43","","0.00%"
"06/17/2026","4,578.43","4,614.54","4,631.89","4,574.10","","-0.78%"
"06/16/2026","4,614.54","4,649.99","4,673.17","4,612.33","","-0.76%"
"06/15/2026","4,649.99","4,717.89","4,751.78","4,634.27","","-1.44%"
"06/14/2026","4,717.89","4,816.98","4,887.64","4,706.84","","-2.06%"
"06/11/2026","4,816.98","4,932.41","4,932.41","4,786.90","","-2.34%"
"06/10/2026","4,932.41","5,045.96","5,063.06","4,932.41","","-2.25%"
"06/09/2026","5,045.96","5,065.81","5,092.90","5,043.93","","-0.39%"
"06/08/2026","5,065.81","5,054.37","5,138.58","5,054.26","","0.23%"
"06/07/2026","5,054.37","5,093.85","5,095.00","5,050.86","","-0.78%"
"06/04/2026","5,093.85","5,106.49","5,124.86","5,091.76","","-0.25%"
"06/03/2026","5,106.49","5,090.83","5,135.41","5,090.83","","0.31%"
"06/02/2026","5,090.83","5,142.39","5,175.58","5,090.83","","-1.00%"
"06/01/2026","5,142.39","5,172.49","5,172.49","5,106.01","","-0.58%"
"05/25/2026","5,172.49","5,171.85","5,192.33","5,052.13","","0.01%"
"05/24/2026","5,171.85","5,176.60","5,219.22","5,149.23","","-0.09%"
"05/21/2026","5,176.60","5,177.88","5,207.75","5,158.75","","-0.02%"
"05/20/2026","5,177.88","5,302.87","5,332.23","5,177.88","","-2.36%"
"05/19/2026","5,302.87","5,359.99","5,357.66","5,269.80","","-0.65%"
"05/18/2026","5,337.55","5,330.45","5,427.71","5,335.94","","0.03%"
"05/17/2026","5,335.94","5,249.61","5,365.94","5,249.61","","1.64%"
"05/14/2026","5,249.61","5,257.75","5,305.95","5,222.99","","-0.15%"
"05/13/2026","5,257.75","5,273.88","5,304.63","5,246.13","","-0.31%"
"05/12/2026","5,273.88","5,191.02","5,287.60","5,191.02","","1.60%"
"05/11/2026","5,191.02","5,077.49","5,198.33","5,077.49","","2.24%"
"05/10/2026","5,077.49","5,043.20","5,104.55","5,034.35","","0.68%"
"05/06/2026","5,043.20","5,116.04","5,144.14","5,018.31","","-1.42%"
"05/05/2026","5,116.04","5,169.61","5,204.43","5,008.85","","-1.04%"
"05/04/2026","5,169.61","5,401.49","5,403.37","5,169.61","","-4.29%"
"05/03/2026","5,401.49","5,443.56","5,510.96","5,398.37","","-0.77%"
"04/30/2026","5,443.56","5,344.22","5,467.19","5,344.22","","1.86%"
"04/29/2026","5,344.22","5,359.24","5,385.02","5,331.39","","-0.28%"
"04/28/2026","5,359.24","5,328.42","5,423.31","5,328.42","","0.58%"
"04/27/2026","5,328.42","5,273.83","5,337.63","5,273.83","","1.04%"
"04/26/2026","5,273.83","5,175.05","5,304.40","5,175.05","","1.91%"
"04/23/2026","5,175.05","5,166.01","5,296.61","5,166.01","","0.17%"
"04/22/2026","5,166.01","5,118.11","5,214.28","5,112.84","","0.94%"
"04/21/2026","5,118.11","5,057.13","5,195.33","5,056.02","","1.21%"
"04/20/2026","5,057.13","5,074.37","5,100.26","5,041.38","","-0.34%"
"04/19/2026","5,074.37","5,067.68","5,092.66","5,026.31","","0.13%"
"04/16/2026","5,067.68","5,103.15","5,135.44","5,027.34","","-0.70%"
"04/15/2026","5,103.15","5,096.18","5,117.83","5,069.68","","0.14%"
"04/14/2026","5,096.18","4,967.63","5,097.34","4,967.63","","2.59%"
"04/12/2026","4,967.63","4,969.22","4,967.63","4,967.63","","0.00%"
"04/09/2026","4,967.63","4,969.22","5,013.25","4,958.05","","-0.03%"
"04/08/2026","4,969.22","5,134.73","5,144.60","4,919.79","","-3.22%"
"04/07/2026","5,134.73","5,034.68","5,164.83","5,034.68","","1.99%"
"04/06/2026","5,034.68","4,971.34","5,079.22","4,971.34","","1.27%"
"04/05/2026","4,971.34","4,913.53","4,975.08","4,913.53","","1.18%"
"04/02/2026","4,913.53","4,941.62","4,967.45","4,911.61","","-0.57%"
"04/01/2026","4,941.62","4,901.30","4,946.48","4,840.39","","0.82%"
"03/31/2026","4,901.30","4,871.41","4,942.47","4,810.45","","0.61%"
"03/30/2026","4,871.41","4,995.02","5,043.72","4,844.94","","-2.47%"
"03/29/2026","4,995.02","5,091.13","5,152.16","4,956.47","","-1.89%"
"03/26/2026","5,091.13","5,208.57","5,256.46","5,089.86","","-2.25%"
"03/25/2026","5,208.57","5,321.63","5,364.17","5,184.55","","-2.12%"
"03/24/2026","5,321.63","5,096.83","5,327.51","5,096.83","","4.41%"
"03/18/2026","5,096.83","5,124.83","5,145.88","5,092.61","","-0.55%"
"03/17/2026","5,124.83","5,095.78","5,157.08","5,077.04","","0.57%"
"03/16/2026","5,095.78","5,152.77","5,209.44","5,050.69","","-1.11%"
"03/15/2026","5,152.77","5,212.92","5,308.39","5,146.00","","-1.15%"
"03/12/2026","5,212.92","5,102.68","5,265.43","5,102.68","","2.16%"
"03/11/2026","5,102.68","4,895.56","5,102.68","4,895.56","","4.23%"
"03/10/2026","4,895.56","5,066.49","5,066.49","4,842.30","","-3.37%"
"03/09/2026","5,066.49","5,187.18","5,369.36","5,004.19","","-2.33%"
"03/08/2026","5,187.18","4,706.57","5,331.81","4,706.57","","10.21%"
"03/05/2026","4,706.57","4,764.28","4,805.78","4,706.57","","-1.21%"
"03/04/2026","4,764.28","4,640.89","4,971.38","4,640.89","","2.66%"
