"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","9,491.04","9,347.33","9,491.04","9,324.50","","1.54%"
"06/23/2026","9,347.33","9,423.26","9,459.97","9,319.65","","-0.81%"
"06/22/2026","9,423.26","9,516.61","9,541.42","9,401.48","","-0.98%"
"06/21/2026","9,516.61","9,527.69","9,613.75","9,483.60","","-0.12%"
"06/19/2026","9,527.69","9,386.01","9,527.69","9,527.69","","0.00%"
"06/17/2026","9,527.69","9,386.01","9,527.69","9,370.77","","1.51%"
"06/16/2026","9,386.01","9,451.34","9,491.98","9,381.02","","-0.69%"
"06/15/2026","9,451.34","9,303.50","9,494.24","9,303.50","","1.59%"
"06/14/2026","9,303.50","9,047.36","9,344.31","9,047.36","","2.83%"
"06/11/2026","9,047.36","9,252.27","9,252.27","9,029.84","","-2.21%"
"06/10/2026","9,252.27","9,573.83","9,612.92","9,252.27","","-3.36%"
"06/09/2026","9,573.83","9,615.72","9,724.60","9,546.35","","-0.44%"
"06/08/2026","9,615.72","9,801.72","9,801.72","9,612.89","","-1.90%"
"06/07/2026","9,801.72","9,901.23","9,901.23","9,786.79","","-1.01%"
"06/04/2026","9,901.23","9,942.07","9,990.28","9,869.52","","-0.41%"
"06/03/2026","9,942.07","10,035.41","10,107.53","9,922.08","","-0.93%"
"06/02/2026","10,035.41","10,058.94","10,143.82","10,035.41","","-0.23%"
"06/01/2026","10,058.94","9,756.94","10,058.94","9,756.94","","3.10%"
"05/25/2026","9,756.94","9,807.12","9,829.42","9,710.97","","-0.51%"
"05/24/2026","9,807.12","9,689.94","9,839.21","9,689.94","","1.21%"
"05/21/2026","9,689.94","9,551.26","9,862.99","9,551.26","","1.45%"
"05/20/2026","9,551.26","9,739.32","9,839.96","9,551.26","","-1.93%"
"05/19/2026","9,739.32","9,738.51","9,830.17","9,658.34","","0.84%"
"05/18/2026","9,658.34","9,765.40","9,766.46","9,604.74","","-0.92%"
"05/17/2026","9,747.80","9,849.24","9,970.30","9,724.78","","-1.03%"
"05/14/2026","9,849.24","9,848.37","9,911.89","9,788.54","","0.01%"
"05/13/2026","9,848.37","9,808.05","9,980.59","9,808.05","","0.41%"
"05/12/2026","9,808.05","9,555.55","9,822.76","9,555.55","","2.64%"
"05/11/2026","9,555.55","9,492.90","9,645.23","9,492.90","","0.66%"
"05/10/2026","9,492.90","9,399.09","9,518.07","9,283.46","","1.00%"
"05/06/2026","9,399.09","9,482.05","9,576.40","9,377.61","","-0.87%"
"05/05/2026","9,482.05","9,550.90","9,662.17","9,418.78","","-0.72%"
"05/04/2026","9,550.90","9,525.30","9,779.14","9,452.17","","0.27%"
"05/03/2026","9,525.30","9,040.43","9,546.96","9,040.43","","5.36%"
"04/30/2026","9,040.43","8,908.27","9,046.62","8,874.01","","1.48%"
"04/29/2026","8,908.27","8,981.89","9,088.76","8,865.51","","-0.82%"
"04/28/2026","8,981.89","8,769.96","9,087.44","8,769.96","","2.42%"
"04/27/2026","8,769.96","8,763.19","8,818.64","8,677.10","","0.08%"
"04/26/2026","8,763.19","8,861.62","8,945.85","8,756.68","","-1.11%"
"04/23/2026","8,861.62","8,814.99","8,934.16","8,762.36","","0.53%"
"04/22/2026","8,814.99","8,724.80","8,956.84","8,724.80","","1.03%"
"04/21/2026","8,724.80","8,651.20","8,827.24","8,651.20","","0.85%"
"04/20/2026","8,651.20","8,682.01","8,689.01","8,612.68","","-0.35%"
"04/19/2026","8,682.01","8,734.07","8,756.17","8,472.05","","-0.60%"
"04/16/2026","8,734.07","8,796.64","8,823.03","8,707.44","","-0.71%"
"04/15/2026","8,796.64","8,751.24","8,874.00","8,721.84","","0.52%"
"04/14/2026","8,751.24","8,606.19","8,759.27","8,465.24","","1.69%"
"04/12/2026","8,606.19","8,486.91","8,606.19","8,606.19","","0.00%"
"04/09/2026","8,606.19","8,486.91","8,621.19","8,455.28","","1.41%"
"04/08/2026","8,486.91","8,453.68","8,656.09","8,453.68","","0.39%"
"04/07/2026","8,453.68","8,437.92","8,628.36","8,424.74","","0.19%"
"04/06/2026","8,437.92","8,318.93","8,474.78","8,318.93","","1.43%"
"04/05/2026","8,318.93","8,190.77","8,318.93","8,190.77","","1.56%"
"04/02/2026","8,190.77","8,149.03","8,214.39","8,135.70","","0.51%"
"04/01/2026","8,149.03","8,031.52","8,191.95","8,031.52","","1.46%"
"03/31/2026","8,031.52","7,959.30","8,112.81","7,959.30","","0.91%"
"03/30/2026","7,959.30","8,086.59","8,105.56","7,901.52","","-1.57%"
"03/29/2026","8,086.59","8,186.85","8,251.08","8,056.13","","-1.22%"
"03/26/2026","8,186.85","8,086.88","8,387.49","8,086.88","","1.24%"
"03/25/2026","8,086.88","8,085.88","8,126.58","8,071.42","","0.01%"
"03/24/2026","8,085.88","8,127.16","8,286.05","8,067.28","","-0.51%"
"03/18/2026","8,127.16","8,004.20","8,127.16","7,990.50","","1.54%"
