"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","6,837.23","6,842.28","6,898.03","6,779.99","","-0.07%"
"06/23/2026","6,842.28","6,965.86","7,014.22","6,842.28","","-1.77%"
"06/22/2026","6,965.86","6,951.42","6,983.54","6,887.45","","0.21%"
"06/21/2026","6,951.42","6,929.94","7,000.75","6,919.80","","0.31%"
"06/19/2026","6,929.94","6,889.45","6,929.94","6,929.94","","0.00%"
"06/17/2026","6,929.94","6,889.45","7,027.62","6,887.22","","0.59%"
"06/16/2026","6,889.45","6,813.93","6,925.46","6,813.93","","1.11%"
"06/15/2026","6,813.93","6,749.99","6,894.75","6,749.99","","0.95%"
"06/14/2026","6,749.99","6,430.09","6,827.64","6,430.09","","4.98%"
"06/11/2026","6,430.09","6,426.27","6,527.56","6,394.37","","0.06%"
"06/10/2026","6,426.27","6,507.81","6,684.37","6,426.27","","-1.25%"
"06/09/2026","6,507.81","6,369.85","6,563.32","6,369.85","","2.17%"
"06/08/2026","6,369.85","6,338.34","6,423.11","6,299.92","","0.50%"
"06/07/2026","6,338.34","6,362.13","6,386.74","6,317.74","","-0.37%"
"06/04/2026","6,362.13","6,281.73","6,367.34","6,281.73","","1.28%"
"06/03/2026","6,281.73","6,325.91","6,374.08","6,280.50","","-0.70%"
"06/02/2026","6,325.91","6,240.32","6,385.52","6,240.32","","1.37%"
"06/01/2026","6,240.32","6,175.74","6,245.39","6,158.46","","1.05%"
"05/25/2026","6,175.74","6,073.37","6,175.74","6,073.37","","1.69%"
"05/24/2026","6,073.37","6,031.33","6,106.39","6,031.33","","0.70%"
"05/21/2026","6,031.33","6,039.96","6,062.19","6,016.05","","-0.14%"
"05/20/2026","6,039.96","6,108.88","6,143.10","6,012.55","","-1.13%"
"05/19/2026","6,108.88","6,091.91","6,142.12","6,047.91","","1.01%"
"05/18/2026","6,047.91","6,131.96","6,126.95","6,047.49","","-1.29%"
"05/17/2026","6,126.95","6,198.01","6,212.53","6,095.00","","-1.15%"
"05/14/2026","6,198.01","6,181.58","6,200.24","6,141.39","","0.27%"
"05/13/2026","6,181.58","6,149.32","6,263.35","6,149.32","","0.52%"
"05/12/2026","6,149.32","6,077.88","6,204.64","6,077.88","","1.18%"
"05/11/2026","6,077.88","6,045.57","6,100.49","6,021.85","","0.53%"
