"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","11,054.04","11,067.67","11,099.98","11,029.20","","-0.12%"
"06/23/2026","11,067.67","11,121.79","11,286.67","10,990.19","","-0.49%"
"06/22/2026","11,121.79","11,170.83","11,249.42","11,107.82","","-0.44%"
"06/21/2026","11,170.83","10,934.00","11,508.21","10,934.00","","2.17%"
"06/19/2026","10,934.00","10,899.70","10,934.00","10,934.00","","0.00%"
"06/17/2026","10,934.00","10,899.70","11,008.52","10,838.97","","0.31%"
"06/16/2026","10,899.70","10,975.42","11,053.94","10,844.66","","-0.69%"
"06/15/2026","10,975.42","10,963.71","11,083.09","10,961.75","","0.11%"
"06/14/2026","10,963.71","10,780.96","10,985.12","10,780.96","","1.70%"
"06/11/2026","10,780.96","10,827.51","10,827.51","10,722.36","","-0.43%"
"06/10/2026","10,827.51","11,049.31","11,059.16","10,800.43","","-2.01%"
"06/09/2026","11,049.31","10,879.67","11,099.45","10,879.67","","1.56%"
"06/08/2026","10,879.67","10,967.03","10,967.03","10,847.32","","-0.80%"
"06/07/2026","10,967.03","11,061.38","11,061.38","10,967.03","","-0.85%"
"06/04/2026","11,061.38","11,096.89","11,111.25","11,057.29","","-0.32%"
"06/03/2026","11,096.89","11,017.23","11,158.56","10,969.54","","0.72%"
"06/02/2026","11,017.23","11,057.02","11,124.99","11,017.23","","-0.36%"
"06/01/2026","11,057.02","11,019.71","11,107.81","10,987.23","","0.34%"
"05/25/2026","11,019.71","11,071.25","11,113.29","10,792.08","","-0.47%"
"05/24/2026","11,071.25","11,042.72","11,184.72","11,042.72","","0.26%"
"05/21/2026","11,042.72","11,119.01","11,320.07","11,006.55","","-0.69%"
"05/20/2026","11,119.01","11,319.76","11,428.52","11,110.59","","-1.77%"
"05/19/2026","11,319.76","11,336.23","11,491.54","11,175.43","","1.29%"
"05/18/2026","11,175.43","11,444.17","11,510.61","11,175.43","","-1.40%"
"05/17/2026","11,334.37","11,630.95","11,762.70","11,330.69","","-2.55%"
"05/14/2026","11,630.95","11,484.96","11,676.12","11,484.96","","1.27%"
"05/13/2026","11,484.96","11,396.03","11,765.61","11,396.03","","0.78%"
"05/12/2026","11,396.03","11,246.68","11,863.58","11,142.82","","1.33%"
"05/11/2026","11,246.68","10,730.89","11,754.04","10,730.89","","4.81%"
"05/10/2026","10,730.89","10,567.14","10,849.91","10,567.14","","1.55%"
"05/06/2026","10,567.14","10,257.41","10,800.12","10,257.41","","3.02%"
"05/05/2026","10,257.41","10,281.35","10,339.81","10,223.27","","-0.23%"
"05/04/2026","10,281.35","10,290.85","10,346.75","10,039.33","","-0.09%"
"05/03/2026","10,290.85","10,360.87","10,380.67","10,247.30","","-0.68%"
"04/30/2026","10,360.87","10,326.75","10,440.63","10,303.27","","0.33%"
"04/29/2026","10,326.75","10,410.69","10,463.07","10,162.19","","-0.81%"
"04/28/2026","10,410.69","10,471.56","11,038.03","10,267.16","","-0.58%"
"04/27/2026","10,471.56","9,717.23","10,708.58","9,717.23","","7.76%"
"04/26/2026","9,717.23","10,027.85","10,165.45","9,559.31","","-3.10%"
"04/23/2026","10,027.85","10,488.91","11,311.07","9,345.02","","-4.40%"
"04/22/2026","10,488.91","9,504.40","10,503.84","9,504.40","","10.36%"
"04/21/2026","9,504.40","8,607.64","9,543.56","8,607.64","","10.42%"
"04/20/2026","8,607.64","8,147.55","8,787.29","8,147.55","","5.65%"
"04/19/2026","8,147.55","7,744.59","8,359.83","7,744.59","","5.20%"
"04/16/2026","7,744.59","7,737.52","7,866.20","7,731.01","","0.09%"
"04/15/2026","7,737.52","7,449.09","7,940.97","7,449.09","","3.87%"
"04/14/2026","7,449.09","7,496.05","7,527.68","7,430.46","","-0.63%"
"04/12/2026","7,496.05","7,637.82","7,496.05","7,496.05","","0.00%"
"04/09/2026","7,496.05","7,637.82","7,685.53","7,492.11","","-1.86%"
"04/08/2026","7,637.82","7,306.37","7,864.64","7,304.94","","4.54%"
"04/07/2026","7,306.37","7,435.56","7,467.56","7,242.22","","-1.74%"
"04/06/2026","7,435.56","6,893.01","7,457.36","6,893.01","","7.87%"
"04/05/2026","6,893.01","6,844.22","7,030.10","6,844.22","","0.71%"
"04/02/2026","6,844.22","6,702.96","6,939.10","6,702.96","","2.11%"
"04/01/2026","6,702.96","6,828.66","6,849.51","6,688.70","","-1.84%"
"03/31/2026","6,828.66","6,532.49","6,831.10","6,532.49","","4.53%"
"03/30/2026","6,532.49","6,708.45","6,708.45","6,526.72","","-2.62%"
"03/29/2026","6,708.45","6,580.92","6,728.58","6,569.34","","1.94%"
"03/26/2026","6,580.92","6,606.24","6,615.76","6,573.77","","-0.38%"
"03/25/2026","6,606.24","6,686.09","6,691.72","6,606.24","","-1.19%"
"03/24/2026","6,686.09","6,718.87","6,718.87","6,637.21","","-0.49%"
"03/18/2026","6,718.87","6,612.71","6,718.87","6,604.42","","1.61%"
"03/17/2026","6,612.71","6,606.83","6,617.59","6,606.02","","0.09%"
"03/16/2026","6,606.83","6,597.18","6,614.00","6,590.59","","0.15%"
"03/15/2026","6,597.18","6,726.05","6,726.05","6,593.05","","-1.92%"
"03/12/2026","6,726.05","6,723.10","6,773.66","6,710.40","","0.04%"
"03/11/2026","6,723.10","6,663.54","6,734.75","6,663.54","","0.89%"
"03/10/2026","6,663.54","6,560.08","6,666.32","6,556.84","","1.58%"
"03/09/2026","6,560.08","6,580.33","6,588.76","6,546.03","","-0.31%"
"03/08/2026","6,580.33","6,598.70","6,635.20","6,538.15","","-0.28%"
"03/05/2026","6,598.70","6,518.54","6,599.51","6,512.71","","1.23%"
"03/04/2026","6,518.54","6,515.63","6,569.42","6,475.04","","0.04%"
"03/03/2026","6,515.63","6,574.66","6,574.66","6,279.99","","-0.90%"
"03/02/2026","6,574.66","6,506.06","6,605.92","6,506.06","","1.05%"
"03/01/2026","6,506.06","6,739.68","6,739.68","6,133.49","","-3.47%"
"02/26/2026","6,739.68","6,654.33","6,757.47","6,649.32","","1.28%"
"02/25/2026","6,654.33","6,827.22","6,827.41","6,643.24","","-2.53%"
"02/24/2026","6,827.22","6,856.68","6,930.60","6,826.91","","-0.43%"
"02/23/2026","6,856.68","6,735.90","6,975.20","6,735.90","","1.79%"
"02/22/2026","6,735.90","6,824.47","6,845.88","6,719.85","","-1.30%"
"02/19/2026","6,824.47","6,919.34","6,969.73","6,816.26","","-1.37%"
"02/18/2026","6,919.34","6,805.17","7,030.82","6,805.17","","1.68%"
"02/17/2026","6,805.17","6,832.46","6,832.46","6,789.88","","-0.40%"
"02/16/2026","6,832.46","6,865.54","6,865.54","6,805.81","","-0.48%"
"02/15/2026","6,865.54","6,924.68","7,204.89","6,865.34","","-0.85%"
"02/12/2026","6,924.68","6,896.99","6,958.70","6,896.99","","0.40%"
"02/11/2026","6,896.99","6,914.80","6,985.24","6,888.73","","-0.26%"
"02/10/2026","6,914.80","6,912.71","6,973.21","6,912.07","","0.03%"
"02/09/2026","6,912.71","7,016.28","7,017.10","6,912.71","","-1.48%"
"02/08/2026","7,016.28","6,903.25","7,018.50","6,903.25","","1.64%"
"02/05/2026","6,903.25","6,977.67","6,977.67","6,896.27","","-1.07%"
"02/04/2026","6,977.67","7,077.62","7,079.56","6,953.99","","-1.41%"
"02/03/2026","7,077.62","6,928.40","7,089.92","6,902.32","","2.15%"
"02/02/2026","6,928.40","6,819.48","7,024.85","6,819.48","","1.60%"
"02/01/2026","6,819.48","6,816.57","6,820.29","6,764.18","","0.04%"
"01/28/2026","6,816.57","6,877.72","6,903.09","6,737.60","","-0.89%"
"01/27/2026","6,877.72","6,802.98","7,235.91","6,801.31","","1.10%"
"01/26/2026","6,802.98","6,856.86","6,856.86","6,802.98","","-0.79%"
"01/25/2026","6,856.86","6,846.13","6,916.28","6,846.13","","0.16%"
"01/22/2026","6,846.13","6,877.78","6,954.15","6,846.13","","-0.46%"
"01/21/2026","6,877.78","6,927.50","6,940.01","6,872.73","","-0.72%"
"01/20/2026","6,927.50","6,868.67","6,955.28","6,868.67","","0.86%"
"01/19/2026","6,868.67","6,765.12","7,103.62","6,765.12","","1.53%"
"01/18/2026","6,765.12","6,737.60","6,862.79","6,737.60","","0.41%"
"01/17/2026","6,737.60","6,791.01","6,737.60","6,737.60","","0.00%"
"01/15/2026","6,737.60","6,791.01","6,832.29","6,724.35","","-0.79%"
"01/14/2026","6,791.01","7,012.23","7,012.23","6,771.16","","-3.15%"
"01/13/2026","7,012.23","7,079.57","7,101.18","6,999.46","","-0.95%"
"01/12/2026","7,079.57","7,059.13","7,157.82","7,059.13","","0.29%"
"01/11/2026","7,059.13","7,089.63","7,092.31","7,059.13","","-0.43%"
"01/08/2026","7,089.63","7,101.02","7,112.73","7,083.45","","-0.16%"
"01/06/2026","7,101.02","7,113.33","7,134.13","7,098.28","","-0.17%"
"01/05/2026","7,113.33","7,114.12","7,117.17","7,064.65","","-0.01%"
"01/04/2026","7,114.12","7,116.86","7,130.21","7,107.16","","-0.04%"
