"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","2,721.03","2,707.17","2,739.45","2,684.69","","0.51%"
"06/23/2026","2,707.17","2,692.33","2,751.01","2,685.99","","0.55%"
"06/22/2026","2,692.33","2,711.64","2,722.29","2,667.72","","-0.71%"
"06/21/2026","2,711.64","2,647.67","2,713.26","2,647.67","","2.42%"
"06/19/2026","2,647.67","2,638.20","2,647.67","2,647.67","","0.00%"
"06/17/2026","2,647.67","2,638.20","2,650.50","2,636.73","","0.36%"
"06/16/2026","2,638.20","2,638.33","2,648.42","2,624.14","","0.00%"
"06/15/2026","2,638.33","2,633.46","2,658.25","2,630.46","","0.18%"
"06/14/2026","2,633.46","2,553.74","2,636.21","2,553.74","","3.12%"
"06/11/2026","2,553.74","2,607.18","2,607.18","2,546.30","","-2.05%"
"06/10/2026","2,607.18","2,675.00","2,677.41","2,604.64","","-2.54%"
"06/09/2026","2,675.00","2,679.82","2,707.05","2,667.55","","-0.18%"
"06/08/2026","2,679.82","2,707.40","2,725.53","2,675.01","","-1.02%"
"06/07/2026","2,707.40","2,697.64","2,712.86","2,674.53","","0.36%"
"06/04/2026","2,697.64","2,667.02","2,715.05","2,667.02","","1.15%"
"06/03/2026","2,667.02","2,672.44","2,693.99","2,645.21","","-0.20%"
"06/02/2026","2,672.44","2,639.45","2,693.66","2,639.18","","1.25%"
"06/01/2026","2,639.45","2,592.01","2,639.45","2,592.01","","1.83%"
"05/25/2026","2,592.01","2,608.50","2,620.08","2,587.77","","-0.63%"
"05/24/2026","2,608.50","2,580.26","2,609.83","2,580.26","","1.09%"
"05/21/2026","2,580.26","2,584.09","2,597.39","2,557.32","","-0.15%"
"05/20/2026","2,584.09","2,680.48","2,696.97","2,576.28","","-3.60%"
"05/19/2026","2,680.48","2,636.40","2,692.94","2,626.35","","1.79%"
"05/18/2026","2,633.30","2,681.60","2,676.16","2,627.56","","-1.52%"
"05/17/2026","2,673.99","2,708.45","2,717.58","2,670.38","","-1.27%"
"05/14/2026","2,708.45","2,704.46","2,722.95","2,684.24","","0.15%"
"05/13/2026","2,704.46","2,682.10","2,712.19","2,682.10","","0.83%"
"05/12/2026","2,682.10","2,652.15","2,696.05","2,652.15","","1.13%"
"05/11/2026","2,652.15","2,654.03","2,670.56","2,630.08","","-0.07%"
"05/10/2026","2,654.03","2,568.34","2,662.94","2,568.34","","3.34%"
"05/06/2026","2,568.34","2,518.14","2,568.71","2,518.14","","1.99%"
"05/05/2026","2,518.14","2,507.80","2,544.09","2,494.53","","0.41%"
"05/04/2026","2,507.80","2,487.98","2,556.38","2,487.98","","0.80%"
"05/03/2026","2,487.98","2,417.73","2,501.60","2,413.46","","2.91%"
"04/30/2026","2,417.73","2,399.33","2,480.07","2,399.33","","0.77%"
"04/29/2026","2,399.33","2,340.89","2,408.62","2,327.66","","2.50%"
"04/28/2026","2,340.89","2,335.52","2,357.43","2,325.77","","0.23%"
"04/27/2026","2,335.52","2,338.63","2,343.78","2,324.27","","-0.13%"
"04/26/2026","2,338.63","2,309.32","2,361.79","2,309.32","","1.27%"
"04/23/2026","2,309.32","2,319.10","2,327.93","2,304.77","","-0.42%"
"04/22/2026","2,319.10","2,315.69","2,331.51","2,312.04","","0.15%"
"04/21/2026","2,315.69","2,312.23","2,357.08","2,312.23","","0.15%"
"04/20/2026","2,312.23","2,237.61","2,332.23","2,237.61","","3.33%"
"04/19/2026","2,237.61","2,214.25","2,238.05","2,214.25","","1.05%"
"04/16/2026","2,214.25","2,214.39","2,243.58","2,213.78","","-0.01%"
"04/15/2026","2,214.39","2,192.46","2,223.07","2,192.46","","1.00%"
"04/14/2026","2,192.46","2,177.32","2,199.79","2,177.32","","0.70%"
"04/12/2026","2,177.32","2,139.16","2,177.32","2,177.32","","0.00%"
"04/09/2026","2,177.32","2,139.16","2,190.74","2,132.42","","1.78%"
"04/08/2026","2,139.16","2,095.22","2,144.58","2,095.22","","2.10%"
"04/07/2026","2,095.22","2,103.54","2,118.81","2,095.03","","-0.40%"
"04/06/2026","2,103.54","2,094.53","2,118.45","2,085.40","","0.43%"
"04/05/2026","2,094.53","2,086.49","2,114.26","2,086.49","","0.39%"
"04/02/2026","2,086.49","2,080.67","2,096.61","2,065.28","","0.28%"
"04/01/2026","2,080.67","2,047.74","2,082.27","2,047.74","","1.61%"
"03/31/2026","2,047.74","2,055.29","2,064.35","2,043.01","","-0.37%"
"03/30/2026","2,055.29","2,090.70","2,101.43","2,040.74","","-1.69%"
"03/29/2026","2,090.70","2,134.20","2,135.22","2,085.53","","-2.04%"
"03/26/2026","2,134.20","2,141.94","2,160.22","2,133.06","","-0.36%"
"03/25/2026","2,141.94","2,122.84","2,152.71","2,122.84","","0.90%"
"03/24/2026","2,122.84","2,146.77","2,153.58","2,122.28","","-1.11%"
"03/18/2026","2,146.77","2,132.64","2,148.90","2,132.64","","0.66%"
"03/17/2026","2,132.64","2,106.34","2,136.17","2,106.34","","1.25%"
"03/16/2026","2,106.34","2,144.58","2,149.31","2,104.56","","-1.78%"
"03/15/2026","2,144.58","2,185.63","2,193.92","2,142.52","","-1.88%"
"03/12/2026","2,185.63","2,207.33","2,238.65","2,179.42","","-0.98%"
"03/11/2026","2,207.33","2,193.29","2,234.60","2,177.93","","0.64%"
"03/10/2026","2,193.29","2,125.39","2,199.02","2,125.39","","3.19%"
"03/09/2026","2,125.39","2,168.47","2,176.22","2,125.39","","-1.99%"
"03/08/2026","2,168.47","2,187.73","2,194.77","2,166.42","","-0.88%"
"03/05/2026","2,187.73","2,182.91","2,199.31","2,182.91","","0.22%"
"03/04/2026","2,182.91","2,185.74","2,217.61","2,168.87","","-0.13%"
"03/03/2026","2,185.74","2,193.24","2,201.84","2,152.75","","-0.34%"
"03/02/2026","2,193.24","2,155.13","2,207.37","2,155.13","","1.77%"
"03/01/2026","2,155.13","2,211.51","2,211.51","2,056.60","","-2.55%"
"02/26/2026","2,211.51","2,213.31","2,228.66","2,183.11","","-0.08%"
"02/25/2026","2,213.31","2,267.11","2,268.39","2,190.48","","-2.37%"
"02/24/2026","2,267.11","2,271.66","2,295.31","2,243.53","","-0.20%"
"02/23/2026","2,271.66","2,177.94","2,271.71","2,177.94","","4.30%"
"02/22/2026","2,177.94","2,249.72","2,266.10","2,171.57","","-3.19%"
"02/19/2026","2,249.72","2,294.08","2,339.12","2,249.72","","-1.93%"
"02/18/2026","2,294.08","2,274.40","2,315.10","2,267.99","","0.87%"
"02/17/2026","2,274.40","2,202.89","2,278.51","2,202.89","","3.25%"
"02/16/2026","2,202.89","2,200.50","2,214.18","2,193.23","","0.11%"
"02/15/2026","2,200.50","2,194.87","2,214.98","2,175.09","","0.26%"
"02/12/2026","2,194.87","2,135.27","2,216.80","2,130.84","","2.79%"
"02/11/2026","2,135.27","2,136.25","2,167.38","2,128.84","","-0.05%"
"02/10/2026","2,136.25","2,145.61","2,150.27","2,120.07","","-0.44%"
