"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","4,584.70","4,603.69","4,628.41","4,578.42","","-0.41%"
"06/23/2026","4,603.69","4,642.01","4,681.99","4,566.09","","-0.83%"
"06/22/2026","4,642.01","4,736.91","4,744.50","4,634.57","","-2.00%"
"06/21/2026","4,736.91","4,626.04","4,805.61","4,626.04","","2.40%"
"06/19/2026","4,626.04","4,568.11","4,626.04","4,626.04","","0.00%"
"06/17/2026","4,626.04","4,568.11","4,700.73","4,537.32","","1.27%"
"06/16/2026","4,568.11","4,605.66","4,622.55","4,541.39","","-0.82%"
"06/15/2026","4,605.66","4,552.91","4,685.87","4,552.91","","1.16%"
"06/14/2026","4,552.91","4,291.69","4,552.91","4,291.69","","6.09%"
"06/11/2026","4,291.69","4,402.71","4,455.82","4,279.50","","-2.52%"
"06/10/2026","4,402.71","4,442.67","4,543.73","4,393.04","","-0.90%"
"06/09/2026","4,442.67","4,370.76","4,523.71","4,370.76","","1.65%"
"06/08/2026","4,370.76","4,465.09","4,465.09","4,355.37","","-2.11%"
"06/07/2026","4,465.09","4,525.71","4,559.34","4,449.08","","-1.34%"
"06/04/2026","4,525.71","4,430.71","4,558.88","4,418.72","","2.14%"
"06/03/2026","4,430.71","4,385.09","4,436.89","4,358.04","","1.04%"
"06/02/2026","4,385.09","4,363.41","4,428.90","4,355.51","","0.50%"
"06/01/2026","4,363.41","4,221.88","4,397.08","4,221.88","","3.35%"
"05/25/2026","4,221.88","4,155.17","4,231.78","4,146.83","","1.61%"
"05/24/2026","4,155.17","4,091.74","4,179.69","4,091.74","","1.55%"
"05/21/2026","4,091.74","4,072.28","4,100.32","4,069.70","","0.48%"
"05/20/2026","4,072.28","4,182.33","4,188.70","4,072.28","","-2.63%"
"05/19/2026","4,182.33","4,188.67","4,204.32","4,166.96","","0.04%"
"05/18/2026","4,180.50","4,254.60","4,236.93","4,166.18","","-1.33%"
"05/17/2026","4,236.93","4,294.84","4,323.08","4,236.93","","-1.35%"
"05/14/2026","4,294.84","4,254.08","4,321.89","4,254.08","","0.96%"
"05/13/2026","4,254.08","4,233.83","4,288.87","4,231.65","","0.48%"
"05/12/2026","4,233.83","4,277.97","4,277.97","4,215.31","","-1.03%"
"05/11/2026","4,277.97","4,272.02","4,287.19","4,239.11","","0.14%"
"05/10/2026","4,272.02","4,204.15","4,277.42","4,204.15","","1.61%"
"05/06/2026","4,204.15","4,164.38","4,217.26","4,142.34","","0.96%"
