"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","4,771.04","4,739.70","4,851.95","4,739.70","","0.66%"
"06/23/2026","4,739.70","4,791.99","4,800.81","4,729.96","","-1.09%"
"06/22/2026","4,791.99","4,815.63","4,833.79","4,786.58","","-0.49%"
"06/21/2026","4,815.63","4,832.88","4,862.24","4,793.92","","-0.36%"
"06/19/2026","4,832.88","4,809.14","4,832.88","4,832.88","","0.00%"
"06/17/2026","4,832.88","4,809.14","4,836.59","4,790.13","","0.49%"
"06/16/2026","4,809.14","4,780.07","4,809.61","4,751.42","","0.61%"
"06/15/2026","4,780.07","4,777.54","4,828.45","4,768.72","","0.05%"
"06/14/2026","4,777.54","4,750.14","4,809.99","4,750.14","","0.58%"
"06/11/2026","4,750.14","4,760.75","4,760.75","4,683.32","","-0.22%"
"06/10/2026","4,760.75","4,881.59","4,899.56","4,759.04","","-2.48%"
"06/09/2026","4,881.59","4,844.63","4,903.57","4,844.63","","0.76%"
"06/08/2026","4,844.63","4,887.39","4,894.92","4,840.13","","-0.87%"
"06/07/2026","4,887.39","4,905.28","4,948.35","4,872.79","","-0.36%"
"06/04/2026","4,905.28","4,898.09","4,943.52","4,888.26","","0.15%"
"06/03/2026","4,898.09","4,926.24","4,942.22","4,881.90","","-0.57%"
"06/02/2026","4,926.24","4,881.50","4,987.66","4,881.50","","0.92%"
"06/01/2026","4,881.50","4,794.71","4,888.26","4,794.71","","1.81%"
"05/25/2026","4,794.71","4,752.72","4,794.71","4,739.24","","0.88%"
"05/24/2026","4,752.72","4,703.75","4,753.69","4,703.75","","1.04%"
"05/21/2026","4,703.75","4,725.66","4,796.04","4,692.50","","-0.46%"
"05/20/2026","4,725.66","4,794.66","4,853.55","4,725.66","","-1.44%"
"05/19/2026","4,794.66","4,750.13","4,859.72","4,725.92","","1.45%"
"05/18/2026","4,725.92","4,851.40","4,844.42","4,725.92","","-2.45%"
"05/17/2026","4,844.42","4,865.27","4,881.75","4,844.42","","-0.43%"
"05/14/2026","4,865.27","4,862.17","4,895.49","4,850.62","","0.06%"
"05/13/2026","4,862.17","4,856.88","4,872.35","4,849.61","","0.11%"
"05/12/2026","4,856.88","4,892.38","4,899.72","4,853.20","","-0.73%"
"05/11/2026","4,892.38","4,919.84","4,933.49","4,876.16","","-0.56%"
"05/10/2026","4,919.84","4,836.92","4,957.97","4,836.92","","1.71%"
"05/06/2026","4,836.92","4,838.07","4,858.48","4,801.20","","-0.02%"
"05/05/2026","4,838.07","4,829.85","4,847.23","4,800.62","","0.17%"
"05/04/2026","4,829.85","4,817.21","4,881.18","4,813.62","","0.26%"
"05/03/2026","4,817.21","4,807.26","4,835.43","4,805.86","","0.21%"
"04/30/2026","4,807.26","4,846.52","4,871.20","4,790.71","","-0.81%"
