"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","7,681.92","7,680.16","7,775.00","7,671.94","","0.02%"
"06/23/2026","7,680.16","7,784.43","7,926.00","7,661.81","","-1.34%"
"06/22/2026","7,784.43","7,677.05","7,934.15","7,620.94","","1.40%"
"06/21/2026","7,677.05","7,444.49","7,778.18","7,444.49","","3.12%"
"06/19/2026","7,444.49","7,316.19","7,444.49","7,444.49","","0.00%"
"06/17/2026","7,444.49","7,316.19","7,473.38","7,306.12","","1.75%"
"06/16/2026","7,316.19","7,316.07","7,408.77","7,281.15","","0.00%"
"06/15/2026","7,316.07","7,326.40","7,532.23","7,289.01","","-0.14%"
"06/14/2026","7,326.40","7,208.42","7,415.74","7,208.42","","1.64%"
"06/11/2026","7,208.42","7,293.38","7,383.02","7,182.77","","-1.16%"
"06/10/2026","7,293.38","7,666.93","7,698.81","7,287.95","","-4.87%"
"06/09/2026","7,666.93","7,205.22","7,771.75","7,205.22","","6.41%"
"06/08/2026","7,205.22","7,215.38","7,385.52","7,171.77","","-0.14%"
"06/07/2026","7,215.38","7,668.15","7,742.15","7,215.38","","-5.90%"
"06/04/2026","7,668.15","7,847.72","7,884.04","7,638.73","","-2.29%"
"06/03/2026","7,847.72","7,989.51","8,176.02","7,597.32","","-1.77%"
"06/02/2026","7,989.51","7,931.79","8,061.56","7,931.79","","0.73%"
"06/01/2026","7,931.79","7,548.56","8,014.04","7,547.42","","5.08%"
"05/25/2026","7,548.56","7,469.75","7,679.37","7,317.11","","1.06%"
"05/24/2026","7,469.75","7,360.79","7,603.45","7,360.79","","1.48%"
"05/21/2026","7,360.79","7,652.40","7,779.73","7,353.93","","-3.81%"
"05/20/2026","7,652.40","7,460.26","7,789.20","7,439.59","","2.58%"
"05/19/2026","7,460.26","6,978.64","7,569.45","7,177.05","","3.95%"
"05/18/2026","7,177.05","6,821.51","7,264.55","6,835.95","","4.99%"
"05/17/2026","6,835.95","6,563.81","7,004.46","6,563.81","","4.15%"
"05/14/2026","6,563.81","6,361.04","6,680.58","6,361.04","","3.19%"
"05/13/2026","6,361.04","6,315.91","6,405.83","6,315.91","","0.71%"
"05/12/2026","6,315.91","6,225.30","6,342.44","6,212.58","","1.46%"
"05/11/2026","6,225.30","6,295.74","6,354.44","6,222.83","","-1.12%"
"05/10/2026","6,295.74","6,316.47","6,420.34","6,285.00","","-0.33%"
"05/06/2026","6,316.47","6,306.31","6,443.95","6,296.47","","0.16%"
"05/05/2026","6,306.31","6,286.49","6,345.60","6,265.79","","0.32%"
"05/04/2026","6,286.49","6,308.02","6,428.65","6,286.49","","-0.34%"
"05/03/2026","6,308.02","6,260.04","6,379.06","6,238.00","","0.77%"
"04/30/2026","6,260.04","6,268.48","6,474.44","6,244.42","","-0.13%"
"04/29/2026","6,268.48","6,218.29","6,362.04","6,191.60","","0.81%"
"04/28/2026","6,218.29","6,213.86","6,302.54","6,157.57","","0.07%"
"04/27/2026","6,213.86","6,208.91","6,413.01","6,208.91","","0.08%"
"04/26/2026","6,208.91","6,341.49","6,441.90","6,208.91","","-2.09%"
"04/23/2026","6,341.49","6,174.22","6,518.95","6,090.58","","2.71%"
"04/22/2026","6,174.22","6,188.54","6,298.26","6,174.22","","-0.23%"
"04/21/2026","6,188.54","6,066.47","6,533.14","6,066.47","","2.01%"
"04/20/2026","6,066.47","5,641.91","6,069.57","5,576.04","","7.53%"
"04/19/2026","5,641.91","5,550.09","5,717.21","5,449.67","","1.65%"
