"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","88.48","87.40","88.50","86.02","154.45K","1.27%"
"06/23/2026","87.37","89.70","89.99","87.22","106.68K","-2.60%"
"06/22/2026","89.70","89.48","89.80","87.95","214.10K","0.79%"
"06/21/2026","89.00","85.00","89.47","84.51","1.98M","5.70%"
"06/17/2026","84.20","84.10","84.50","83.80","73.61K","0.24%"
"06/16/2026","84.00","84.00","84.50","83.50","153.69K","-0.02%"
"06/15/2026","84.02","84.59","85.01","83.02","241.42K","-0.57%"
"06/14/2026","84.50","86.00","86.50","84.00","238.99K","-0.09%"
"06/11/2026","84.58","85.50","85.50","83.02","155.94K","-1.09%"
"06/10/2026","85.51","86.45","87.00","85.51","165.79K","-1.09%"
"06/09/2026","86.45","86.71","87.20","86.04","102.58K","-0.17%"
"06/08/2026","86.60","86.60","87.25","86.28","84.35K","0.00%"
"06/07/2026","86.60","87.90","87.93","86.50","343.77K","-1.59%"
"06/04/2026","88.00","86.86","88.20","86.50","731.48K","1.31%"
"06/03/2026","86.86","87.00","87.30","85.55","97.90K","-0.07%"
"06/02/2026","86.92","87.40","87.40","85.50","476.38K","0.49%"
"06/01/2026","86.50","85.00","87.80","84.50","2.04M","2.57%"
"05/25/2026","84.33","84.97","85.48","83.96","335.79K","-0.33%"
"05/24/2026","84.61","84.92","86.00","84.15","191.18K","-0.22%"
"05/21/2026","84.80","84.80","85.90","84.00","105.75K","0.12%"
"05/20/2026","84.70","87.00","87.72","84.50","184.27K","-2.60%"
"05/19/2026","86.96","86.28","87.13","86.00","312.68K","0.82%"
"05/18/2026","86.25","89.46","89.46","86.22","127.13K","-3.81%"
"05/17/2026","89.67","90.06","91.44","88.88","305.09K","-2.41%"
"05/14/2026","91.88","91.90","92.10","91.10","137.40K","-0.01%"
"05/13/2026","91.89","90.00","92.40","89.95","649.40K","2.17%"
"05/12/2026","89.94","89.55","90.00","88.90","322.66K","0.50%"
"05/11/2026","89.49","89.75","90.50","88.90","424.92K","-0.12%"
"05/10/2026","89.60","87.50","89.75","87.04","491.01K","2.52%"
"05/06/2026","87.40","86.91","88.40","86.59","367.43K","0.81%"
"05/05/2026","86.70","85.95","87.90","84.92","535.73K","0.81%"
"05/04/2026","86.00","85.75","86.20","84.81","311.76K","0.41%"
"05/03/2026","85.65","84.95","85.90","84.13","302.77K","0.82%"
"04/30/2026","84.95","85.27","85.70","83.97","214.33K","-0.36%"
"04/29/2026","85.26","84.53","85.40","84.10","526.65K","0.90%"
"04/28/2026","84.50","84.49","84.60","83.50","462.29K","-2.30%"
"04/27/2026","86.49","86.75","87.30","86.10","189.50K","0.01%"
"04/26/2026","86.48","86.00","86.90","86.00","188.85K","0.69%"
"04/23/2026","85.89","86.89","87.00","85.80","120.17K","-0.34%"
"04/22/2026","86.18","87.02","87.98","85.51","436.55K","-0.94%"
"04/21/2026","87.00","88.73","88.99","86.52","575.34K","-0.40%"
"04/20/2026","87.35","85.02","88.50","84.54","801.04K","2.81%"
"04/19/2026","84.96","85.14","85.70","84.50","107.86K","-0.06%"
"04/16/2026","85.01","86.20","86.50","84.25","181.77K","-1.32%"
"04/15/2026","86.15","86.00","86.98","84.50","475.04K","0.41%"
"04/14/2026","85.80","84.00","86.19","83.70","342.68K","2.61%"
"04/12/2026","83.62","82.00","83.62","83.62","486.54K","0.00%"
"04/09/2026","83.62","82.10","84.50","81.21","486.54K","1.98%"
"04/08/2026","82.00","81.50","82.30","81.17","169.59K","1.80%"
"04/07/2026","80.55","81.75","82.40","80.50","177.60K","-0.92%"
"04/06/2026","81.30","79.84","82.50","79.84","489.74K","2.47%"
"04/05/2026","79.34","79.00","80.23","78.81","117.82K","0.43%"
"04/02/2026","79.00","78.70","79.80","78.27","164.61K","0.68%"
"04/01/2026","78.47","78.00","78.90","77.70","134.38K","0.91%"
"03/31/2026","77.76","77.56","78.30","77.31","124.82K","0.28%"
"03/30/2026","77.54","79.00","79.20","77.50","79.12K","-1.85%"
"03/29/2026","79.00","78.97","79.00","78.25","385.64K","0.88%"
"03/26/2026","78.31","79.17","79.50","78.26","124.65K","-0.89%"
"03/25/2026","79.01","79.19","79.35","78.82","72.24K","0.14%"
"03/24/2026","78.90","80.04","80.33","78.51","188.18K","-1.37%"
"03/18/2026","80.00","80.30","80.73","79.80","532.53K","-0.32%"
"03/17/2026","80.26","78.90","80.30","78.53","102.07K","2.20%"
"03/16/2026","78.53","79.50","79.50","78.10","79.16K","-1.26%"
"03/15/2026","79.53","80.79","80.79","79.21","50.00K","-1.56%"
"03/12/2026","80.79","81.53","81.90","79.00","180.06K","-0.91%"
"03/11/2026","81.53","80.99","81.53","79.85","345.24K","1.57%"
"03/10/2026","80.27","80.80","82.00","80.21","168.71K","-0.58%"
"03/09/2026","80.74","82.92","83.00","80.62","394.62K","-0.93%"
"03/08/2026","81.50","79.50","82.55","79.20","197.81K","2.94%"
"03/05/2026","79.17","79.97","80.50","79.00","290.44K","-0.81%"
"03/04/2026","79.82","79.29","80.00","78.20","140.61K","2.19%"
"03/03/2026","78.11","78.10","79.50","77.00","223.40K","-0.12%"
"03/02/2026","78.20","78.02","78.87","77.00","201.24K","0.26%"
"03/01/2026","78.00","76.20","78.70","72.11","282.03K","-1.28%"
"02/26/2026","79.01","79.11","80.45","78.50","139.98K","-0.10%"
"02/25/2026","79.09","82.50","82.55","78.10","197.05K","-3.03%"
"02/24/2026","81.56","82.49","83.80","81.15","378.62K","-0.55%"
"02/23/2026","82.01","81.05","82.80","81.03","138.19K","1.18%"
"02/22/2026","81.05","83.51","84.95","81.00","145.19K","-2.34%"
"02/19/2026","82.99","85.90","86.00","82.90","253.13K","-3.38%"
"02/18/2026","85.89","85.95","86.42","84.82","457.71K","0.46%"
"02/17/2026","85.50","83.10","85.95","82.51","823.81K","3.32%"
"02/16/2026","82.75","83.70","84.00","82.70","982.02K","-0.01%"
"02/15/2026","82.76","83.70","84.50","82.50","244.05K","-0.39%"
"02/12/2026","83.08","83.71","84.80","83.01","229.68K","-0.97%"
"02/11/2026","83.89","83.60","84.39","82.10","232.39K","0.73%"
"02/10/2026","83.28","83.50","83.89","82.01","439.78K","-0.14%"
"02/09/2026","83.40","86.19","86.75","82.75","1.06M","-2.46%"
"02/08/2026","85.50","84.01","87.12","84.01","526.54K","2.11%"
"02/05/2026","83.73","83.48","84.25","83.00","447.30K","0.88%"
"02/04/2026","83.00","81.15","84.84","81.02","1.24M","2.34%"
"02/03/2026","81.10","79.01","81.76","79.01","664.90K","3.31%"
"02/02/2026","78.50","79.11","79.96","78.31","268.45K","-1.23%"
"02/01/2026","79.48","77.42","79.99","77.10","407.21K","2.67%"
"01/28/2026","77.41","78.60","79.44","76.60","149.72K","-1.39%"
"01/27/2026","78.50","80.02","80.94","78.02","228.48K","-1.20%"
"01/26/2026","79.45","77.70","79.45","77.05","399.86K","2.52%"
