"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","1,245.00","1,245.00","1,245.00","1,245.00","0.00K","-0.40%"
"06/22/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"06/19/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"06/17/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"06/15/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"06/10/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"06/08/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"06/03/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"06/01/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.01K","0.00%"
"05/25/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.01K","0.00%"
"05/20/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.01K","0.00%"
"05/18/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"05/13/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"05/11/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"05/06/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.01K","0.00%"
"05/04/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"04/29/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"04/27/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.07K","0.00%"
"04/22/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"04/20/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"04/15/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"04/08/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"04/06/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"04/01/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"03/30/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"03/25/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"03/18/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"03/04/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"03/02/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"02/25/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.01K","0.00%"
"02/23/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"02/18/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.02K","0.00%"
"02/16/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.03K","0.00%"
"02/11/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.00K","0.00%"
"02/09/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.11K","0.00%"
"02/04/2026","1,250.00","1,250.00","1,250.00","1,250.00","","0.00%"
"02/02/2026","1,250.00","1,250.00","1,250.00","1,250.00","0.01K","0.00%"
"01/28/2026","1,250.00","1,098.00","1,250.00","1,098.00","0.29K","6.93%"
"01/26/2026","1,169.00","1,165.00","1,169.00","1,169.00","","0.00%"
"01/21/2026","1,169.00","1,165.00","1,169.00","1,165.00","0.00K","-1.52%"
"01/19/2026","1,187.00","999.00","1,187.00","861.00","0.01K","7.91%"
"01/14/2026","1,099.99","950.10","1,099.99","1,099.99","","0.00%"
"01/12/2026","1,099.99","950.10","1,099.99","600.00","0.06K","4.26%"
"01/05/2026","1,055.00","950.00","1,055.00","1,055.00","","0.00%"
