"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","38.43","38.14","39.30","37.88","1.03M","1.48%"
"06/23/2026","37.87","38.56","38.87","37.86","852.64K","-1.76%"
"06/22/2026","38.55","39.00","39.00","38.51","236.08K","-0.85%"
"06/21/2026","38.88","39.20","39.50","38.80","433.73K","-0.56%"
"06/17/2026","39.10","39.25","39.57","38.92","1.11M","0.26%"
"06/16/2026","39.00","40.10","40.59","38.90","811.19K","-2.26%"
"06/15/2026","39.90","38.30","39.96","38.01","1.53M","4.37%"
"06/14/2026","38.23","38.59","38.70","38.02","949.39K","0.31%"
"06/11/2026","38.11","38.25","38.77","37.79","695.77K","-1.27%"
"06/10/2026","38.60","39.69","39.70","38.17","198.63K","-2.87%"
"06/09/2026","39.74","39.84","39.90","38.90","292.69K","-0.28%"
"06/08/2026","39.85","38.53","39.90","38.24","2.51M","2.52%"
"06/07/2026","38.87","38.31","39.45","38.00","506.06K","0.67%"
"06/04/2026","38.61","38.14","38.76","38.02","665.77K","1.55%"
"06/03/2026","38.02","37.57","38.13","37.57","548.40K","1.20%"
"06/02/2026","37.57","37.44","37.95","37.15","1.83M","1.13%"
"06/01/2026","37.15","38.54","38.54","37.01","1.68M","-2.24%"
"05/25/2026","38.00","38.60","39.75","38.00","3.21M","-1.50%"
"05/24/2026","38.58","38.25","38.58","38.00","212.71K","1.50%"
"05/21/2026","38.01","38.00","38.15","37.26","2.14M","-2.91%"
"05/20/2026","39.15","39.99","39.99","38.77","2.21M","-2.12%"
"05/19/2026","40.00","39.90","40.29","39.63","901.36K","0.08%"
"05/18/2026","39.97","39.90","40.15","39.10","1.76M","0.03%"
"05/17/2026","39.96","40.40","40.50","39.00","227.34K","-0.84%"
"05/14/2026","40.30","40.22","40.80","40.00","12.22M","0.47%"
"05/13/2026","40.11","40.60","40.68","39.56","1.00M","-0.96%"
"05/12/2026","40.50","40.36","41.04","40.31","533.67K","0.47%"
"05/11/2026","40.31","40.00","40.90","39.72","1.47M","0.83%"
"05/10/2026","39.98","39.75","40.30","39.50","849.53K","1.14%"
"05/06/2026","39.53","39.02","40.80","39.00","1.58M","1.36%"
"05/05/2026","39.00","38.38","39.51","38.01","1.26M","2.63%"
"05/04/2026","38.00","39.20","39.68","37.81","1.70M","-2.99%"
"05/03/2026","39.17","39.69","39.69","39.13","349.45K","-1.63%"
"04/30/2026","39.82","39.89","40.07","38.87","1.23M","0.00%"
"04/29/2026","39.82","40.00","40.20","39.78","507.46K","-0.45%"
"04/28/2026","40.00","41.20","41.20","40.00","1.29M","-3.38%"
"04/27/2026","41.40","41.65","41.65","40.50","684.85K","-0.60%"
"04/26/2026","41.65","41.23","41.66","40.80","385.36K","0.99%"
"04/23/2026","41.24","40.70","41.35","39.42","1.45M","1.20%"
"04/22/2026","40.75","39.65","40.89","39.19","2.06M","2.77%"
"04/21/2026","39.65","39.90","40.00","38.74","1.17M","-0.63%"
"04/20/2026","39.90","40.21","40.40","39.05","638.84K","-0.97%"
"04/19/2026","40.29","39.87","40.50","39.23","2.21M","1.05%"
"04/16/2026","39.87","38.19","39.87","37.65","10.55M","4.92%"
"04/15/2026","38.00","38.00","38.58","37.61","2.00M","0.00%"
"04/14/2026","38.00","38.50","38.75","38.00","1.52M","-0.52%"
"04/12/2026","38.20","37.17","38.20","38.20","1.67M","0.00%"
"04/09/2026","38.20","37.19","38.43","36.76","1.67M","2.77%"
"04/08/2026","37.17","36.50","37.29","36.40","1.78M","3.28%"
