"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","49.74","50.30","53.00","48.85","172.83K","-1.76%"
"06/23/2026","50.63","46.99","56.00","46.99","785.78K","8.32%"
"06/22/2026","46.74","45.50","47.00","44.55","52.47K","3.38%"
"06/21/2026","45.21","45.00","46.30","44.22","55.84K","2.31%"
"06/17/2026","44.19","44.60","45.47","44.06","44.95K","-0.87%"
"06/16/2026","44.58","46.30","46.30","44.00","47.84K","-2.07%"
"06/15/2026","45.52","46.02","47.10","45.18","60.40K","-1.06%"
"06/14/2026","46.01","46.00","46.50","45.01","105.07K","4.17%"
"06/11/2026","44.17","44.00","48.48","44.00","255.66K","0.39%"
"06/10/2026","44.00","46.91","47.42","43.00","114.38K","-6.18%"
"06/09/2026","46.90","47.90","48.17","46.55","79.96K","-1.22%"
"06/08/2026","47.48","47.90","48.73","47.11","70.94K","-1.39%"
"06/07/2026","48.15","49.97","51.00","47.05","123.05K","-0.62%"
"06/04/2026","48.45","48.89","51.88","47.00","231.77K","0.37%"
"06/03/2026","48.27","51.85","51.85","47.20","116.79K","-5.89%"
"06/02/2026","51.29","53.14","53.50","51.06","90.78K","-1.54%"
"06/01/2026","52.09","52.98","54.99","51.65","122.13K","0.89%"
"05/25/2026","51.63","51.22","55.95","51.22","374.45K","1.43%"
"05/24/2026","50.90","50.70","55.00","48.00","313.61K","1.01%"
"05/21/2026","50.39","52.52","53.70","50.11","200.18K","-4.07%"
"05/20/2026","52.53","59.00","59.50","50.33","243.98K","-9.15%"
"05/19/2026","57.82","57.00","63.00","57.00","409.74K","4.20%"
"05/18/2026","55.49","56.00","65.60","55.00","999.20K","1.44%"
"05/17/2026","54.70","46.70","54.70","43.00","634.78K","19.98%"
"05/14/2026","45.59","49.35","50.50","45.20","203.44K","-5.00%"
"05/13/2026","47.99","53.69","57.76","45.55","979.45K","-0.31%"
"05/12/2026","48.14","40.62","48.14","40.62","481.17K","19.99%"
"05/11/2026","40.12","33.99","40.12","33.01","249.56K","19.98%"
"05/10/2026","33.44","34.00","34.71","33.00","9.21K","-1.73%"
"05/06/2026","34.03","34.90","34.98","33.57","16.91K","-0.32%"
"05/05/2026","34.14","34.20","35.00","32.23","43.83K","-0.18%"
"05/04/2026","34.20","32.02","35.00","32.02","26.01K","6.67%"
"05/03/2026","32.06","32.01","32.28","31.90","16.11K","0.28%"
"04/30/2026","31.97","32.44","32.44","31.92","23.26K","-1.45%"
"04/29/2026","32.44","33.20","33.20","32.00","25.58K","1.50%"
"04/28/2026","31.96","31.30","35.80","31.28","53.49K","2.21%"
"04/27/2026","31.27","31.21","31.83","31.21","1.41K","0.00%"
"04/26/2026","31.27","31.44","31.80","31.02","9.86K","-0.51%"
"04/23/2026","31.43","31.90","31.90","31.41","4.13K","0.00%"
"04/22/2026","31.43","31.45","31.95","31.45","0.44K","0.00%"
"04/21/2026","31.43","32.10","32.10","31.45","7.85K","0.00%"
"04/20/2026","31.43","32.00","32.15","31.10","26.24K","-2.06%"
"04/19/2026","32.09","32.00","32.98","31.75","41.35K","2.07%"
"04/16/2026","31.44","30.85","33.00","30.83","16.48K","1.42%"
"04/15/2026","31.00","30.81","31.29","30.80","8.11K","0.00%"
"04/14/2026","31.00","31.29","31.29","30.81","8.27K","0.00%"
"04/12/2026","31.00","31.00","31.00","31.00","5.95K","0.00%"
"04/09/2026","31.00","30.61","31.29","30.61","5.95K","0.00%"
"04/08/2026","31.00","30.40","30.96","30.40","8.86K","0.00%"
"04/07/2026","31.00","30.90","31.00","30.06","3.21K","0.00%"
"04/06/2026","31.00","31.00","31.00","30.50","2.60K","0.00%"
"04/05/2026","31.00","31.36","31.44","30.55","0.41K","0.00%"
"04/02/2026","31.00","30.70","31.50","30.05","3.90K","0.00%"
"04/01/2026","31.00","30.50","31.39","30.50","7.92K","0.00%"
"03/31/2026","31.00","31.50","31.50","30.28","8.27K","0.00%"
"03/30/2026","31.00","30.52","30.55","30.52","0.57K","0.00%"
"03/29/2026","31.00","31.64","31.64","30.50","3.96K","0.00%"
"03/26/2026","31.00","31.00","31.05","30.62","1.29K","0.00%"
"03/25/2026","31.00","31.00","31.00","30.51","5.39K","0.00%"
"03/24/2026","31.00","31.00","31.00","30.64","3.82K","0.00%"
"03/18/2026","31.00","31.45","31.50","30.62","3.16K","0.00%"
"03/17/2026","31.00","31.13","31.13","30.61","2.30K","0.00%"
"03/16/2026","31.00","31.63","31.65","30.60","7.10K","0.00%"
"03/15/2026","31.00","30.85","31.78","30.67","0.61K","0.00%"
"03/12/2026","31.00","31.62","31.62","30.85","13.07K","0.58%"
"03/11/2026","30.82","31.50","31.88","31.00","2.12K","0.00%"
"03/10/2026","30.82","31.80","31.80","30.90","6.05K","0.00%"
"03/09/2026","30.82","31.50","31.90","30.85","7.17K","0.00%"
"03/08/2026","30.82","31.90","31.99","30.85","1.61K","0.00%"
"03/05/2026","30.82","30.87","31.98","30.70","14.26K","-0.13%"
"03/04/2026","30.86","31.97","31.97","30.75","13.06K","-2.34%"
"03/03/2026","31.60","31.60","32.00","31.00","6.44K","0.00%"
"03/02/2026","31.60","31.50","32.00","31.20","4.25K","0.00%"
"03/01/2026","31.60","31.00","32.00","31.00","10.08K","-4.07%"
"02/26/2026","32.94","32.00","32.36","31.61","2.84K","0.00%"
"02/25/2026","32.94","32.84","32.84","32.00","2.25K","0.00%"
"02/24/2026","32.94","32.86","32.87","32.30","6.53K","0.00%"
"02/23/2026","32.94","32.21","32.87","32.21","0.13K","0.00%"
"02/22/2026","32.94","33.00","33.00","32.18","22.75K","1.42%"
"02/19/2026","32.48","32.62","33.14","32.30","8.35K","0.00%"
"02/18/2026","32.48","32.56","33.82","32.30","22.07K","0.12%"
"02/17/2026","32.44","32.72","33.98","32.30","3.30K","0.00%"
"02/16/2026","32.44","32.55","32.99","32.30","12.78K","0.43%"
"02/15/2026","32.30","33.06","33.06","32.13","29.59K","-2.27%"
"02/12/2026","33.05","33.45","34.96","32.70","34.94K","-1.02%"
"02/11/2026","33.39","34.94","35.43","33.35","21.46K","-4.41%"
"02/10/2026","34.93","33.06","35.43","33.05","32.06K","5.43%"
"02/09/2026","33.13","33.90","34.59","33.04","6.01K","0.00%"
"02/08/2026","33.13","33.31","34.34","33.02","3.73K","0.00%"
"02/05/2026","33.13","33.50","37.50","33.00","63.98K","1.75%"
"02/04/2026","32.56","33.99","33.99","31.10","13.58K","-3.18%"
"02/03/2026","33.63","33.75","33.75","32.60","1.56K","0.00%"
"02/02/2026","33.63","33.46","33.99","32.41","7.93K","0.00%"
"02/01/2026","33.63","32.40","33.63","32.40","0.30K","0.00%"
"01/28/2026","33.63","32.50","33.69","32.50","1.56K","0.00%"
"01/27/2026","33.63","32.82","33.70","32.50","5.12K","0.00%"
"01/26/2026","33.63","33.01","33.50","32.82","0.04K","0.00%"
"01/25/2026","33.63","33.70","33.70","32.87","7.81K","0.00%"
"01/22/2026","33.63","33.65","33.79","32.52","4.19K","0.00%"
"01/21/2026","33.63","32.50","33.69","32.50","0.29K","0.00%"
"01/20/2026","33.63","33.75","33.75","32.50","0.61K","0.00%"
"01/19/2026","33.63","32.60","33.78","32.58","0.09K","0.00%"
"01/18/2026","33.63","32.40","33.90","32.40","0.78K","0.00%"
"01/15/2026","33.63","33.91","33.91","32.40","6.56K","0.00%"
"01/14/2026","33.63","33.39","33.39","32.51","6.74K","0.00%"
"01/13/2026","33.63","33.08","33.89","33.08","0.18K","0.00%"
"01/12/2026","33.63","33.01","34.00","33.01","1.21K","0.00%"
"01/11/2026","33.63","33.01","34.10","33.00","12.40K","1.36%"
"01/08/2026","33.18","34.09","34.09","33.00","13.84K","-3.21%"
"01/06/2026","34.28","33.56","34.09","33.56","0.10K","0.00%"
"01/05/2026","34.28","34.25","34.25","33.55","2.18K","0.00%"
"01/04/2026","34.28","34.40","34.40","33.56","1.84K","0.00%"
