"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.444","0.440","0.445","0.437","38.15K","0.23%"
"06/23/2026","0.443","0.437","0.443","0.437","215.72K","1.61%"
"06/22/2026","0.436","0.439","0.439","0.436","60.51K","-0.46%"
"06/21/2026","0.438","0.439","0.440","0.436","31.20K","0.00%"
"06/17/2026","0.438","0.438","0.440","0.436","65.12K","-0.23%"
"06/16/2026","0.439","0.433","0.440","0.433","128.24K","1.62%"
"06/15/2026","0.432","0.438","0.440","0.431","128.63K","-1.82%"
"06/14/2026","0.440","0.438","0.440","0.436","54.27K","0.69%"
"06/11/2026","0.437","0.439","0.440","0.437","119.88K","-0.68%"
"06/10/2026","0.440","0.445","0.445","0.438","227.13K","-1.79%"
"06/09/2026","0.448","0.454","0.455","0.445","33.37K","0.67%"
"06/08/2026","0.445","0.444","0.450","0.444","218.21K","0.91%"
"06/07/2026","0.441","0.447","0.449","0.441","80.89K","-1.56%"
"06/04/2026","0.448","0.457","0.459","0.448","379.21K","-0.88%"
"06/03/2026","0.452","0.455","0.455","0.450","68.90K","0.44%"
"06/02/2026","0.450","0.453","0.460","0.448","176.21K","0.00%"
"06/01/2026","0.450","0.445","0.450","0.441","391.56K","1.10%"
"05/25/2026","0.445","0.452","0.453","0.441","452.92K","-1.94%"
"05/24/2026","0.454","0.457","0.457","0.452","120.35K","0.65%"
"05/21/2026","0.451","0.444","0.452","0.438","502.06K","1.32%"
"05/20/2026","0.445","0.458","0.463","0.445","248.05K","-2.15%"
"05/19/2026","0.455","0.458","0.464","0.455","492.72K","-1.06%"
"05/18/2026","0.460","0.459","0.461","0.448","344.89K","1.29%"
"05/17/2026","0.454","0.450","0.460","0.441","509.62K","0.87%"
"05/14/2026","0.450","0.449","0.451","0.439","269.13K","0.22%"
"05/13/2026","0.449","0.437","0.450","0.435","338.28K","3.15%"
"05/12/2026","0.436","0.408","0.437","0.408","1.23M","8.01%"
"05/11/2026","0.403","0.407","0.407","0.398","33.29K","-0.72%"
"05/10/2026","0.406","0.409","0.409","0.403","112.68K","0.00%"
"05/06/2026","0.406","0.406","0.411","0.405","251.07K","-0.95%"
"05/05/2026","0.410","0.395","0.411","0.394","168.26K","4.75%"
"05/04/2026","0.392","0.377","0.392","0.377","660.27K","3.90%"
"05/03/2026","0.377","0.372","0.378","0.370","135.33K","1.32%"
"04/30/2026","0.372","0.372","0.378","0.369","257.54K","0.80%"
"04/29/2026","0.369","0.374","0.374","0.373","0.72K","0.00%"
"04/28/2026","0.369","0.370","0.372","0.367","13.59K","0.00%"
"04/27/2026","0.369","0.369","0.370","0.369","4.01K","0.00%"
"04/26/2026","0.369","0.372","0.372","0.369","56.85K","-0.79%"
"04/23/2026","0.372","0.371","0.373","0.369","57.15K","1.60%"
"04/22/2026","0.366","0.375","0.375","0.365","234.67K","-2.09%"
"04/21/2026","0.374","0.377","0.380","0.373","102.89K","-0.78%"
"04/20/2026","0.377","0.376","0.379","0.370","69.01K","1.58%"
"04/19/2026","0.371","0.372","0.376","0.370","22.85K","-0.26%"
"04/16/2026","0.372","0.372","0.372","0.370","60.45K","0.00%"
"04/15/2026","0.372","0.372","0.372","0.369","59.19K","0.00%"
"04/14/2026","0.372","0.377","0.380","0.372","47.85K","-3.36%"
"04/12/2026","0.385","0.380","0.385","0.385","127.64K","2.14%"
"04/09/2026","0.377","0.372","0.378","0.372","130.37K","1.32%"
"04/08/2026","0.372","0.362","0.372","0.362","194.05K","3.83%"
"04/07/2026","0.358","0.359","0.359","0.359","2.86K","0.00%"
"04/06/2026","0.358","0.360","0.362","0.356","33.92K","-0.54%"
"04/05/2026","0.360","0.362","0.362","0.359","20.61K","0.27%"
"04/02/2026","0.359","0.374","0.376","0.357","528.17K","-3.17%"
"04/01/2026","0.371","0.373","0.378","0.369","648.88K","-0.26%"
"03/31/2026","0.372","0.370","0.374","0.364","662.36K","1.33%"
"03/30/2026","0.367","0.374","0.374","0.367","192.06K","-1.32%"
"03/29/2026","0.372","0.377","0.377","0.371","224.01K","-1.04%"
"03/26/2026","0.376","0.382","0.382","0.373","56.77K","0.26%"
"03/25/2026","0.375","0.378","0.378","0.372","148.54K","-0.78%"
"03/24/2026","0.378","0.384","0.384","0.378","3.97K","0.00%"
"03/18/2026","0.378","0.380","0.387","0.377","196.18K","0.00%"
"03/17/2026","0.378","0.372","0.379","0.372","319.18K","2.93%"
"03/16/2026","0.367","0.367","0.372","0.366","59.42K","-0.79%"
"03/15/2026","0.370","0.377","0.377","0.363","768.29K","-2.33%"
"03/12/2026","0.379","0.376","0.381","0.374","235.90K","1.84%"
"03/11/2026","0.372","0.373","0.377","0.367","48.60K","0.53%"
"03/10/2026","0.370","0.362","0.376","0.361","118.81K","2.16%"
"03/09/2026","0.362","0.370","0.370","0.362","129.70K","-2.12%"
"03/08/2026","0.370","0.369","0.370","0.363","488.92K","-0.53%"
"03/05/2026","0.372","0.372","0.372","0.359","1.21M","0.80%"
"03/04/2026","0.369","0.377","0.382","0.367","475.63K","-3.33%"
"03/03/2026","0.382","0.386","0.386","0.373","8.72K","0.00%"
"03/02/2026","0.382","0.377","0.384","0.374","753.23K","1.04%"
"03/01/2026","0.378","0.371","0.387","0.368","527.57K","-3.26%"
"02/26/2026","0.391","0.394","0.394","0.390","124.29K","-0.50%"
"02/25/2026","0.393","0.405","0.405","0.389","314.41K","-2.20%"
"02/24/2026","0.401","0.410","0.411","0.399","166.62K","-1.20%"
"02/23/2026","0.406","0.394","0.408","0.393","181.42K","0.24%"
"02/22/2026","0.405","0.412","0.412","0.392","268.85K","-1.66%"
"02/19/2026","0.412","0.421","0.421","0.411","77.13K","-2.09%"
"02/18/2026","0.421","0.421","0.422","0.417","230.58K","0.00%"
"02/17/2026","0.421","0.411","0.421","0.411","1.23M","2.38%"
"02/16/2026","0.411","0.403","0.416","0.403","455.32K","1.94%"
"02/15/2026","0.403","0.401","0.411","0.398","69.50K","0.49%"
"02/12/2026","0.401","0.400","0.403","0.397","111.03K","-0.73%"
"02/11/2026","0.404","0.403","0.413","0.398","403.50K","0.00%"
"02/10/2026","0.404","0.381","0.408","0.381","413.31K","4.82%"
"02/09/2026","0.386","0.393","0.395","0.378","693.50K","-3.19%"
"02/08/2026","0.398","0.399","0.417","0.398","739.39K","-1.69%"
"02/05/2026","0.405","0.403","0.406","0.398","624.22K","-0.96%"
"02/04/2026","0.409","0.391","0.410","0.390","1.13M","4.76%"
"02/03/2026","0.391","0.373","0.392","0.371","1.25M","5.00%"
"02/02/2026","0.372","0.367","0.372","0.367","372.21K","1.88%"
"02/01/2026","0.365","0.362","0.367","0.361","106.14K","-1.06%"
"01/28/2026","0.369","0.368","0.370","0.361","278.49K","0.53%"
"01/27/2026","0.367","0.367","0.367","0.360","299.83K","0.81%"
"01/26/2026","0.364","0.361","0.371","0.361","239.06K","0.81%"
"01/25/2026","0.361","0.351","0.363","0.351","655.66K","4.24%"
"01/22/2026","0.347","0.343","0.349","0.343","183.87K","1.14%"
"01/21/2026","0.343","0.343","0.345","0.342","345.44K","0.00%"
"01/20/2026","0.343","0.347","0.348","0.342","298.48K","-0.57%"
"01/19/2026","0.345","0.323","0.346","0.323","597.80K","6.67%"
"01/18/2026","0.323","0.326","0.326","0.318","527.40K","-0.30%"
"01/15/2026","0.324","0.336","0.339","0.323","508.13K","-3.78%"
"01/14/2026","0.337","0.338","0.343","0.325","538.09K","-1.71%"
"01/13/2026","0.343","0.351","0.351","0.338","238.29K","-2.78%"
"01/12/2026","0.352","0.345","0.352","0.333","1.03M","2.86%"
"01/11/2026","0.343","0.332","0.346","0.328","894.64K","4.17%"
"01/08/2026","0.329","0.313","0.333","0.313","2.04M","5.00%"
"01/06/2026","0.313","0.303","0.313","0.303","1.30M","4.58%"
"01/05/2026","0.300","0.294","0.303","0.289","357.78K","2.00%"
"01/04/2026","0.294","0.304","0.304","0.294","257.26K","-3.23%"
