"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","8.78","8.71","8.71","8.71","0.10K","0.00%"
"06/23/2026","8.78","8.78","8.79","8.73","0.26K","0.00%"
"06/22/2026","8.78","8.69","8.80","8.67","0.50K","0.00%"
"06/21/2026","8.78","8.75","8.75","8.68","0.20K","0.00%"
"06/17/2026","8.78","8.75","8.75","8.75","0.10K","0.00%"
"06/16/2026","8.78","8.79","8.83","8.72","1.47K","0.46%"
"06/15/2026","8.74","8.74","8.80","8.68","0.56K","0.00%"
"06/14/2026","8.74","8.74","8.75","8.65","0.66K","0.00%"
"06/11/2026","8.74","8.75","8.79","8.62","0.76K","1.63%"
"06/10/2026","8.60","8.82","8.90","8.55","4.18K","-2.38%"
"06/09/2026","8.81","8.88","8.88","8.80","2.34K","-0.90%"
"06/08/2026","8.89","8.95","8.98","8.86","1.72K","-0.89%"
"06/07/2026","8.97","9.09","9.09","8.96","4.36K","-0.55%"
"06/04/2026","9.02","9.08","9.08","9.02","0.25K","0.00%"
"06/03/2026","9.02","9.02","9.02","9.02","0.10K","0.00%"
"06/02/2026","9.02","9.10","9.10","9.00","1.32K","-0.88%"
"06/01/2026","9.10","9.10","9.10","9.04","0.11K","0.00%"
"05/25/2026","9.10","9.10","9.10","9.02","0.43K","0.00%"
"05/24/2026","9.10","8.97","9.15","8.86","3.38K","0.33%"
"05/21/2026","9.07","8.70","9.19","8.70","5.02K","4.37%"
"05/20/2026","8.69","8.51","8.80","8.51","2.81K","2.36%"
"05/19/2026","8.49","8.50","8.51","8.44","1.74K","0.12%"
"05/18/2026","8.48","8.30","8.52","8.30","2.30K","-6.30%"
"05/17/2026","9.05","9.03","9.09","9.03","1.60K","0.11%"
"05/14/2026","9.04","9.11","9.12","9.01","1.25K","-0.88%"
"05/13/2026","9.12","9.12","9.13","9.11","0.68K","0.33%"
"05/12/2026","9.09","9.11","9.13","9.10","0.43K","0.00%"
"05/11/2026","9.09","9.08","9.15","9.01","1.75K","0.89%"
"05/10/2026","9.01","9.00","9.10","8.99","1.87K","1.01%"
"05/06/2026","8.92","8.89","9.00","8.88","0.84K","1.36%"
"05/05/2026","8.80","8.80","9.10","8.75","2.93K","-1.79%"
"05/04/2026","8.96","9.14","9.15","8.90","4.20K","-0.44%"
"05/03/2026","9.00","8.70","9.10","8.70","4.28K","6.89%"
"04/30/2026","8.42","8.20","8.65","8.19","2.06K","4.08%"
"04/29/2026","8.09","8.14","8.15","8.12","0.20K","0.00%"
"04/28/2026","8.09","8.03","8.14","8.03","0.78K","1.13%"
"04/27/2026","8.00","8.00","8.00","8.00","2.21K","0.88%"
"04/26/2026","7.93","7.93","8.00","7.92","0.98K","-0.88%"
"04/23/2026","8.00","7.94","8.00","7.94","2.34K","1.14%"
"04/22/2026","7.91","7.80","7.94","7.75","7.62K","2.33%"
"04/21/2026","7.73","7.69","7.80","7.69","2.05K","1.44%"
"04/20/2026","7.62","7.76","7.76","7.72","0.55K","0.00%"
"04/19/2026","7.62","7.74","7.77","7.70","0.65K","0.00%"
"04/16/2026","7.62","7.65","7.65","7.65","0.22K","0.00%"
"04/15/2026","7.62","7.65","7.65","7.62","2.05K","-1.80%"
"04/14/2026","7.76","7.75","7.75","7.61","0.71K","0.00%"
"04/12/2026","7.76","7.61","7.76","7.76","1.36K","0.00%"
"04/09/2026","7.76","7.77","7.77","7.65","1.36K","1.97%"
"04/08/2026","7.61","7.70","7.70","7.67","0.55K","0.00%"
"04/07/2026","7.61","7.64","7.79","7.63","0.40K","0.00%"
"04/06/2026","7.61","7.70","7.70","7.60","0.94K","-2.56%"
"04/05/2026","7.81","7.70","7.70","7.68","0.09K","0.00%"
"04/02/2026","7.81","7.77","7.78","7.70","0.20K","0.00%"
"04/01/2026","7.81","7.79","7.80","7.78","0.21K","0.00%"
"03/31/2026","7.81","7.59","7.93","7.51","1.36K","3.99%"
"03/30/2026","7.51","7.50","7.55","7.45","1.44K","0.00%"
"03/29/2026","7.51","7.40","7.51","7.51","","0.00%"
"03/26/2026","7.51","7.40","7.55","7.38","1.61K","0.54%"
"03/25/2026","7.47","7.40","7.40","7.40","0.20K","0.00%"
"03/24/2026","7.47","7.45","7.45","7.40","0.10K","0.00%"
"03/18/2026","7.47","7.42","7.50","7.36","4.69K","0.13%"
"03/17/2026","7.46","7.25","7.48","7.25","4.19K","6.72%"
"03/16/2026","6.99","7.15","7.15","7.10","0.11K","0.00%"
"03/15/2026","6.99","7.10","7.10","7.09","0.60K","0.00%"
"03/12/2026","6.99","7.10","7.14","7.10","0.30K","0.00%"
"03/11/2026","6.99","7.10","7.10","7.02","0.76K","0.00%"
"03/10/2026","6.99","7.11","7.11","7.11","0.18K","0.00%"
"03/09/2026","6.99","7.00","7.11","6.99","0.48K","0.00%"
"03/08/2026","6.99","7.11","7.11","6.99","4.65K","-0.43%"
"03/05/2026","7.02","7.07","7.10","7.07","0.09K","0.00%"
"03/04/2026","7.02","7.00","7.02","6.99","5.69K","0.14%"
"03/03/2026","7.01","7.00","7.01","7.00","4.50K","0.14%"
"03/02/2026","7.00","6.97","7.00","6.93","1.53K","0.00%"
"03/01/2026","7.00","6.89","6.93","6.89","0.60K","0.00%"
"02/26/2026","7.00","7.00","7.00","7.00","","0.00%"
"02/25/2026","7.00","6.96","6.96","6.96","0.02K","0.00%"
"02/24/2026","7.00","6.93","6.93","6.92","0.04K","0.00%"
"02/23/2026","7.00","6.92","7.02","6.92","5.01K","1.30%"
"02/22/2026","6.91","6.94","6.94","6.90","4.73K","-0.29%"
"02/19/2026","6.93","6.96","6.99","6.94","0.49K","0.00%"
"02/18/2026","6.93","6.95","6.96","6.95","0.29K","0.00%"
"02/17/2026","6.93","6.96","6.96","6.91","1.06K","-0.72%"
"02/16/2026","6.98","6.95","6.96","6.95","0.27K","0.00%"
"02/15/2026","6.98","6.88","6.98","6.88","2.42K","2.65%"
"02/12/2026","6.80","6.87","6.87","6.75","6.22K","-1.02%"
"02/11/2026","6.87","6.80","6.88","6.80","2.00K","1.78%"
"02/10/2026","6.75","6.75","6.75","6.75","","0.00%"
"02/09/2026","6.75","6.75","6.76","6.75","2.70K","0.00%"
"02/08/2026","6.75","6.80","6.80","6.75","2.21K","0.00%"
"02/05/2026","6.75","6.75","6.76","6.75","2.37K","0.00%"
"02/04/2026","6.75","6.75","6.80","6.75","2.65K","0.00%"
"02/03/2026","6.75","6.75","6.76","6.74","2.35K","0.00%"
"02/02/2026","6.75","6.75","6.75","6.75","0.12K","0.00%"
"02/01/2026","6.75","6.74","6.80","6.74","3.16K","-0.44%"
"01/28/2026","6.78","6.77","6.80","6.74","1.07K","0.59%"
"01/27/2026","6.74","6.76","6.76","6.74","0.48K","0.00%"
"01/26/2026","6.74","6.75","6.75","6.75","0.23K","0.00%"
"01/25/2026","6.74","6.80","6.80","6.74","1.72K","-0.15%"
"01/22/2026","6.75","6.73","6.75","6.71","0.23K","0.00%"
"01/21/2026","6.75","6.72","6.80","6.72","0.40K","0.00%"
"01/20/2026","6.75","6.74","6.80","6.72","0.51K","0.00%"
"01/19/2026","6.75","6.74","6.80","6.72","0.31K","0.00%"
"01/18/2026","6.75","6.75","6.75","6.75","1.51K","1.35%"
"01/15/2026","6.66","6.83","6.85","6.76","0.30K","0.00%"
"01/14/2026","6.66","6.85","6.85","6.85","0.13K","0.00%"
"01/13/2026","6.66","6.70","6.70","6.68","0.46K","0.00%"
"01/12/2026","6.66","6.72","6.72","6.60","1.12K","-1.19%"
"01/11/2026","6.74","6.73","6.85","6.71","0.07K","0.00%"
"01/08/2026","6.74","6.80","6.88","6.73","2.51K","-0.15%"
"01/06/2026","6.75","6.76","6.76","6.75","1.85K","0.00%"
"01/05/2026","6.75","6.81","6.81","6.75","10.40K","-1.17%"
"01/04/2026","6.83","6.91","6.91","6.91","0.01K","0.00%"
