"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","73.20","73.20","73.20","73.01","6.32K","-0.41%"
"06/22/2026","73.50","68.20","75.00","68.20","36.04K","-3.29%"
"06/17/2026","76.00","77.00","77.00","70.02","35.85K","11.60%"
"06/15/2026","68.10","71.00","72.50","68.10","8.07K","-4.08%"
"06/10/2026","71.00","73.80","74.00","70.14","22.53K","-4.05%"
"06/08/2026","74.00","75.00","75.00","72.14","7.26K","-1.33%"
"06/03/2026","75.00","75.00","77.78","75.00","8.77K","1.34%"
"06/01/2026","74.01","78.00","78.00","73.14","14.25K","-5.12%"
"05/25/2026","78.00","77.00","78.00","75.11","10.51K","-0.95%"
"05/20/2026","78.75","76.00","78.75","75.12","8.87K","-0.03%"
"05/18/2026","78.77","73.02","78.78","73.00","15.48K","0.99%"
"05/13/2026","78.00","79.78","79.78","74.02","8.66K","3.30%"
"05/11/2026","75.51","73.11","77.00","73.11","2.22K","-3.19%"
"05/06/2026","78.00","80.00","80.50","74.87","42.47K","-2.49%"
"05/04/2026","79.99","76.36","79.99","75.00","24.22K","6.65%"
"04/29/2026","75.00","73.00","75.00","72.00","37.10K","1.63%"
"04/27/2026","73.80","73.99","73.99","72.99","8.78K","0.07%"
"04/22/2026","73.75","72.00","73.75","70.00","8.35K","2.43%"
"04/20/2026","72.00","73.00","73.00","70.00","11.12K","-1.37%"
"04/15/2026","73.00","73.20","74.90","70.00","7.20K","3.55%"
"04/08/2026","70.50","73.20","73.20","70.00","7.64K","-3.91%"
"04/06/2026","73.37","66.90","75.99","66.90","11.70K","12.88%"
"04/01/2026","65.00","65.00","65.99","65.00","9.69K","0.00%"
"03/30/2026","65.00","65.11","67.00","62.31","8.69K","-0.17%"
"03/25/2026","65.11","68.52","68.52","65.00","3.24K","-4.95%"
"03/18/2026","68.50","68.49","68.50","67.16","5.89K","1.93%"
"03/16/2026","67.20","60.12","70.00","60.11","4.91K","-4.00%"
"03/11/2026","70.00","68.49","70.01","68.49","10.85K","2.19%"
"03/09/2026","68.50","67.00","70.20","67.00","22.73K","2.24%"
"03/04/2026","67.00","65.60","68.96","65.00","3.79K","0.00%"
"03/02/2026","67.00","68.85","68.85","65.00","23.53K","-2.90%"
"02/25/2026","69.00","68.35","69.00","65.10","8.29K","-1.72%"
"02/23/2026","70.21","70.44","71.01","67.50","7.78K","-2.49%"
"02/18/2026","72.00","76.24","76.30","71.00","13.37K","-5.57%"
"02/16/2026","76.25","85.00","85.00","76.05","13.89K","-7.13%"
"02/11/2026","82.10","72.90","85.40","72.90","78.82K","16.62%"
"02/09/2026","70.40","64.00","72.95","64.00","16.48K","11.75%"
"02/04/2026","63.00","63.01","64.00","62.00","9.68K","1.61%"
"02/02/2026","62.00","63.50","65.00","31.03","15.58K","-2.36%"
"01/28/2026","63.50","66.22","66.22","61.60","9.17K","-5.08%"
"01/26/2026","66.90","68.00","68.00","66.21","6.35K","-0.43%"
"01/21/2026","67.19","67.25","68.00","66.90","3.83K","0.28%"
"01/19/2026","67.00","66.91","68.00","66.90","17.11K","0.30%"
"01/14/2026","66.80","66.11","67.90","58.50","3.51K","-3.26%"
"01/12/2026","69.05","69.00","74.01","69.00","18.65K","-6.70%"
"01/05/2026","74.01","71.11","75.00","70.00","22.96K","2.79%"
