"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","10.21","10.32","10.45","10.18","1.07M","-1.07%"
"06/23/2026","10.32","10.54","10.75","10.12","2.52M","-1.71%"
"06/22/2026","10.50","10.87","10.93","10.44","3.16M","-3.23%"
"06/21/2026","10.85","10.42","11.19","10.31","10.35M","5.44%"
"06/17/2026","10.29","9.93","10.70","9.86","4.75M","3.21%"
"06/16/2026","9.97","10.10","10.17","9.84","3.22M","-1.29%"
"06/15/2026","10.10","9.82","10.45","9.82","13.44M","3.27%"
"06/14/2026","9.78","9.15","9.80","9.15","6.31M","9.89%"
"06/11/2026","8.90","9.20","9.39","8.77","3.30M","-4.30%"
"06/10/2026","9.30","9.30","9.73","9.16","7.58M","0.11%"
"06/09/2026","9.29","9.00","9.65","9.00","11.27M","4.26%"
"06/08/2026","8.91","9.05","9.15","8.75","6.70M","-3.15%"
"06/07/2026","9.20","9.21","9.70","9.01","5.01M","-1.29%"
"06/04/2026","9.32","8.95","9.43","8.83","7.29M","4.02%"
"06/03/2026","8.96","8.70","8.99","8.60","7.47M","2.99%"
"06/02/2026","8.70","8.56","8.82","8.50","13.91M","2.23%"
"06/01/2026","8.51","8.01","8.69","8.01","23.29M","7.31%"
"05/25/2026","7.93","7.77","8.00","7.65","2.57M","2.72%"
"05/24/2026","7.72","7.42","7.86","7.37","723.31K","1.18%"
"05/21/2026","7.63","7.55","7.65","7.50","1.16M","1.60%"
"05/20/2026","7.51","7.85","7.88","7.51","3.27M","-4.09%"
"05/19/2026","7.83","7.83","7.93","7.76","2.38M","0.00%"
"05/18/2026","7.83","8.04","8.07","7.80","3.11M","-2.49%"
"05/17/2026","8.03","8.09","8.18","8.03","4.58M","0.12%"
"05/14/2026","8.02","8.00","8.13","7.94","11.50M","1.26%"
"05/13/2026","7.92","7.80","7.98","7.73","11.72M","1.80%"
"05/12/2026","7.78","7.79","7.83","7.70","3.21M","0.26%"
"05/11/2026","7.76","7.73","7.78","7.65","2.96M","0.78%"
"05/10/2026","7.70","7.70","7.75","7.64","6.39M","0.92%"
"05/06/2026","7.63","7.71","7.74","7.58","3.53M","-0.13%"
"05/05/2026","7.64","7.66","7.70","7.59","2.04M","-0.26%"
"05/04/2026","7.66","7.85","7.87","7.62","4.19M","-1.67%"
"05/03/2026","7.79","7.73","7.88","7.68","7.86M","0.91%"
"04/30/2026","7.72","7.70","7.78","7.65","2.43M","0.65%"
"04/29/2026","7.67","7.68","7.76","7.65","1.39M","0.26%"
"04/28/2026","7.65","7.70","7.71","7.64","1.63M","-0.52%"
"04/27/2026","7.69","7.89","7.89","7.61","7.19M","-1.41%"
"04/26/2026","7.80","7.69","7.86","7.68","9.04M","1.83%"
"04/23/2026","7.66","7.50","7.68","7.46","4.91M","3.23%"
"04/22/2026","7.42","7.35","7.54","7.35","2.72M","1.23%"
"04/21/2026","7.33","7.35","7.43","7.30","2.51M","-0.27%"
"04/20/2026","7.35","7.47","7.47","7.32","1.99M","-1.47%"
"04/19/2026","7.46","7.50","7.55","7.41","1.79M","-0.27%"
"04/16/2026","7.48","7.60","7.61","7.46","5.52M","-0.66%"
"04/15/2026","7.53","7.49","7.60","7.48","6.64M","0.67%"
"04/14/2026","7.48","7.50","7.58","7.45","2.49M","-0.66%"
"04/12/2026","7.53","7.50","7.53","7.53","1.48M","0.00%"
"04/09/2026","7.53","7.51","7.58","7.46","1.48M","0.40%"
"04/08/2026","7.50","7.65","7.68","7.46","4.62M","0.67%"
"04/07/2026","7.45","7.73","7.80","7.41","5.57M","-3.50%"
"04/06/2026","7.72","7.53","8.00","7.53","9.68M","2.80%"
"04/05/2026","7.51","7.55","7.62","7.50","519.05K","0.13%"
"04/02/2026","7.50","7.55","7.65","7.45","2.22M","-0.13%"
"04/01/2026","7.51","7.66","7.66","7.45","1.70M","-1.18%"
"03/31/2026","7.60","7.32","7.78","7.26","7.46M","4.11%"
"03/30/2026","7.30","7.20","7.42","7.20","2.91M","1.53%"
"03/29/2026","7.19","7.26","7.26","7.11","721.29K","-1.10%"
"03/26/2026","7.27","7.47","7.49","7.24","1.31M","-2.15%"
"03/25/2026","7.43","7.48","7.55","7.40","880.66K","0.41%"
"03/24/2026","7.40","7.35","7.51","7.33","1.46M","0.82%"
"03/18/2026","7.34","7.30","7.40","7.26","689.94K","1.10%"
"03/17/2026","7.26","7.28","7.40","7.22","903.89K","0.83%"
"03/16/2026","7.20","7.59","7.59","7.11","2.08M","-4.26%"
"03/15/2026","7.52","7.61","7.70","7.51","1.43M","-1.05%"
"03/12/2026","7.60","7.62","7.78","7.60","2.10M","0.00%"
"03/11/2026","7.60","7.51","7.79","7.51","5.03M","1.33%"
"03/10/2026","7.50","7.97","8.02","7.49","5.35M","-5.06%"
"03/09/2026","7.90","7.62","8.20","7.60","24.68M","3.95%"
"03/08/2026","7.60","7.30","7.60","7.20","3.59M","4.40%"
"03/05/2026","7.28","7.34","7.43","7.28","3.19M","1.11%"
"03/04/2026","7.20","7.11","7.35","7.05","2.43M","2.86%"
"03/03/2026","7.00","7.04","7.20","6.85","1.35M","-0.43%"
"03/02/2026","7.03","6.67","7.05","6.67","1.45M","4.15%"
"03/01/2026","6.75","6.66","6.98","6.37","4.01M","-3.57%"
"02/26/2026","7.00","6.96","7.09","6.92","1.05M","0.86%"
"02/25/2026","6.94","7.20","7.25","6.94","1.29M","-2.94%"
"02/24/2026","7.15","7.30","7.36","7.13","1.25M","-2.05%"
"02/23/2026","7.30","6.82","7.42","6.82","4.94M","5.80%"
"02/22/2026","6.90","7.21","7.30","6.84","2.94M","-3.77%"
"02/19/2026","7.17","7.65","7.67","7.10","5.12M","-6.15%"
"02/18/2026","7.64","7.55","7.84","7.55","6.94M","1.19%"
"02/17/2026","7.55","7.70","7.72","7.53","4.91M","-1.44%"
"02/16/2026","7.66","7.95","7.98","7.63","5.66M","-2.79%"
