"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","12.52","12.40","12.70","12.40","4.25K","0.00%"
"06/23/2026","12.52","12.33","12.70","12.31","33.18K","-1.26%"
"06/22/2026","12.68","12.55","12.69","12.09","13.72K","0.00%"
"06/21/2026","12.68","12.82","13.12","12.48","27.28K","0.32%"
"06/17/2026","12.64","12.44","12.82","11.87","77.88K","2.43%"
"06/16/2026","12.34","11.96","12.45","11.75","59.39K","4.05%"
"06/15/2026","11.86","11.88","12.44","11.88","5.72K","0.00%"
"06/14/2026","11.86","12.25","12.34","11.72","89.79K","-2.55%"
"06/11/2026","12.17","11.97","12.19","11.77","10.86K","0.00%"
"06/10/2026","12.17","12.25","12.45","12.09","30.15K","-0.65%"
"06/09/2026","12.25","12.44","12.44","12.20","34.00K","-2.00%"
"06/08/2026","12.50","12.00","12.52","12.00","122.40K","4.78%"
"06/07/2026","11.93","12.35","12.45","11.67","110.02K","-2.77%"
"06/04/2026","12.27","12.35","12.55","12.17","149.66K","-1.05%"
"06/03/2026","12.40","12.48","12.89","12.32","184.93K","0.98%"
"06/02/2026","12.28","12.38","12.54","12.00","145.21K","1.74%"
"06/01/2026","12.07","12.49","12.56","12.00","365.43K","-3.52%"
"05/25/2026","12.51","12.45","12.64","12.23","55.86K","3.30%"
"05/24/2026","12.11","12.10","12.65","12.02","5.76K","0.00%"
"05/21/2026","12.11","12.67","12.67","12.01","41.63K","-2.42%"
"05/20/2026","12.41","12.43","12.67","12.43","7.41K","0.00%"
"05/19/2026","12.41","12.40","12.86","12.40","20.06K","0.00%"
"05/18/2026","12.41","12.60","12.98","12.36","90.31K","-2.21%"
"05/17/2026","12.69","13.00","13.00","12.48","63.82K","-2.46%"
"05/14/2026","13.01","12.98","13.60","12.98","191.63K","0.31%"
"05/13/2026","12.97","12.55","13.25","12.53","95.78K","1.81%"
"05/12/2026","12.74","12.61","12.80","12.43","41.87K","2.17%"
"05/11/2026","12.47","12.55","12.73","12.40","27.81K","-0.24%"
"05/10/2026","12.50","12.84","12.84","12.50","89.98K","-0.24%"
"05/06/2026","12.53","12.73","13.00","12.50","56.27K","-0.08%"
"05/05/2026","12.54","12.38","12.88","12.30","35.79K","-0.16%"
"05/04/2026","12.56","12.93","12.93","12.30","96.15K","-1.10%"
"05/03/2026","12.70","12.78","13.00","12.66","35.46K","-0.47%"
"04/30/2026","12.76","12.60","13.09","12.60","15.47K","0.00%"
"04/29/2026","12.76","13.01","13.10","12.64","24.82K","-1.92%"
"04/28/2026","13.01","13.00","13.20","12.70","43.49K","1.96%"
"04/27/2026","12.76","13.00","13.33","12.73","20.39K","0.00%"
"04/26/2026","12.76","12.70","12.99","12.50","27.10K","-0.85%"
"04/23/2026","12.87","13.11","13.50","12.45","44.28K","-1.68%"
"04/22/2026","13.09","13.42","13.68","13.01","87.10K","-4.38%"
