"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","354.70","356.15","359.97","352.00","2.32K","-0.81%"
"06/23/2026","357.58","360.01","364.00","355.51","3.94K","-1.08%"
"06/22/2026","361.47","356.22","374.99","355.51","14.42K","0.78%"
"06/21/2026","358.66","356.01","359.90","355.60","4.38K","0.80%"
"06/17/2026","355.81","352.31","360.70","352.30","3.41K","-0.49%"
"06/16/2026","357.56","354.00","361.50","350.20","6.99K","1.15%"
"06/15/2026","353.48","360.00","360.00","352.01","4.32K","-0.88%"
"06/14/2026","356.61","352.00","361.33","352.00","4.88K","1.44%"
"06/11/2026","351.54","356.10","359.99","351.00","8.35K","-1.45%"
"06/10/2026","356.73","368.00","374.00","356.02","7.90K","-2.82%"
"06/09/2026","367.07","357.00","380.00","352.93","40.01K","4.01%"
"06/08/2026","352.93","355.25","359.98","352.00","4.90K","-1.21%"
"06/07/2026","357.24","360.42","363.90","355.01","4.79K","-1.17%"
"06/04/2026","361.48","362.66","364.70","359.10","6.93K","0.48%"
"06/03/2026","359.74","358.50","365.89","357.60","7.47K","0.09%"
"06/02/2026","359.41","356.95","367.00","356.00","9.77K","1.20%"
"06/01/2026","355.15","353.03","359.90","353.03","5.77K","0.79%"
"05/25/2026","352.36","353.37","365.00","350.15","24.85K","-1.64%"
"05/24/2026","358.23","355.00","360.00","351.80","6.28K","1.56%"
"05/21/2026","352.74","364.95","364.99","346.01","9.24K","-0.35%"
"05/20/2026","353.99","370.00","373.00","352.01","10.98K","-4.17%"
"05/19/2026","369.39","362.25","375.00","362.25","3.92K","2.04%"
"05/18/2026","361.99","375.00","375.00","355.02","8.45K","-2.95%"
"05/17/2026","373.00","380.00","383.80","371.00","13.30K","-1.52%"
"05/14/2026","378.77","381.15","386.00","378.00","17.26K","-0.87%"
"05/13/2026","382.08","385.00","392.00","378.01","26.48K","-0.65%"
"05/12/2026","384.58","380.00","384.99","377.10","19.68K","1.93%"
"05/11/2026","377.28","380.18","387.00","377.00","25.52K","-0.76%"
"05/10/2026","380.16","383.70","388.00","376.77","52.16K","-0.41%"
"05/06/2026","381.71","387.90","429.00","377.51","214.68K","2.95%"
"05/05/2026","370.79","375.02","389.00","370.01","73.38K","-0.81%"
"05/04/2026","373.81","386.57","405.00","372.00","138.91K","-0.95%"
"05/03/2026","377.38","426.80","449.00","376.25","307.83K","-4.74%"
"04/30/2026","396.15","330.30","396.15","330.15","279.82K","20.00%"
"04/29/2026","330.13","334.33","335.50","330.00","15.82K","-0.42%"
"04/28/2026","331.52","336.20","338.70","330.00","15.47K","-0.96%"
"04/27/2026","334.75","333.00","348.00","333.00","44.76K","0.83%"
"04/26/2026","332.00","331.02","338.50","331.02","17.67K","0.32%"
"04/23/2026","330.93","323.81","343.98","319.51","68.77K","1.77%"
"04/22/2026","325.18","330.00","330.98","320.00","11.81K","-0.74%"
"04/21/2026","327.60","324.24","333.00","324.24","7.91K","1.04%"
"04/20/2026","324.24","332.00","332.99","324.00","14.13K","-1.55%"
"04/19/2026","329.35","333.99","334.99","329.02","11.18K","-1.15%"
"04/16/2026","333.19","330.99","337.90","329.00","28.30K","0.96%"
"04/15/2026","330.01","329.99","336.00","327.50","11.19K","0.29%"
"04/14/2026","329.04","331.00","332.00","326.90","17.53K","-0.41%"
"04/12/2026","330.40","330.12","330.40","330.40","13.95K","0.00%"
"04/09/2026","330.40","335.99","335.99","327.10","13.95K","0.08%"
"04/08/2026","330.12","330.01","338.50","329.00","14.35K","0.52%"
"04/07/2026","328.40","333.60","338.79","326.02","12.84K","-1.48%"
"04/06/2026","333.34","336.00","343.95","333.00","21.77K","0.34%"
"04/05/2026","332.22","332.61","335.90","331.00","9.82K","-0.09%"
"04/02/2026","332.53","335.00","338.89","331.06","9.70K","-0.71%"
"04/01/2026","334.91","335.00","345.00","325.00","22.64K","0.10%"
"03/31/2026","334.57","338.36","343.40","333.61","9.28K","-1.12%"
"03/30/2026","338.35","357.59","357.59","333.03","25.76K","-3.97%"
"03/29/2026","352.35","354.20","369.99","350.10","28.15K","-0.33%"
"03/26/2026","353.52","355.52","366.60","350.34","20.68K","-0.43%"
"03/25/2026","355.04","349.00","369.00","345.00","65.49K","1.75%"
"03/24/2026","348.93","359.48","360.00","347.11","19.91K","-2.93%"
"03/18/2026","359.48","372.00","372.00","345.51","22.08K","-2.81%"
"03/17/2026","369.86","370.00","384.00","367.50","36.98K","0.75%"
"03/16/2026","367.11","362.50","375.00","357.01","26.92K","1.71%"
"03/15/2026","360.93","371.90","390.00","356.00","71.71K","-1.12%"
"03/12/2026","365.03","359.99","385.06","355.00","131.98K","5.81%"
"03/11/2026","345.00","307.30","345.00","304.50","84.12K","13.04%"
"03/10/2026","305.20","310.01","316.00","304.12","8.59K","0.30%"
"03/09/2026","304.29","300.01","325.00","298.10","32.31K","1.43%"
"03/08/2026","300.00","309.69","309.69","300.00","11.52K","-1.38%"
"03/05/2026","304.20","304.89","317.79","301.13","9.35K","1.03%"
"03/04/2026","301.10","309.55","309.55","300.00","5.29K","-1.36%"
"03/03/2026","305.24","314.94","314.95","303.21","4.71K","-1.80%"
"03/02/2026","310.83","295.00","323.94","295.00","23.76K","6.38%"
"03/01/2026","292.19","299.00","300.00","281.00","9.08K","-7.16%"
"02/26/2026","314.74","320.00","325.99","310.10","3.38K","-1.97%"
"02/25/2026","321.08","326.00","328.80","317.00","7.62K","-1.15%"
"02/24/2026","324.81","332.98","336.89","323.10","9.32K","-1.58%"
"02/23/2026","330.01","325.00","341.99","322.21","19.24K","1.83%"
"02/22/2026","324.09","328.12","338.00","324.00","4.17K","-1.23%"
"02/19/2026","328.12","335.20","340.00","326.50","8.29K","-2.10%"
"02/18/2026","335.17","328.14","347.00","326.00","42.41K","2.14%"
"02/17/2026","328.14","330.00","335.00","328.00","10.97K","-0.39%"
"02/16/2026","329.42","334.91","334.91","328.11","7.28K","-1.07%"
"02/15/2026","332.99","335.00","341.80","332.00","15.06K","-0.45%"
"02/12/2026","334.50","336.00","342.50","325.00","11.07K","-0.36%"
"02/11/2026","335.70","339.22","342.88","335.30","8.55K","-1.26%"
"02/10/2026","340.00","342.00","345.90","339.00","6.64K","-0.77%"
"02/09/2026","342.64","345.50","345.80","342.00","2.99K","-0.20%"
"02/08/2026","343.32","346.00","352.00","342.10","6.26K","-1.09%"
"02/05/2026","347.10","354.99","357.90","346.05","6.20K","-1.75%"
