"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","1.76","1.69","1.77","1.69","560.15K","4.14%"
"06/23/2026","1.69","1.68","1.69","1.62","731.54K","4.97%"
"06/22/2026","1.61","1.61","1.61","1.54","224.27K","4.55%"
"06/21/2026","1.54","1.48","1.54","1.42","275.68K","4.76%"
"06/17/2026","1.47","1.39","1.48","1.38","508.67K","4.26%"
"06/16/2026","1.41","1.34","1.41","1.34","316.43K","4.44%"
"06/15/2026","1.35","1.40","1.40","1.33","155.54K","-3.57%"
"06/14/2026","1.40","1.37","1.43","1.32","240.48K","1.45%"
"06/11/2026","1.38","1.38","1.41","1.35","115.04K","0.73%"
"06/10/2026","1.37","1.40","1.40","1.35","95.77K","0.00%"
"06/09/2026","1.37","1.38","1.42","1.36","49.43K","0.00%"
"06/08/2026","1.37","1.39","1.39","1.34","175.22K","3.01%"
"06/07/2026","1.33","1.40","1.47","1.33","311.84K","-5.00%"
"06/04/2026","1.40","1.35","1.41","1.29","195.32K","3.70%"
"06/03/2026","1.35","1.37","1.38","1.32","113.90K","-2.17%"
"06/02/2026","1.38","1.39","1.41","1.36","113.62K","-1.43%"
"06/01/2026","1.40","1.38","1.46","1.38","74.98K","0.00%"
"05/25/2026","1.40","1.41","1.52","1.38","905.66K","-3.45%"
"05/24/2026","1.45","1.39","1.45","1.39","981.86K","4.32%"
"05/21/2026","1.39","1.39","1.39","1.33","788.80K","4.51%"
"05/20/2026","1.33","1.30","1.33","1.30","543.07K","4.72%"
"05/19/2026","1.27","1.27","1.29","1.24","701.27K","1.60%"
"05/18/2026","1.25","1.25","1.28","1.24","189.49K","-0.79%"
"05/17/2026","1.26","1.27","1.28","1.25","192.62K","-1.56%"
"05/14/2026","1.28","1.28","1.28","1.26","109.49K","0.00%"
"05/13/2026","1.28","1.28","1.28","1.26","92.69K","0.00%"
"05/12/2026","1.28","1.27","1.29","1.27","11.86K","0.00%"
"05/11/2026","1.28","1.26","1.30","1.26","139.47K","2.40%"
"05/10/2026","1.25","1.30","1.30","1.25","295.90K","-3.10%"
"05/06/2026","1.29","1.30","1.30","1.29","32.83K","0.00%"
"05/05/2026","1.29","1.28","1.30","1.28","118.41K","0.00%"
"05/04/2026","1.29","1.29","1.31","1.28","103.64K","0.00%"
"05/03/2026","1.29","1.30","1.32","1.28","209.04K","-0.77%"
"04/30/2026","1.30","1.34","1.34","1.29","158.61K","-1.52%"
"04/29/2026","1.32","1.34","1.34","1.30","378.19K","-2.22%"
"04/28/2026","1.35","1.34","1.35","1.29","549.91K","1.50%"
"04/27/2026","1.33","1.36","1.38","1.32","360.24K","0.00%"
"04/26/2026","1.33","1.28","1.34","1.28","811.25K","3.91%"
"04/23/2026","1.28","1.27","1.30","1.27","143.73K","0.00%"
"04/22/2026","1.28","1.30","1.30","1.26","424.95K","-0.78%"
"04/21/2026","1.29","1.33","1.33","1.29","185.45K","-2.27%"
"04/20/2026","1.32","1.33","1.34","1.31","251.03K","0.76%"
"04/19/2026","1.31","1.31","1.33","1.29","139.21K","-2.24%"
"04/16/2026","1.34","1.33","1.36","1.30","165.53K","1.52%"
"04/15/2026","1.32","1.31","1.36","1.28","187.13K","-1.49%"
"04/14/2026","1.34","1.33","1.35","1.27","432.90K","0.75%"
"04/12/2026","1.33","1.39","1.33","1.33","415.13K","0.00%"
"04/09/2026","1.33","1.39","1.39","1.33","415.13K","-4.32%"
"04/08/2026","1.39","1.42","1.42","1.37","163.41K","-3.47%"
"04/07/2026","1.44","1.44","1.44","1.34","1.32M","4.35%"
"04/06/2026","1.38","1.38","1.38","1.38","344.78K","4.55%"
"04/05/2026","1.32","1.24","1.32","1.24","508.30K","4.76%"
"04/02/2026","1.26","1.30","1.30","1.24","259.32K","-3.08%"
"04/01/2026","1.30","1.35","1.35","1.27","93.62K","0.00%"
"03/31/2026","1.30","1.33","1.37","1.27","432.64K","-2.26%"
"03/30/2026","1.33","1.39","1.39","1.33","337.17K","-4.32%"
"03/29/2026","1.39","1.40","1.40","1.34","434.99K","3.73%"
"03/26/2026","1.34","1.30","1.37","1.25","706.30K","2.29%"
"03/25/2026","1.31","1.31","1.31","1.31","168.97K","-4.38%"
"03/24/2026","1.37","1.45","1.51","1.37","475.02K","-4.86%"
"03/18/2026","1.44","1.43","1.44","1.40","368.74K","4.35%"
"03/17/2026","1.38","1.36","1.38","1.33","704.12K","4.55%"
"03/16/2026","1.32","1.32","1.32","1.32","466.88K","4.76%"
"03/15/2026","1.26","1.26","1.26","1.22","482.78K","5.00%"
"03/12/2026","1.20","1.16","1.20","1.16","284.34K","4.35%"
"03/11/2026","1.15","1.13","1.15","1.11","396.52K","4.55%"
"03/10/2026","1.10","1.10","1.14","1.10","45.97K","0.00%"
"03/09/2026","1.10","1.14","1.15","1.09","297.32K","-0.90%"
"03/08/2026","1.11","1.15","1.15","1.09","120.81K","0.00%"
"03/05/2026","1.11","1.12","1.15","1.09","328.42K","0.91%"
"03/04/2026","1.10","1.14","1.17","1.09","233.18K","-3.51%"
"03/03/2026","1.14","1.19","1.19","1.14","318.63K","-4.20%"
"03/02/2026","1.19","1.19","1.23","1.19","331.78K","-4.80%"
"03/01/2026","1.25","1.25","1.29","1.25","123.11K","-4.58%"
"02/26/2026","1.31","1.32","1.32","1.26","589.01K","3.97%"
"02/25/2026","1.26","1.25","1.29","1.23","1.02M","2.44%"
"02/24/2026","1.23","1.19","1.24","1.16","225.19K","3.36%"
"02/23/2026","1.19","1.16","1.20","1.11","328.02K","3.48%"
"02/22/2026","1.15","1.15","1.17","1.13","45.18K","0.00%"
"02/19/2026","1.15","1.13","1.16","1.13","3.93K","0.00%"
"02/18/2026","1.15","1.13","1.16","1.13","19.04K","0.00%"
"02/17/2026","1.15","1.17","1.17","1.13","5.82K","0.00%"
"02/16/2026","1.15","1.15","1.17","1.13","50.18K","0.00%"
"02/15/2026","1.15","1.15","1.15","1.12","40.78K","0.00%"
"02/12/2026","1.15","1.15","1.15","1.12","29.62K","0.00%"
"02/11/2026","1.15","1.15","1.15","1.11","101.26K","0.00%"
"02/10/2026","1.15","1.13","1.16","1.12","25.41K","0.00%"
"02/09/2026","1.15","1.15","1.18","1.11","115.91K","0.00%"
"02/08/2026","1.15","1.12","1.17","1.11","100.49K","0.00%"
"02/05/2026","1.15","1.16","1.16","1.12","11.52K","0.00%"
"02/04/2026","1.15","1.14","1.16","1.12","108.18K","0.00%"
"02/03/2026","1.15","1.12","1.14","1.12","30.78K","0.00%"
"02/02/2026","1.15","1.14","1.15","1.11","43.20K","0.00%"
"02/01/2026","1.15","1.14","1.15","1.10","104.99K","0.00%"
"01/28/2026","1.15","1.13","1.15","1.12","29.85K","0.00%"
"01/27/2026","1.15","1.16","1.16","1.12","47.34K","0.00%"
"01/26/2026","1.15","1.17","1.17","1.12","67.94K","0.00%"
"01/25/2026","1.15","1.16","1.17","1.12","90.21K","0.00%"
"01/22/2026","1.15","1.17","1.17","1.12","30.32K","0.00%"
"01/21/2026","1.15","1.19","1.19","1.14","184.17K","-3.36%"
"01/20/2026","1.19","1.20","1.20","1.16","25.61K","0.00%"
"01/19/2026","1.19","1.22","1.22","1.14","66.05K","0.00%"
"01/18/2026","1.19","1.24","1.30","1.18","134.80K","-4.03%"
"01/15/2026","1.24","1.20","1.20","1.18","47.00K","0.00%"
"01/14/2026","1.24","1.18","1.21","1.18","9.03K","0.00%"
"01/13/2026","1.24","1.21","1.21","1.18","67.31K","0.00%"
"01/12/2026","1.24","1.26","1.27","1.21","123.16K","0.00%"
"01/11/2026","1.24","1.27","1.28","1.20","85.49K","0.00%"
"01/08/2026","1.24","1.21","1.24","1.21","167.90K","4.20%"
"01/06/2026","1.19","1.14","1.19","1.14","440.07K","4.39%"
"01/05/2026","1.14","1.15","1.15","1.12","52.16K","0.00%"
"01/04/2026","1.14","1.14","1.15","1.12","111.00K","0.00%"
