"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","87.37","88.40","88.74","87.10","121.55K","-0.96%"
"06/23/2026","88.22","88.20","90.97","88.02","461.99K","0.08%"
"06/22/2026","88.15","87.30","88.79","87.30","190.34K","1.01%"
"06/21/2026","87.27","86.90","87.50","86.75","113.19K","0.60%"
"06/17/2026","86.75","86.60","86.90","86.13","75.08K","0.72%"
"06/16/2026","86.13","86.11","87.00","86.09","62.96K","-0.31%"
"06/15/2026","86.40","87.00","87.80","86.05","92.71K","0.03%"
"06/14/2026","86.37","87.00","87.00","85.66","119.14K","2.32%"
"06/11/2026","84.41","86.00","86.00","84.01","245.25K","-2.08%"
"06/10/2026","86.20","88.00","88.00","86.20","205.98K","-1.28%"
"06/09/2026","87.32","87.99","88.28","87.21","104.73K","0.14%"
"06/08/2026","87.20","87.98","88.06","87.15","188.22K","-0.98%"
"06/07/2026","88.06","88.00","88.54","87.10","157.40K","-0.54%"
"06/04/2026","88.54","88.99","89.00","88.00","116.47K","-0.44%"
"06/03/2026","88.93","90.00","90.00","88.65","153.15K","-0.53%"
"06/02/2026","89.40","90.38","90.77","88.50","458.96K","-1.96%"
"06/01/2026","91.19","89.55","91.60","89.51","562.81K","2.15%"
"05/25/2026","89.27","89.00","89.89","88.75","168.45K","0.62%"
"05/24/2026","88.72","88.90","89.10","88.01","117.64K","0.93%"
"05/21/2026","87.90","88.99","88.99","87.02","139.86K","-0.43%"
"05/20/2026","88.28","88.99","90.95","88.25","220.12K","-0.26%"
"05/19/2026","88.51","87.99","88.88","87.13","191.45K","1.69%"
"05/18/2026","87.04","88.98","89.00","87.04","244.26K","-2.18%"
"05/17/2026","88.98","90.64","90.70","88.00","434.52K","-0.91%"
"05/14/2026","89.80","90.32","91.40","89.50","585.15K","0.45%"
"05/13/2026","89.40","90.79","90.79","88.50","444.58K","-0.12%"
"05/12/2026","89.51","91.03","91.70","89.07","340.39K","-0.76%"
"05/11/2026","90.20","91.60","91.90","88.00","421.87K","-1.47%"
"05/10/2026","91.55","92.00","93.00","91.17","779.79K","0.68%"
"05/06/2026","90.93","87.59","91.87","87.30","1.99M","4.36%"
"05/05/2026","87.13","87.10","87.80","86.01","261.37K","0.02%"
"05/04/2026","87.11","87.85","87.86","86.02","317.06K","0.00%"
"05/03/2026","87.11","88.00","88.20","86.80","307.49K","0.13%"
"04/30/2026","87.00","87.00","88.85","86.70","550.27K","0.35%"
"04/29/2026","86.70","87.31","87.80","86.20","329.91K","-0.69%"
"04/28/2026","87.30","88.00","89.20","86.20","1.20M","1.50%"
"04/27/2026","86.01","83.98","86.90","83.40","2.05M","5.02%"
"04/26/2026","81.90","82.98","82.98","81.90","284.32K","0.10%"
"04/23/2026","81.82","82.25","82.90","81.62","293.29K","-0.16%"
"04/22/2026","81.95","80.79","82.15","80.40","311.39K","1.93%"
"04/21/2026","80.40","81.50","81.90","80.25","202.22K","-1.35%"
"04/20/2026","81.50","81.49","81.50","80.57","259.05K","0.89%"
"04/19/2026","80.78","81.20","81.40","80.50","249.70K","-0.05%"
"04/16/2026","80.82","81.50","81.95","80.60","191.64K","-0.38%"
"04/15/2026","81.13","81.50","81.99","80.26","210.55K","-0.39%"
"04/14/2026","81.45","81.50","82.80","81.42","660.10K","0.07%"
"04/12/2026","81.39","79.20","81.39","81.39","377.08K","0.00%"
"04/09/2026","81.39","79.45","81.45","78.80","377.08K","2.77%"
"04/08/2026","79.20","78.98","79.95","78.60","225.05K","1.33%"
"04/07/2026","78.16","79.14","79.14","78.00","115.55K","-0.93%"
"04/06/2026","78.89","79.29","79.31","78.80","64.66K","-0.14%"
"04/05/2026","79.00","79.50","79.64","78.60","75.53K","-0.28%"
"04/02/2026","79.22","79.10","79.57","79.02","77.65K","0.27%"
"04/01/2026","79.01","78.20","80.10","78.00","220.14K","1.29%"
"03/31/2026","78.00","78.00","78.16","77.80","85.42K","0.00%"
"03/30/2026","78.00","78.15","78.15","77.85","177.21K","0.09%"
"03/29/2026","77.93","78.48","78.48","77.51","186.78K","-0.49%"
"03/26/2026","78.31","78.60","78.60","78.22","66.60K","0.08%"
"03/25/2026","78.25","78.85","78.96","77.99","117.48K","-0.47%"
"03/24/2026","78.62","78.90","79.00","78.10","111.67K","0.11%"
"03/18/2026","78.53","78.50","78.88","78.30","71.89K","0.20%"
"03/17/2026","78.37","78.30","81.00","78.00","99.33K","0.47%"
"03/16/2026","78.00","78.80","79.00","77.61","88.52K","-0.38%"
"03/15/2026","78.30","79.03","79.55","78.00","106.81K","-0.92%"
"03/12/2026","79.03","79.90","80.00","79.01","108.21K","-0.59%"
"03/11/2026","79.50","79.81","79.95","79.11","119.76K","0.13%"
"03/10/2026","79.40","79.90","80.17","79.25","139.38K","0.23%"
"03/09/2026","79.22","81.00","81.49","79.22","654.80K","0.03%"
"03/08/2026","79.20","77.94","79.50","77.90","194.43K","1.63%"
"03/05/2026","77.93","78.29","79.99","77.90","171.63K","-0.09%"
"03/04/2026","78.00","77.43","78.10","76.52","165.55K","1.75%"
"03/03/2026","76.66","77.50","77.59","75.91","130.49K","-0.20%"
"03/02/2026","76.81","76.71","77.99","75.90","297.20K","1.27%"
"03/01/2026","75.85","75.10","76.69","73.25","856.55K","-2.12%"
"02/26/2026","77.49","77.98","78.37","62.03","295.29K","-0.05%"
"02/25/2026","77.53","79.89","79.89","77.01","725.41K","-1.64%"
"02/24/2026","78.82","80.97","80.98","78.60","287.50K","-1.66%"
"02/23/2026","80.15","79.39","81.00","79.18","172.31K","1.23%"
"02/22/2026","79.18","81.01","81.77","79.11","490.47K","-1.94%"
"02/19/2026","80.75","84.01","84.80","80.02","1.04M","-3.28%"
"02/18/2026","83.49","79.20","84.39","78.90","2.06M","5.67%"
"02/17/2026","79.01","79.00","79.30","78.45","133.92K","0.53%"
"02/16/2026","78.59","79.75","79.99","78.52","232.46K","-1.13%"
"02/15/2026","79.49","78.90","79.50","78.50","149.00K","1.24%"
"02/12/2026","78.52","78.42","79.00","78.00","146.67K","0.13%"
"02/11/2026","78.42","79.37","79.85","78.42","130.68K","-0.85%"
"02/10/2026","79.09","78.63","79.35","78.55","128.37K","0.80%"
"02/09/2026","78.46","79.99","79.99","78.00","332.18K","-0.70%"
"02/08/2026","79.01","80.10","81.00","79.01","476.23K","-1.10%"
"02/05/2026","79.89","80.87","80.97","79.01","220.18K","-1.22%"
"02/04/2026","80.88","80.46","81.44","79.80","431.01K","1.09%"
"02/03/2026","80.01","78.94","80.48","78.04","532.93K","2.58%"
"02/02/2026","78.00","78.00","78.95","77.50","283.79K","0.65%"
"02/01/2026","77.50","79.00","79.67","77.21","263.63K","-1.47%"
"01/28/2026","78.66","79.21","79.70","78.50","147.59K","0.08%"
