"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","11.920","12.170","12.270","11.880","3.96M","-1.41%"
"06/23/2026","12.090","12.400","12.690","11.990","4.09M","-1.47%"
"06/22/2026","12.270","12.910","12.970","12.230","4.82M","-4.59%"
"06/21/2026","12.860","13.270","13.490","12.710","6.19M","-1.53%"
"06/17/2026","13.060","13.730","14.050","13.060","12.19M","-4.39%"
"06/16/2026","13.660","13.030","13.990","12.850","18.28M","5.40%"
"06/15/2026","12.960","13.520","13.670","12.600","8.52M","-2.19%"
"06/14/2026","13.250","13.900","14.270","13.170","12.51M","-1.12%"
"06/11/2026","13.400","14.300","14.340","13.100","15.02M","-4.76%"
"06/10/2026","14.070","13.060","14.720","13.030","36.49M","8.73%"
"06/09/2026","12.940","13.630","14.160","12.930","24.86M","-4.15%"
"06/08/2026","13.500","11.210","13.520","11.150","42.25M","19.26%"
"06/07/2026","11.320","11.990","12.240","11.250","10.10M","-5.75%"
"06/04/2026","12.010","11.890","12.690","11.620","22.18M","1.01%"
"06/03/2026","11.890","11.340","13.100","11.270","38.71M","6.83%"
"06/02/2026","11.130","9.420","11.130","9.370","37.90M","19.94%"
"06/01/2026","9.280","8.320","9.280","8.320","11.26M","11.67%"
"05/25/2026","8.310","8.410","8.410","8.240","1.66M","-0.48%"
"05/24/2026","8.350","8.500","8.550","8.350","1.91M","0.97%"
"05/21/2026","8.270","8.300","8.490","8.230","2.85M","0.85%"
"05/20/2026","8.200","8.430","8.670","8.150","4.18M","-2.61%"
"05/19/2026","8.420","8.200","8.430","8.110","4.72M","2.93%"
"05/18/2026","8.180","8.300","8.320","8.100","2.90M","-0.73%"
"05/17/2026","8.240","8.370","8.460","8.230","2.70M","-1.55%"
"05/14/2026","8.370","8.470","8.540","8.270","3.84M","-0.71%"
"05/13/2026","8.430","8.270","8.430","8.210","4.10M","2.18%"
"05/12/2026","8.250","8.190","8.360","8.160","4.53M","1.10%"
"05/11/2026","8.160","7.920","8.250","7.920","6.84M","3.03%"
"05/10/2026","7.920","7.920","8.000","7.880","1.93M","1.02%"
"05/06/2026","7.840","7.930","8.000","7.800","3.10M","0.00%"
"05/05/2026","7.840","7.940","8.010","7.770","3.20M","-0.76%"
"05/04/2026","7.900","7.920","8.050","7.760","5.60M","0.38%"
"05/03/2026","7.870","7.600","7.870","7.580","3.41M","4.10%"
"04/30/2026","7.560","7.610","7.650","7.540","1.05M","-0.13%"
"04/29/2026","7.570","7.610","7.710","7.520","1.28M","-0.53%"
"04/28/2026","7.610","7.720","7.740","7.600","569.41K","-1.04%"
"04/27/2026","7.690","7.680","7.750","7.640","937.30K","0.26%"
"04/26/2026","7.670","7.750","7.770","7.640","1.18M","-0.26%"
"04/23/2026","7.690","7.700","7.800","7.660","1.86M","-0.13%"
"04/22/2026","7.700","7.800","7.870","7.680","2.92M","-0.39%"
"04/21/2026","7.730","7.420","7.770","7.380","4.20M","4.18%"
"04/20/2026","7.420","7.450","7.500","7.350","993.40K","-0.40%"
"04/19/2026","7.450","7.360","7.590","7.320","3.90M","1.78%"
"04/16/2026","7.320","7.290","7.420","7.290","1.78M","0.97%"
"04/15/2026","7.250","7.150","7.280","7.150","1.02M","1.54%"
"04/14/2026","7.140","7.100","7.170","7.100","432.78K","0.56%"
"04/12/2026","7.100","7.120","7.100","7.100","386.61K","0.00%"
"04/09/2026","7.100","7.120","7.130","7.080","386.61K","-0.28%"
"04/08/2026","7.120","7.090","7.170","7.070","504.92K","1.57%"
"04/07/2026","7.010","7.100","7.150","7.000","325.62K","-1.27%"
"04/06/2026","7.100","7.080","7.200","7.080","615.39K","0.42%"
"04/05/2026","7.070","7.020","7.120","6.980","504.81K","1.00%"
"04/02/2026","7.000","7.000","7.070","6.940","456.84K","0.00%"
"04/01/2026","7.000","6.950","7.070","6.950","768.67K","1.01%"
"03/31/2026","6.930","6.970","7.040","6.920","684.88K","-0.57%"
"03/30/2026","6.970","7.050","7.090","6.930","490.34K","-1.13%"
"03/29/2026","7.050","7.140","7.150","7.040","341.10K","-1.12%"
"03/26/2026","7.130","7.130","7.200","7.100","710.08K","0.14%"
"03/25/2026","7.120","7.170","7.220","7.110","972.70K","-0.56%"
"03/24/2026","7.160","7.110","7.260","7.100","915.17K","1.42%"
"03/18/2026","7.060","7.010","7.120","7.010","1.18M","0.71%"
"03/17/2026","7.010","6.900","7.010","6.900","311.68K","1.45%"
"03/16/2026","6.910","6.950","7.040","6.870","485.87K","-0.58%"
"03/15/2026","6.950","7.090","7.150","6.930","496.95K","-1.14%"
"03/12/2026","7.030","7.180","7.180","6.970","585.12K","-2.09%"
"03/11/2026","7.180","7.160","7.190","7.060","392.71K","0.98%"
"03/10/2026","7.110","6.970","7.130","6.970","552.51K","2.01%"
"03/09/2026","6.970","6.920","6.990","6.900","299.45K","0.72%"
"03/08/2026","6.920","6.880","7.050","6.860","736.16K","0.58%"
"03/05/2026","6.880","6.920","6.950","6.840","647.09K","0.44%"
"03/04/2026","6.850","6.690","6.910","6.660","735.93K","2.85%"
"03/03/2026","6.660","6.670","6.730","6.550","1.22M","-0.15%"
"03/02/2026","6.670","6.780","6.780","6.660","460.05K","0.15%"
"03/01/2026","6.660","6.740","6.740","6.320","928.76K","-3.48%"
"02/26/2026","6.900","6.900","6.970","6.800","537.53K","0.73%"
"02/25/2026","6.850","7.010","7.030","6.820","834.46K","-2.14%"
