"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","36.24","36.50","36.98","36.12","47.32K","-0.71%"
"06/23/2026","36.50","37.45","37.45","36.11","38.45K","-2.28%"
"06/22/2026","37.35","37.11","37.48","36.55","51.92K","0.65%"
"06/21/2026","37.11","37.50","37.60","36.70","53.97K","-1.07%"
"06/17/2026","37.51","37.04","37.60","36.60","73.75K","0.81%"
"06/16/2026","37.21","37.42","37.42","36.05","37.16K","-0.56%"
"06/15/2026","37.42","36.48","37.70","36.02","86.70K","2.63%"
"06/14/2026","36.46","35.83","36.90","35.31","70.85K","3.55%"
"06/11/2026","35.21","36.25","36.25","35.01","107.99K","-2.06%"
"06/10/2026","35.95","37.00","37.00","35.80","47.12K","-2.26%"
"06/09/2026","36.78","37.30","37.67","36.61","73.55K","-1.39%"
"06/08/2026","37.30","37.15","37.64","37.04","46.84K","-0.48%"
"06/07/2026","37.48","37.79","37.79","37.31","38.21K","-1.26%"
"06/04/2026","37.96","38.01","38.20","37.51","41.46K","-0.60%"
"06/03/2026","38.19","38.00","38.29","37.71","88.93K","0.53%"
"06/02/2026","37.99","38.25","38.25","37.60","144.61K","-0.16%"
"06/01/2026","38.05","37.70","38.17","37.32","188.11K","1.96%"
"05/25/2026","37.32","37.25","37.85","36.59","134.52K","0.27%"
"05/24/2026","37.22","37.87","38.30","37.11","170.78K","-1.61%"
"05/21/2026","37.83","37.50","38.11","37.05","148.92K","1.15%"
"05/20/2026","37.40","38.25","38.40","37.00","114.59K","-2.35%"
"05/19/2026","38.30","37.04","38.40","37.04","168.23K","3.23%"
"05/18/2026","37.10","37.68","38.13","37.10","254.58K","-2.08%"
"05/17/2026","37.89","36.49","38.48","36.00","476.53K","3.87%"
"05/14/2026","36.48","36.26","36.49","35.00","144.59K","0.63%"
"05/13/2026","36.25","34.92","36.25","34.73","562.83K","4.47%"
"05/12/2026","34.70","34.11","34.70","34.11","228.46K","1.73%"
"05/11/2026","34.11","34.00","34.42","33.94","150.57K","0.32%"
"05/10/2026","34.00","34.17","34.18","33.57","102.07K","1.34%"
"05/06/2026","33.55","33.85","34.46","33.50","268.13K","-0.53%"
"05/05/2026","33.73","33.95","33.95","33.46","105.45K","-0.53%"
"05/04/2026","33.91","33.09","34.50","33.09","492.54K","2.51%"
"05/03/2026","33.08","33.26","33.40","33.00","188.29K","-0.75%"
"04/30/2026","33.33","33.19","33.40","33.00","154.65K","0.45%"
"04/29/2026","33.18","33.07","33.20","32.98","124.70K","0.42%"
"04/28/2026","33.04","33.19","33.20","32.97","73.82K","-0.39%"
"04/27/2026","33.17","33.10","33.20","32.85","60.40K","0.30%"
"04/26/2026","33.07","33.17","33.28","32.85","123.85K","-0.24%"
"04/23/2026","33.15","33.00","33.15","30.00","133.38K","0.64%"
"04/22/2026","32.94","33.00","33.10","32.85","98.77K","-0.33%"
"04/21/2026","33.05","33.00","33.15","32.85","137.67K","-0.33%"
"04/20/2026","33.16","33.11","33.16","32.86","108.57K","0.30%"
"04/19/2026","33.06","33.06","33.28","32.87","152.20K","-0.06%"
"04/16/2026","33.08","33.00","33.10","32.88","255.37K","0.21%"
"04/15/2026","33.01","33.10","33.15","32.95","166.73K","-0.21%"
"04/14/2026","33.08","32.50","33.20","32.10","353.74K","-3.89%"
"04/12/2026","34.42","34.51","34.42","34.42","387.46K","0.00%"
"04/09/2026","34.42","34.60","34.81","34.08","387.46K","-0.26%"
"04/08/2026","34.51","33.95","34.60","33.90","311.09K","2.65%"
"04/07/2026","33.62","33.94","33.98","33.50","123.04K","-0.94%"
"04/06/2026","33.94","33.82","34.00","33.41","107.14K","0.41%"
"04/05/2026","33.80","33.49","33.83","33.32","47.16K","1.32%"
"04/02/2026","33.36","33.60","33.80","33.00","36.50K","-0.12%"
"04/01/2026","33.40","33.20","33.80","33.01","61.81K","0.69%"
"03/31/2026","33.17","33.20","33.38","32.75","87.81K","0.06%"
"03/30/2026","33.15","33.30","33.50","33.05","40.24K","-0.09%"
"03/29/2026","33.18","33.70","33.79","32.60","284.29K","-1.95%"
"03/26/2026","33.84","33.88","34.14","33.70","113.73K","0.21%"
"03/25/2026","33.77","34.15","34.15","33.75","57.97K","-0.68%"
"03/24/2026","34.00","34.31","34.48","33.70","264.37K","-0.41%"
"03/18/2026","34.14","33.53","34.34","33.53","54.25K","0.83%"
"03/17/2026","33.86","33.80","33.97","33.55","25.13K","0.68%"
"03/16/2026","33.63","33.20","33.97","33.19","46.79K","1.63%"
"03/15/2026","33.09","33.95","34.20","33.01","63.19K","-2.22%"
"03/12/2026","33.84","33.90","34.17","33.73","42.54K","-0.18%"
"03/11/2026","33.90","34.25","34.34","33.82","88.05K","-0.79%"
"03/10/2026","34.17","34.30","34.49","33.73","111.15K","0.62%"
"03/09/2026","33.96","34.19","34.30","33.55","36.17K","-0.67%"
"03/08/2026","34.19","34.66","34.89","33.73","199.02K","-1.36%"
"03/05/2026","34.66","34.19","34.88","34.02","47.24K","1.37%"
"03/04/2026","34.19","34.00","34.80","33.50","41.73K","-1.84%"
"03/03/2026","34.83","32.99","35.00","32.51","95.42K","5.26%"
"03/02/2026","33.09","32.45","33.24","32.43","56.54K","2.04%"
"03/01/2026","32.43","32.50","33.25","32.25","167.64K","-4.62%"
"02/26/2026","34.00","33.52","34.24","33.01","99.12K","1.28%"
"02/25/2026","33.57","34.94","34.94","33.50","52.51K","-3.92%"
"02/24/2026","34.94","34.90","34.95","34.36","134.78K","0.00%"
"02/23/2026","34.94","34.67","35.00","34.00","199.06K","0.78%"
"02/22/2026","34.67","34.17","35.25","32.80","177.62K","1.46%"
"02/19/2026","34.17","35.15","35.47","33.80","222.00K","-2.93%"
"02/18/2026","35.20","34.90","36.50","34.85","534.14K","1.00%"
"02/17/2026","34.85","34.50","35.00","34.40","212.21K","1.31%"
"02/16/2026","34.40","34.42","34.90","33.90","432.66K","-0.06%"
"02/15/2026","34.42","32.50","35.00","32.50","872.69K","5.91%"
"02/12/2026","32.50","32.24","32.58","32.00","321.76K","0.06%"
"02/11/2026","32.48","32.50","32.59","32.20","172.53K","-0.06%"
"02/10/2026","32.50","32.49","32.68","32.10","55.79K","0.25%"
"02/09/2026","32.42","32.61","32.70","32.30","130.16K","-0.40%"
"02/08/2026","32.55","32.38","32.55","32.18","91.73K","0.53%"
"02/05/2026","32.38","32.20","32.57","32.20","55.11K","0.12%"
"02/04/2026","32.34","32.48","32.62","32.13","87.89K","0.00%"
"02/03/2026","32.34","32.10","32.65","31.88","204.95K","1.00%"
"02/02/2026","32.02","32.09","32.09","31.71","179.13K","0.03%"
"02/01/2026","32.01","31.91","32.19","31.51","189.83K","0.47%"
"01/28/2026","31.86","31.95","32.25","31.50","207.83K","0.06%"
"01/27/2026","31.84","31.80","31.95","31.62","86.02K","0.19%"
"01/26/2026","31.78","31.70","31.93","31.30","189.32K","1.05%"
"01/25/2026","31.45","32.30","32.57","26.01","351.08K","-2.06%"
"01/22/2026","32.11","31.80","32.88","31.65","332.08K","1.29%"
"01/21/2026","31.70","31.90","32.00","31.64","70.94K","-0.72%"
"01/20/2026","31.93","31.97","32.24","31.76","128.60K","0.00%"
"01/19/2026","31.93","31.93","32.19","31.67","92.45K","0.03%"
"01/18/2026","31.92","32.97","32.98","31.50","33.87K","0.98%"
"01/15/2026","31.61","31.65","31.83","31.31","62.85K","0.35%"
"01/14/2026","31.50","31.90","32.00","31.27","86.59K","-1.81%"
"01/13/2026","32.08","32.23","32.36","31.80","89.41K","-0.47%"
"01/12/2026","32.23","32.50","32.68","32.00","124.31K","-0.28%"
"01/11/2026","32.32","31.94","32.60","31.29","204.40K","1.51%"
"01/08/2026","31.84","31.52","31.96","31.50","50.85K","0.41%"
"01/06/2026","31.71","31.33","31.89","31.20","96.64K","1.21%"
"01/05/2026","31.33","32.00","32.00","31.26","112.39K","-2.70%"
"01/04/2026","32.20","32.07","32.32","31.90","63.51K","0.41%"
