"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","19.00","18.81","19.06","18.72","2.51M","0.80%"
"06/23/2026","18.85","19.35","19.39","18.81","7.58M","-2.33%"
"06/22/2026","19.30","18.89","19.30","18.74","7.91M","2.12%"
"06/21/2026","18.90","18.91","18.92","18.76","3.62M","-0.05%"
"06/17/2026","18.91","18.89","19.02","18.66","9.19M","0.11%"
"06/16/2026","18.89","18.70","19.07","18.62","11.67M","0.80%"
"06/15/2026","18.74","18.54","18.90","18.51","29.81M","1.85%"
"06/14/2026","18.40","18.20","18.51","18.20","11.11M","3.37%"
"06/11/2026","17.80","18.05","18.20","17.71","16.02M","-1.66%"
"06/10/2026","18.10","18.69","18.76","18.01","19.92M","-3.26%"
"06/09/2026","18.71","18.53","18.79","18.53","11.06M","1.63%"
"06/08/2026","18.41","18.52","18.89","18.32","20.07M","-1.55%"
"06/07/2026","18.70","19.37","19.39","18.60","19.89M","-4.00%"
"06/04/2026","19.48","20.10","20.10","19.34","29.64M","-3.28%"
"06/03/2026","20.14","20.40","20.44","19.86","10.05M","-1.61%"
"06/02/2026","20.47","20.49","20.61","20.20","8.34M","-0.10%"
"06/01/2026","20.49","20.46","20.51","19.91","12.50M","0.20%"
"05/25/2026","20.45","19.94","20.45","19.77","15.65M","2.76%"
"05/24/2026","19.90","19.75","19.95","19.65","13.29M","1.84%"
"05/21/2026","19.54","19.37","19.58","19.10","5.68M","1.51%"
"05/20/2026","19.25","19.47","19.76","19.20","18.47M","-0.93%"
"05/19/2026","19.43","19.35","19.47","19.20","9.68M","0.83%"
"05/18/2026","19.27","19.70","19.77","19.03","23.53M","-2.03%"
"05/17/2026","19.67","20.27","20.44","19.65","13.25M","-2.91%"
"05/14/2026","20.26","20.55","20.74","20.10","8.25M","-1.32%"
"05/13/2026","20.53","20.92","21.00","20.46","9.82M","-1.68%"
"05/12/2026","20.88","21.10","21.16","20.67","7.25M","-0.95%"
"05/11/2026","21.08","21.31","21.64","20.92","8.21M","-0.80%"
"05/10/2026","21.25","20.90","21.66","20.75","23.55M","4.01%"
"05/06/2026","20.43","19.69","20.98","19.62","32.86M","4.45%"
"05/05/2026","19.56","19.39","19.74","19.11","6.07M","0.77%"
"05/04/2026","19.41","19.57","19.90","19.25","12.39M","-0.51%"
"05/03/2026","19.51","19.20","19.59","19.10","5.04M","2.31%"
"04/30/2026","19.07","19.82","19.90","19.00","17.28M","-3.69%"
"04/29/2026","19.80","20.00","20.05","19.75","6.11M","-0.95%"
"04/28/2026","19.99","20.26","20.30","19.96","8.20M","-1.19%"
"04/27/2026","20.23","19.92","20.27","19.73","8.52M","1.66%"
"04/26/2026","19.90","20.38","20.40","19.80","5.14M","-1.73%"
"04/23/2026","20.25","20.22","20.65","20.20","18.22M","0.15%"
"04/22/2026","20.22","19.95","20.79","19.91","21.46M","1.30%"
"04/21/2026","19.96","20.25","20.47","19.89","12.07M","-1.14%"
"04/20/2026","20.19","20.25","20.40","19.70","12.48M","-0.54%"
"04/19/2026","20.30","19.95","20.49","19.89","15.46M","2.11%"
"04/16/2026","19.88","19.50","20.25","19.45","13.99M","2.26%"
"04/15/2026","19.44","19.10","19.50","19.10","13.73M","1.78%"
"04/14/2026","19.10","18.60","19.10","18.60","13.40M","3.24%"
"04/12/2026","18.50","18.70","18.50","18.50","13.21M","0.00%"
"04/09/2026","18.50","18.71","18.75","18.38","13.21M","-1.07%"
"04/08/2026","18.70","18.32","18.73","18.28","37.52M","4.88%"
"04/07/2026","17.83","18.06","18.10","17.64","9.81M","-0.94%"
"04/06/2026","18.00","17.80","18.24","17.75","51.93M","1.69%"
"04/05/2026","17.70","17.64","17.89","17.56","7.33M","0.68%"
"04/02/2026","17.58","17.79","17.79","17.43","9.75M","-1.68%"
"04/01/2026","17.88","17.36","17.88","17.20","18.06M","4.56%"
"03/31/2026","17.10","16.83","17.25","16.83","7.91M","1.73%"
"03/30/2026","16.81","17.38","17.44","16.80","12.79M","-2.83%"
"03/29/2026","17.30","17.59","17.59","17.17","6.09M","-2.09%"
"03/26/2026","17.67","17.90","18.07","17.54","11.33M","-1.28%"
"03/25/2026","17.90","17.22","17.95","17.22","21.91M","4.19%"
"03/24/2026","17.18","17.61","17.70","17.16","11.15M","-2.39%"
"03/18/2026","17.60","17.50","17.71","17.38","11.30M","0.57%"
"03/17/2026","17.50","16.70","17.77","16.70","28.22M","4.79%"
