"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","4.32","4.21","4.32","4.08","643.92K","4.85%"
"06/23/2026","4.12","4.15","4.25","4.05","87.82K","0.49%"
"06/22/2026","4.10","4.07","4.40","4.05","169.47K","-3.76%"
"06/21/2026","4.26","4.47","4.47","4.25","338.32K","-4.70%"
"06/17/2026","4.47","4.70","4.82","4.47","454.11K","-4.89%"
"06/16/2026","4.70","4.71","4.94","4.68","483.57K","-0.21%"
"06/15/2026","4.71","4.76","5.00","4.54","648.39K","-1.26%"
"06/14/2026","4.77","4.50","4.77","4.36","940.24K","4.84%"
"06/11/2026","4.55","4.40","4.55","4.21","268.05K","4.84%"
"06/10/2026","4.34","4.28","4.45","4.03","712.01K","2.36%"
"06/09/2026","4.24","4.08","4.26","4.06","93.83K","4.43%"
"06/08/2026","4.06","3.91","4.11","3.86","743.79K","3.57%"
"06/07/2026","3.92","3.84","3.97","3.75","98.76K","2.08%"
"06/04/2026","3.84","3.74","3.95","3.63","387.22K","0.79%"
"06/03/2026","3.81","3.62","3.86","3.62","505.83K","3.53%"
"06/02/2026","3.68","3.70","3.71","3.54","215.57K","-0.27%"
"06/01/2026","3.69","3.55","3.71","3.39","588.14K","4.24%"
"05/25/2026","3.54","3.61","3.76","3.48","301.53K","-3.28%"
"05/24/2026","3.66","3.60","3.75","3.47","256.18K","1.67%"
"05/21/2026","3.60","3.61","3.82","3.47","571.60K","-1.37%"
"05/20/2026","3.65","3.50","3.74","3.40","823.93K","2.24%"
"05/19/2026","3.57","3.42","3.57","3.30","555.00K","5.00%"
"05/18/2026","3.40","3.25","3.40","3.20","726.56K","4.94%"
"05/17/2026","3.24","3.06","3.25","3.06","456.86K","4.52%"
"05/14/2026","3.10","3.24","3.24","3.06","232.49K","-0.64%"
"05/13/2026","3.12","3.23","3.34","3.10","285.24K","-2.80%"
"05/12/2026","3.21","3.14","3.22","3.14","387.53K","3.88%"
"05/11/2026","3.09","3.13","3.28","2.99","580.58K","-1.28%"
"05/10/2026","3.13","3.19","3.24","3.13","732.94K","-4.86%"
"05/06/2026","3.29","3.16","3.31","3.13","1.13M","4.11%"
"05/05/2026","3.16","3.14","3.16","3.00","884.06K","4.98%"
"05/04/2026","3.01","2.89","3.01","2.89","838.06K","4.88%"
"05/03/2026","2.87","2.80","2.87","2.77","471.67K","4.74%"
"04/30/2026","2.74","2.63","2.74","2.62","624.82K","4.98%"
"04/29/2026","2.61","2.67","2.68","2.60","291.10K","0.38%"
"04/28/2026","2.60","2.68","2.68","2.60","130.72K","-1.89%"
"04/27/2026","2.65","2.70","2.70","2.63","60.51K","-1.12%"
"04/26/2026","2.68","2.65","2.70","2.61","106.33K","0.00%"
"04/23/2026","2.68","2.60","2.69","2.57","341.24K","3.47%"
"04/22/2026","2.59","2.58","2.64","2.55","215.37K","0.39%"
"04/21/2026","2.58","2.60","2.66","2.58","310.48K","-1.53%"
"04/20/2026","2.62","2.66","2.68","2.58","178.49K","-2.60%"
"04/19/2026","2.69","2.67","2.70","2.62","97.72K","3.86%"
"04/16/2026","2.59","2.62","2.74","2.52","406.71K","-0.77%"
"04/15/2026","2.61","2.70","2.70","2.60","166.80K","-1.88%"
"04/14/2026","2.66","2.65","2.70","2.58","144.46K","-1.48%"
"04/12/2026","2.70","2.65","2.70","2.70","193.21K","0.00%"
"04/09/2026","2.70","2.67","2.76","2.62","193.21K","1.89%"
"04/08/2026","2.65","2.68","2.68","2.61","117.51K","-1.85%"
"04/07/2026","2.70","2.67","2.70","2.58","394.04K","4.65%"
"04/06/2026","2.58","2.60","2.70","2.46","764.98K","0.00%"
"04/05/2026","2.58","2.75","2.80","2.56","351.96K","-4.09%"
"04/02/2026","2.69","2.66","2.82","2.66","185.35K","-3.24%"
"04/01/2026","2.78","2.70","2.86","2.69","784.16K","-1.77%"
"03/31/2026","2.83","3.08","3.08","2.80","1.50M","-3.74%"
"03/30/2026","2.94","2.98","3.01","2.91","1.74M","2.44%"
"03/29/2026","2.87","2.72","2.87","2.72","1.08M","4.74%"
"03/26/2026","2.74","2.69","2.78","2.61","680.90K","3.40%"
"03/25/2026","2.65","2.68","2.68","2.58","928.33K","-2.21%"
"03/24/2026","2.71","2.61","2.71","2.58","512.74K","4.63%"
"03/18/2026","2.59","2.68","2.69","2.48","1.71M","0.78%"
"03/17/2026","2.57","2.57","2.57","2.57","204.88K","4.90%"
"03/16/2026","2.45","2.45","2.45","2.45","123.71K","4.70%"
"03/15/2026","2.34","2.34","2.34","2.24","921.55K","4.93%"
"03/12/2026","2.23","2.12","2.23","2.10","549.82K","4.69%"
"03/11/2026","2.13","2.24","2.24","2.10","450.21K","-0.47%"
"03/10/2026","2.14","2.04","2.14","1.97","965.70K","4.90%"
"03/09/2026","2.04","2.00","2.07","1.99","489.27K","3.03%"
"03/08/2026","1.98","1.97","1.99","1.93","461.36K","4.21%"
"03/05/2026","1.90","1.84","1.90","1.81","247.74K","4.97%"
"03/04/2026","1.81","1.83","1.85","1.77","181.01K","0.56%"
"03/03/2026","1.80","1.83","1.83","1.79","120.80K","1.12%"
"03/02/2026","1.78","1.80","1.86","1.74","72.00K","0.00%"
"03/01/2026","1.78","1.79","1.84","1.78","262.80K","-4.81%"
"02/26/2026","1.87","1.94","1.94","1.86","309.78K","-4.10%"
"02/25/2026","1.95","2.02","2.04","1.94","600.15K","-4.41%"
"02/24/2026","2.04","2.09","2.14","2.02","224.14K","-2.39%"
"02/23/2026","2.09","2.08","2.20","2.00","981.60K","-0.48%"
"02/22/2026","2.10","2.16","2.24","2.09","412.11K","-2.33%"
"02/19/2026","2.15","2.05","2.15","1.95","1.36M","4.88%"
"02/18/2026","2.05","2.11","2.14","2.04","500.61K","-2.84%"
"02/17/2026","2.11","2.05","2.15","2.02","641.94K","2.93%"
"02/16/2026","2.05","2.18","2.19","2.05","1.58M","-4.65%"
"02/15/2026","2.15","2.17","2.21","2.14","94.28K","-1.83%"
"02/12/2026","2.19","2.22","2.22","2.16","3.92K","0.00%"
"02/11/2026","2.19","2.16","2.22","2.16","9.29K","0.00%"
"02/10/2026","2.19","2.16","2.25","2.14","166.05K","0.00%"
"02/09/2026","2.19","2.20","2.20","2.15","100.33K","-0.90%"
"02/08/2026","2.21","2.19","2.23","2.12","98.17K","3.76%"
"02/05/2026","2.13","2.22","2.22","2.11","157.52K","-4.05%"
"02/04/2026","2.22","2.24","2.24","2.17","31.49K","0.00%"
"02/03/2026","2.22","2.25","2.25","2.17","30.69K","0.00%"
"02/02/2026","2.22","2.15","2.25","2.11","8.56K","0.00%"
"02/01/2026","2.22","2.22","2.25","2.14","10.21K","0.00%"
"01/28/2026","2.22","2.22","2.30","2.22","12.16K","0.00%"
"01/27/2026","2.22","2.23","2.30","2.21","95.84K","-4.31%"
"01/26/2026","2.32","2.21","2.32","2.21","40.93K","0.00%"
"01/25/2026","2.32","2.33","2.32","2.32","70.12K","0.00%"
"01/22/2026","2.32","2.33","2.36","2.26","70.12K","1.31%"
"01/21/2026","2.29","2.35","2.35","2.24","23.11K","0.00%"
"01/20/2026","2.29","2.40","2.40","2.29","514.03K","-4.98%"
"01/19/2026","2.41","2.33","2.41","2.27","73.63K","3.43%"
"01/18/2026","2.33","2.22","2.34","2.22","108.37K","4.48%"
"01/15/2026","2.23","2.28","2.37","2.22","99.29K","-4.29%"
"01/14/2026","2.33","2.42","2.43","2.28","81.79K","-2.92%"
"01/13/2026","2.40","2.37","2.45","2.28","99.54K","2.13%"
"01/12/2026","2.35","2.24","2.37","2.24","158.46K","3.98%"
"01/11/2026","2.26","2.25","2.26","2.24","83.40K","0.00%"
"01/08/2026","2.26","2.26","2.34","2.24","16.04K","0.00%"
"01/06/2026","2.26","2.35","2.36","2.24","14.28K","0.00%"
"01/05/2026","2.26","2.30","2.36","2.20","73.39K","-1.74%"
"01/04/2026","2.30","2.30","2.37","2.29","22.33K","0.00%"
