"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","44.42","44.79","46.16","42.93","715.91K","0.59%"
"06/23/2026","44.16","42.99","47.00","42.79","1.29M","3.32%"
"06/22/2026","42.74","42.50","43.50","41.71","174.27K","2.13%"
"06/21/2026","41.85","41.99","43.00","41.10","67.17K","2.50%"
"06/17/2026","40.83","41.42","41.79","40.53","44.03K","-1.38%"
"06/16/2026","41.40","41.55","42.49","41.13","50.62K","0.12%"
"06/15/2026","41.35","40.50","41.99","40.50","80.39K","2.22%"
"06/14/2026","40.45","40.01","41.40","40.00","21.68K","2.66%"
"06/11/2026","39.40","40.00","40.00","39.00","30.37K","-1.52%"
"06/10/2026","40.01","42.00","42.23","35.15","79.09K","-4.19%"
"06/09/2026","41.76","41.90","42.02","41.56","34.56K","0.38%"
"06/08/2026","41.60","41.80","42.00","41.45","51.56K","-0.95%"
"06/07/2026","42.00","42.19","42.50","41.90","49.14K","-0.50%"
"06/04/2026","42.21","42.65","43.45","42.02","137.36K","-0.40%"
"06/03/2026","42.38","41.75","43.48","40.61","220.60K","2.96%"
"06/02/2026","41.16","41.09","42.00","41.00","45.03K","0.78%"
"06/01/2026","40.84","40.38","41.47","40.00","102.39K","2.10%"
"05/25/2026","40.00","39.52","41.38","39.51","124.17K","2.01%"
"05/24/2026","39.21","40.00","41.99","39.15","83.59K","-0.66%"
"05/21/2026","39.47","41.01","41.01","39.10","49.49K","-3.40%"
"05/20/2026","40.86","41.99","42.25","40.60","47.89K","-2.08%"
"05/19/2026","41.73","41.50","41.95","41.05","78.59K","1.56%"
"05/18/2026","41.09","42.51","42.70","41.04","86.31K","-3.68%"
"05/17/2026","42.66","43.11","43.95","42.50","94.56K","-1.52%"
"05/14/2026","43.32","43.97","44.50","43.00","229.40K","0.00%"
"05/13/2026","43.32","42.63","43.96","42.56","302.91K","2.15%"
"05/12/2026","42.41","42.90","42.95","42.13","139.43K","-0.31%"
"05/11/2026","42.54","42.16","42.95","41.93","285.13K","1.45%"
"05/10/2026","41.93","42.47","42.47","41.77","85.44K","0.36%"
"05/06/2026","41.78","41.24","42.75","41.00","329.37K","2.28%"
"05/05/2026","40.85","41.05","41.70","40.66","101.25K","-0.22%"
"05/04/2026","40.94","41.12","41.97","40.86","165.42K","-0.29%"
"05/03/2026","41.06","40.52","41.45","40.34","100.57K","2.11%"
"04/30/2026","40.21","40.74","41.15","40.16","83.94K","-1.30%"
