"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","1.710","1.700","1.730","1.660","109.79K","0.00%"
"06/23/2026","1.710","1.730","1.760","1.690","262.45K","-3.39%"
"06/22/2026","1.770","1.740","1.770","1.700","124.67K","0.00%"
"06/21/2026","1.770","1.760","1.770","1.740","112.75K","0.00%"
"06/17/2026","1.770","1.750","1.790","1.730","288.96K","-1.12%"
"06/16/2026","1.790","1.840","1.840","1.740","310.90K","0.56%"
"06/15/2026","1.780","1.750","1.780","1.730","469.52K","4.71%"
"06/14/2026","1.700","1.680","1.750","1.680","104.83K","0.00%"
"06/11/2026","1.700","1.700","1.730","1.680","209.14K","-1.73%"
"06/10/2026","1.730","1.740","1.760","1.700","176.65K","-0.57%"
"06/09/2026","1.740","1.740","1.770","1.730","245.98K","-2.25%"
"06/08/2026","1.780","1.760","1.770","1.730","154.32K","0.00%"
"06/07/2026","1.780","1.790","1.840","1.720","178.61K","-1.11%"
"06/04/2026","1.800","1.760","1.840","1.750","332.44K","1.69%"
"06/03/2026","1.770","1.700","1.770","1.690","413.95K","4.73%"
"06/02/2026","1.690","1.720","1.760","1.690","445.63K","-3.98%"
"06/01/2026","1.760","1.700","1.770","1.700","77.20K","0.00%"
"05/25/2026","1.760","1.780","1.800","1.730","80.06K","0.00%"
"05/24/2026","1.760","1.780","1.800","1.740","163.14K","0.00%"
"05/21/2026","1.760","1.710","1.780","1.680","301.29K","2.33%"
"05/20/2026","1.720","1.700","1.750","1.700","197.22K","1.18%"
"05/19/2026","1.700","1.710","1.730","1.690","200.18K","0.00%"
"05/18/2026","1.700","1.720","1.740","1.700","224.60K","-1.16%"
"05/17/2026","1.720","1.730","1.740","1.700","243.19K","0.58%"
"05/14/2026","1.710","1.720","1.740","1.690","273.13K","0.00%"
"05/13/2026","1.710","1.710","1.720","1.690","163.75K","0.00%"
"05/12/2026","1.710","1.700","1.720","1.670","60.54K","0.00%"
"05/11/2026","1.710","1.710","1.740","1.680","262.52K","1.18%"
"05/10/2026","1.690","1.720","1.770","1.690","518.31K","-2.31%"
"05/06/2026","1.730","1.720","1.750","1.720","125.21K","0.00%"
"05/05/2026","1.730","1.730","1.770","1.710","266.36K","-1.70%"
"05/04/2026","1.760","1.780","1.780","1.720","112.88K","0.00%"
"05/03/2026","1.760","1.800","1.800","1.710","98.67K","0.00%"
"04/30/2026","1.760","1.780","1.800","1.710","242.28K","0.00%"
"04/29/2026","1.760","1.760","1.800","1.760","45.81K","0.00%"
"04/28/2026","1.760","1.770","1.810","1.760","126.19K","0.00%"
"04/27/2026","1.760","1.770","1.820","1.770","85.26K","0.00%"
"04/26/2026","1.760","1.760","1.820","1.760","65.83K","0.00%"
"04/23/2026","1.760","1.740","1.840","1.730","114.11K","0.00%"
"04/22/2026","1.760","1.810","1.820","1.720","224.99K","-2.22%"
"04/21/2026","1.800","1.810","1.850","1.780","311.55K","-1.64%"
"04/20/2026","1.830","1.820","1.850","1.810","150.24K","0.00%"
"04/19/2026","1.830","1.840","1.850","1.810","351.84K","0.00%"
"04/16/2026","1.830","1.820","1.860","1.760","147.11K","0.00%"
"04/15/2026","1.830","1.820","1.870","1.800","270.28K","-1.61%"
"04/14/2026","1.860","1.820","1.910","1.810","277.31K","2.20%"
"04/12/2026","1.820","1.750","1.820","1.820","304.38K","0.00%"
"04/09/2026","1.820","1.750","1.830","1.720","304.38K","4.00%"
"04/08/2026","1.750","1.830","1.830","1.740","208.84K","-3.31%"
"04/07/2026","1.810","1.810","1.840","1.770","334.61K","1.69%"
"04/06/2026","1.780","1.740","1.810","1.700","459.12K","2.89%"
"04/05/2026","1.730","1.760","1.790","1.700","366.82K","-2.26%"
"04/02/2026","1.770","1.790","1.880","1.760","441.62K","-4.32%"
"04/01/2026","1.850","1.920","1.930","1.850","490.85K","-4.64%"
"03/31/2026","1.940","1.930","1.990","1.880","591.27K","2.11%"
"03/30/2026","1.900","1.870","1.900","1.840","1.03M","4.97%"
"03/29/2026","1.810","1.810","1.810","1.810","282.53K","4.62%"
"03/26/2026","1.730","1.730","1.730","1.730","394.50K","4.85%"
"03/25/2026","1.650","1.640","1.660","1.580","263.58K","3.77%"
"03/24/2026","1.590","1.600","1.640","1.570","265.37K","-1.24%"
"03/18/2026","1.610","1.630","1.660","1.600","219.94K","-1.83%"
"03/17/2026","1.640","1.610","1.670","1.610","62.69K","0.00%"
"03/16/2026","1.640","1.640","1.720","1.560","163.21K","0.00%"
"03/15/2026","1.640","1.670","1.670","1.640","339.51K","-4.65%"
"03/12/2026","1.720","1.680","1.680","1.650","57.09K","0.00%"
"03/11/2026","1.720","1.660","1.710","1.640","155.52K","0.00%"
"03/10/2026","1.720","1.640","1.720","1.640","105.92K","0.00%"
"03/09/2026","1.720","1.640","1.660","1.640","88.10K","0.00%"
"03/08/2026","1.720","1.640","1.660","1.640","83.20K","0.00%"
"03/05/2026","1.720","1.640","1.640","1.640","41.66K","0.00%"
"03/04/2026","1.720","1.640","1.660","1.640","28.81K","0.00%"
"03/03/2026","1.720","1.660","1.660","1.640","13.08K","0.00%"
"03/02/2026","1.720","1.640","1.660","1.640","134.56K","0.00%"
"03/01/2026","1.720","1.640","1.640","1.640","2.55K","0.00%"
"02/26/2026","1.720","1.650","1.670","1.640","102.12K","0.00%"
"02/25/2026","1.720","1.670","1.670","1.640","60.14K","0.00%"
"02/24/2026","1.720","1.660","1.680","1.640","114.92K","0.00%"
"02/23/2026","1.720","1.640","1.700","1.640","47.24K","0.00%"
"02/22/2026","1.720","1.670","1.700","1.640","120.64K","0.00%"
"02/19/2026","1.720","1.670","1.700","1.670","37.73K","0.00%"
"02/18/2026","1.720","1.670","1.690","1.670","78.09K","0.00%"
"02/17/2026","1.720","1.690","1.690","1.670","12.74K","0.00%"
"02/16/2026","1.720","1.700","1.710","1.670","173.20K","0.00%"
"02/15/2026","1.720","1.670","1.710","1.670","57.17K","0.00%"
"02/12/2026","1.720","1.700","1.710","1.660","172.31K","0.00%"
"02/11/2026","1.720","1.680","1.710","1.660","72.62K","0.00%"
