"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","1.100","1.100","1.130","1.090","14.05M","-0.90%"
"06/23/2026","1.110","1.130","1.140","1.100","10.36M","-2.63%"
"06/22/2026","1.140","1.160","1.160","1.100","11.63M","0.00%"
"06/21/2026","1.140","1.160","1.180","1.130","12.38M","-1.72%"
"06/17/2026","1.160","1.190","1.200","1.160","25.37M","-2.52%"
"06/16/2026","1.190","1.130","1.220","1.130","52.69M","5.31%"
"06/15/2026","1.130","1.140","1.180","1.110","50.74M","-0.88%"
"06/14/2026","1.140","1.040","1.190","1.020","58.56M","11.76%"
"06/11/2026","1.020","0.995","1.020","0.993","14.00M","2.00%"
"06/10/2026","1.000","1.025","1.053","0.990","27.52M","-2.72%"
"06/09/2026","1.028","0.998","1.055","0.990","58.68M","3.63%"
"06/08/2026","0.992","0.925","1.030","0.917","70.51M","6.90%"
"06/07/2026","0.928","0.922","0.947","0.922","24.44M","0.87%"
"06/04/2026","0.920","0.944","0.944","0.911","17.38M","-1.08%"
"06/03/2026","0.930","0.944","0.956","0.923","26.91M","-1.06%"
"06/02/2026","0.940","0.880","0.969","0.876","85.41M","7.06%"
"06/01/2026","0.878","0.866","0.889","0.863","15.53M","1.97%"
"05/25/2026","0.861","0.843","0.875","0.838","36.35M","2.87%"
"05/24/2026","0.837","0.845","0.850","0.836","4.39M","-0.48%"
"05/21/2026","0.841","0.858","0.858","0.837","3.32M","-2.10%"
"05/20/2026","0.859","0.843","0.859","0.840","4.64M","2.02%"
"05/19/2026","0.842","0.859","0.860","0.840","5.87M","-1.64%"
"05/18/2026","0.856","0.848","0.859","0.801","12.18M","1.42%"
"05/17/2026","0.844","0.855","0.862","0.844","4.41M","-1.75%"
"05/14/2026","0.859","0.869","0.869","0.854","10.53M","-0.69%"
"05/13/2026","0.865","0.866","0.874","0.860","5.78M","0.12%"
"05/12/2026","0.864","0.884","0.886","0.864","12.00M","-1.82%"
"05/11/2026","0.880","0.865","0.900","0.857","28.37M","2.33%"
"05/10/2026","0.860","0.865","0.871","0.855","20.07M","0.00%"
"05/06/2026","0.860","0.860","0.862","0.850","6.23M","0.58%"
"05/05/2026","0.855","0.860","0.867","0.853","4.08M","-0.58%"
"05/04/2026","0.860","0.864","0.873","0.859","13.17M","0.00%"
"05/03/2026","0.860","0.862","0.869","0.857","5.19M","0.00%"
"04/30/2026","0.860","0.870","0.879","0.858","10.35M","-1.15%"
"04/29/2026","0.870","0.857","0.882","0.852","8.41M","1.52%"
"04/28/2026","0.857","0.860","0.865","0.849","8.26M","-0.35%"
"04/27/2026","0.860","0.855","0.869","0.855","4.53M","0.58%"
"04/26/2026","0.855","0.873","0.873","0.854","12.54M","-0.93%"
"04/23/2026","0.863","0.876","0.879","0.862","9.45M","-1.48%"
"04/22/2026","0.876","0.893","0.893","0.872","5.37M","-1.57%"
"04/21/2026","0.890","0.885","0.898","0.873","15.85M","1.14%"
"04/20/2026","0.880","0.868","0.881","0.859","14.29M","1.38%"
"04/19/2026","0.868","0.889","0.889","0.861","11.71M","-1.25%"
"04/16/2026","0.879","0.900","0.900","0.873","12.40M","-1.79%"
"04/15/2026","0.895","0.904","0.910","0.889","12.08M","-0.22%"
"04/14/2026","0.897","0.908","0.914","0.896","14.57M","-0.77%"
"04/12/2026","0.904","0.900","0.904","0.904","18.66M","0.00%"
"04/09/2026","0.904","0.909","0.914","0.897","18.66M","0.44%"
"04/08/2026","0.900","0.915","0.919","0.898","29.08M","-1.10%"
"04/07/2026","0.910","0.880","0.919","0.878","49.89M","4.00%"
"04/06/2026","0.875","0.863","0.893","0.860","28.67M","1.63%"
"04/05/2026","0.861","0.878","0.885","0.860","14.95M","-1.26%"
"04/02/2026","0.872","0.867","0.888","0.859","36.15M","1.75%"
"04/01/2026","0.857","0.833","0.873","0.825","57.79M","4.26%"
"03/31/2026","0.822","0.820","0.840","0.809","32.23M","0.24%"
"03/30/2026","0.820","0.832","0.837","0.804","29.25M","-0.24%"
"03/29/2026","0.822","0.770","0.839","0.770","53.60M","6.75%"
"03/26/2026","0.770","0.755","0.775","0.746","21.38M","2.80%"
"03/25/2026","0.749","0.741","0.761","0.740","17.70M","1.22%"
"03/24/2026","0.740","0.734","0.745","0.727","12.91M","3.06%"
"03/18/2026","0.718","0.720","0.720","0.710","6.30M","0.42%"
"03/17/2026","0.715","0.728","0.730","0.713","4.23M","0.56%"
"03/16/2026","0.711","0.712","0.780","0.700","7.50M","0.00%"
"03/15/2026","0.711","0.725","0.732","0.710","9.28M","-1.80%"
"03/12/2026","0.724","0.737","0.744","0.724","6.84M","-1.76%"
"03/11/2026","0.737","0.730","0.743","0.700","24.20M","1.10%"
"03/10/2026","0.729","0.735","0.753","0.727","8.54M","-0.27%"
"03/09/2026","0.731","0.736","0.744","0.730","5.29M","-0.54%"
"03/08/2026","0.735","0.757","0.760","0.730","9.75M","-2.00%"
"03/05/2026","0.750","0.745","0.760","0.742","5.29M","0.67%"
"03/04/2026","0.745","0.730","0.755","0.730","11.11M","1.78%"
"03/03/2026","0.732","0.735","0.742","0.720","9.61M","0.69%"
"03/02/2026","0.727","0.724","0.743","0.710","5.24M","0.97%"
"03/01/2026","0.720","0.700","0.734","0.690","9.61M","-2.70%"
