"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.03","0.03","0.03","0.03","62.64K","0.00%"
"06/23/2026","0.03","0.03","0.03","0.03","30.00K","0.00%"
"06/22/2026","0.03","0.03","0.03","0.03","1.98K","0.00%"
"06/21/2026","0.03","0.03","0.03","0.03","","0.00%"
"06/17/2026","0.03","0.03","0.03","0.03","120.30K","0.00%"
"06/16/2026","0.03","0.03","0.03","0.03","55.00K","0.00%"
"06/15/2026","0.03","0.03","0.03","0.03","66.86K","0.00%"
"06/14/2026","0.03","0.03","0.03","0.03","","0.00%"
"06/11/2026","0.03","0.03","0.03","0.03","14.03K","0.00%"
"06/10/2026","0.03","0.03","0.03","0.03","133.00K","0.00%"
"06/09/2026","0.03","0.03","0.03","0.03","","0.00%"
"06/08/2026","0.03","0.03","0.03","0.03","27.28K","0.00%"
"06/07/2026","0.03","0.03","0.03","0.03","343.09K","0.00%"
"06/04/2026","0.04","0.03","0.03","0.03","0.70K","0.00%"
"06/03/2026","0.04","0.03","0.03","0.03","2.60K","0.00%"
"06/02/2026","0.04","0.03","0.03","0.03","125.69K","0.00%"
"06/01/2026","0.04","0.03","0.03","0.03","12.30K","0.00%"
"05/25/2026","0.04","0.03","0.03","0.03","25.88K","0.00%"
"05/24/2026","0.04","0.03","0.04","0.03","0.62K","0.00%"
"05/21/2026","0.04","0.03","0.03","0.03","15.61K","0.00%"
"05/20/2026","0.04","0.03","0.03","0.03","43.90K","0.00%"
"05/19/2026","0.04","0.03","0.03","0.03","6.64K","0.00%"
"05/18/2026","0.04","0.03","0.03","0.03","11.49K","0.00%"
"05/17/2026","0.04","0.04","0.04","0.03","115.01K","0.00%"
"05/14/2026","0.04","0.03","0.03","0.03","10.80K","0.00%"
"05/13/2026","0.04","0.04","0.04","0.04","0.21K","0.00%"
"05/12/2026","0.04","0.03","0.04","0.03","195.52K","0.00%"
"05/11/2026","0.03","0.03","0.03","0.03","126.76K","0.00%"
"05/10/2026","0.03","0.03","0.03","0.03","35.88K","0.00%"
