"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","0.425","0.424","0.428","0.419","10.52M","1.19%"
"06/23/2026","0.420","0.421","0.434","0.417","20.36M","0.72%"
"06/22/2026","0.417","0.423","0.427","0.416","5.46M","-0.95%"
"06/21/2026","0.421","0.425","0.429","0.420","14.85M","-0.24%"
"06/17/2026","0.422","0.417","0.423","0.416","12.89M","1.93%"
"06/16/2026","0.414","0.410","0.418","0.407","14.98M","1.72%"
"06/15/2026","0.407","0.412","0.414","0.406","13.57M","-0.25%"
"06/14/2026","0.408","0.410","0.414","0.406","9.15M","2.26%"
"06/11/2026","0.399","0.411","0.413","0.397","22.90M","-2.68%"
"06/10/2026","0.410","0.433","0.440","0.410","34.92M","-4.43%"
"06/09/2026","0.429","0.429","0.435","0.429","27.91M","0.94%"
"06/08/2026","0.425","0.433","0.433","0.424","20.14M","-1.85%"
"06/07/2026","0.433","0.435","0.454","0.431","55.47M","0.46%"
"06/04/2026","0.431","0.420","0.443","0.418","72.25M","3.86%"
"06/03/2026","0.415","0.413","0.427","0.410","25.66M","1.22%"
"06/02/2026","0.410","0.410","0.415","0.410","8.51M","0.24%"
"06/01/2026","0.409","0.400","0.410","0.397","7.09M","3.28%"
"05/25/2026","0.396","0.397","0.400","0.394","4.16M","0.25%"
"05/24/2026","0.395","0.399","0.403","0.395","3.50M","-0.25%"
"05/21/2026","0.396","0.396","0.403","0.389","9.26M","-1.00%"
"05/20/2026","0.400","0.410","0.410","0.396","9.33M","-1.96%"
"05/19/2026","0.408","0.408","0.414","0.408","4.21M","-0.24%"
"05/18/2026","0.409","0.410","0.413","0.408","5.77M","-0.49%"
"05/17/2026","0.411","0.414","0.417","0.410","10.37M","-0.48%"
"05/14/2026","0.413","0.408","0.417","0.408","10.49M","1.23%"
"05/13/2026","0.408","0.413","0.415","0.407","11.44M","-0.73%"
"05/12/2026","0.411","0.414","0.414","0.410","6.56M","0.00%"
"05/11/2026","0.411","0.409","0.415","0.407","8.26M","0.49%"
"05/10/2026","0.409","0.413","0.415","0.400","28.10M","-0.97%"
"05/06/2026","0.413","0.416","0.419","0.412","6.92M","-0.48%"
"05/05/2026","0.415","0.420","0.422","0.415","7.55M","-1.19%"
"05/04/2026","0.420","0.420","0.426","0.417","13.33M","0.48%"
"05/03/2026","0.418","0.423","0.423","0.418","9.83M","-0.95%"
"04/30/2026","0.422","0.428","0.433","0.417","23.93M","-1.40%"
"04/29/2026","0.428","0.423","0.437","0.423","30.73M","1.42%"
"04/28/2026","0.422","0.417","0.424","0.417","22.70M","0.48%"
"04/27/2026","0.420","0.430","0.430","0.416","35.49M","-2.10%"
"04/26/2026","0.429","0.392","0.429","0.392","126.99M","10.28%"
"04/23/2026","0.389","0.385","0.390","0.383","17.85M","1.57%"
"04/22/2026","0.383","0.385","0.389","0.380","10.38M","0.79%"
"04/21/2026","0.380","0.377","0.390","0.377","15.58M","1.60%"
"04/20/2026","0.374","0.382","0.389","0.373","16.92M","-1.84%"
"04/19/2026","0.381","0.387","0.389","0.380","15.84M","-0.78%"
"04/16/2026","0.384","0.371","0.389","0.371","40.14M","3.50%"
"04/15/2026","0.371","0.367","0.372","0.367","6.14M","1.09%"
"04/14/2026","0.367","0.365","0.369","0.360","4.65M","0.82%"
"04/12/2026","0.364","0.364","0.364","0.364","2.27M","0.00%"
"04/09/2026","0.364","0.365","0.368","0.362","2.27M","0.00%"
"04/08/2026","0.364","0.365","0.368","0.362","4.51M","0.83%"
"04/07/2026","0.361","0.360","0.362","0.358","6.01M","0.84%"
"04/06/2026","0.358","0.362","0.363","0.357","4.24M","-0.83%"
"04/05/2026","0.361","0.358","0.366","0.357","3.20M","1.12%"
"04/02/2026","0.357","0.363","0.363","0.355","7.45M","-1.38%"
"04/01/2026","0.362","0.370","0.378","0.351","7.91M","-1.45%"
"03/31/2026","0.367","0.366","0.370","0.363","8.13M","1.29%"
"03/30/2026","0.363","0.368","0.370","0.361","8.03M","-1.09%"
"03/29/2026","0.367","0.370","0.372","0.363","8.28M","-0.72%"
"03/26/2026","0.369","0.373","0.375","0.368","9.77M","-0.54%"
"03/25/2026","0.371","0.373","0.373","0.368","10.15M","0.54%"
"03/24/2026","0.369","0.379","0.383","0.369","33.14M","-2.46%"
"03/18/2026","0.379","0.368","0.379","0.367","17.56M","3.65%"
"03/17/2026","0.365","0.363","0.377","0.360","40.30M","3.20%"
"03/16/2026","0.354","0.361","0.368","0.353","7.28M","-2.03%"
"03/15/2026","0.361","0.367","0.367","0.361","8.36M","-1.45%"
"03/12/2026","0.367","0.361","0.367","0.358","10.69M","2.42%"
"03/11/2026","0.358","0.359","0.361","0.357","2.16M","0.00%"
"03/10/2026","0.358","0.353","0.360","0.352","7.81M","1.32%"
"03/09/2026","0.353","0.352","0.357","0.348","4.41M","0.00%"
"03/08/2026","0.353","0.347","0.355","0.347","7.22M","2.71%"
"03/05/2026","0.344","0.336","0.346","0.336","10.43M","2.99%"
"03/04/2026","0.334","0.328","0.336","0.323","3.84M","2.45%"
"03/03/2026","0.326","0.333","0.337","0.319","5.70M","-2.20%"
"03/02/2026","0.333","0.324","0.333","0.321","5.98M","3.95%"
"03/01/2026","0.321","0.320","0.325","0.303","7.19M","-4.56%"
"02/26/2026","0.336","0.339","0.341","0.333","8.52M","0.20%"
"02/25/2026","0.335","0.359","0.359","0.335","18.62M","-5.81%"
"02/24/2026","0.356","0.356","0.360","0.352","16.22M","0.56%"
"02/23/2026","0.354","0.351","0.358","0.351","3.98M","0.76%"
"02/22/2026","0.351","0.360","0.360","0.347","11.92M","-2.23%"
"02/19/2026","0.359","0.370","0.370","0.359","6.90M","-2.36%"
"02/18/2026","0.368","0.363","0.370","0.362","5.27M","1.66%"
"02/17/2026","0.362","0.366","0.367","0.361","9.90M","-0.55%"
"02/16/2026","0.364","0.370","0.373","0.363","14.44M","-1.27%"
"02/15/2026","0.369","0.367","0.373","0.367","5.03M","0.55%"
"02/12/2026","0.367","0.370","0.373","0.365","12.97M","-0.90%"
"02/11/2026","0.370","0.379","0.380","0.370","13.80M","-2.12%"
"02/10/2026","0.378","0.370","0.381","0.370","53.50M","2.90%"
"02/09/2026","0.367","0.364","0.368","0.360","23.27M","1.10%"
"02/08/2026","0.363","0.363","0.367","0.359","13.86M","0.93%"
"02/05/2026","0.360","0.364","0.366","0.360","14.68M","-1.10%"
"02/04/2026","0.364","0.367","0.369","0.361","20.94M","0.18%"
"02/03/2026","0.363","0.359","0.364","0.359","17.09M","1.87%"
"02/02/2026","0.357","0.368","0.372","0.353","36.01M","-2.73%"
"02/01/2026","0.367","0.358","0.369","0.358","4.85M","2.61%"
"01/28/2026","0.357","0.380","0.380","0.357","28.19M","-5.30%"
"01/27/2026","0.377","0.389","0.391","0.364","22.48M","-3.08%"
"01/26/2026","0.389","0.400","0.401","0.389","6.38M","-1.85%"
"01/25/2026","0.397","0.407","0.409","0.395","8.52M","-1.65%"
"01/22/2026","0.403","0.405","0.410","0.403","7.95M","0.00%"
"01/21/2026","0.403","0.401","0.410","0.393","17.07M","0.50%"
"01/20/2026","0.401","0.407","0.408","0.400","5.38M","-1.31%"
"01/19/2026","0.407","0.400","0.407","0.398","6.59M","2.18%"
"01/18/2026","0.398","0.393","0.404","0.393","4.72M","1.36%"
"01/15/2026","0.393","0.391","0.397","0.385","8.38M","0.34%"
"01/14/2026","0.391","0.406","0.407","0.381","9.94M","-3.29%"
"01/13/2026","0.405","0.409","0.411","0.401","10.33M","-0.82%"
"01/12/2026","0.408","0.421","0.423","0.404","14.58M","-2.39%"
"01/11/2026","0.418","0.417","0.427","0.416","4.14M","0.64%"
"01/08/2026","0.415","0.417","0.420","0.413","6.31M","-0.80%"
"01/06/2026","0.419","0.415","0.424","0.415","3.82M","1.13%"
"01/05/2026","0.414","0.423","0.426","0.413","13.05M","-2.20%"
"01/04/2026","0.423","0.429","0.435","0.417","13.37M","-2.01%"
