"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","57.58","49.37","57.58","49.37","1.06M","19.98%"
"06/23/2026","47.99","49.00","49.89","47.85","77.03K","-1.15%"
"06/22/2026","48.55","48.70","49.10","47.88","62.47K","-0.29%"
"06/21/2026","48.69","49.40","50.20","48.57","51.54K","-0.18%"
"06/17/2026","48.78","49.00","50.00","47.80","93.78K","0.81%"
"06/16/2026","48.39","47.00","52.99","46.33","488.89K","4.42%"
"06/15/2026","46.34","47.56","47.56","46.00","68.33K","-1.03%"
"06/14/2026","46.82","48.00","48.54","46.60","51.00K","0.32%"
"06/11/2026","46.67","46.51","48.00","46.51","65.05K","-1.97%"
"06/10/2026","47.61","48.87","50.90","47.51","348.47K","-0.48%"
"06/09/2026","47.84","46.95","50.00","46.50","201.82K","4.45%"
"06/08/2026","45.80","46.47","47.32","45.47","105.51K","-1.40%"
"06/07/2026","46.45","47.85","48.50","46.30","107.84K","-2.89%"
"06/04/2026","47.83","48.01","48.77","47.72","73.56K","-0.06%"
"06/03/2026","47.86","48.52","49.78","47.50","86.34K","-2.25%"
"06/02/2026","48.96","49.55","49.84","47.55","38.04K","0.29%"
"06/01/2026","48.82","48.99","50.85","47.74","110.71K","1.27%"
"05/25/2026","48.21","51.00","51.00","48.11","177.14K","-5.58%"
"05/24/2026","51.06","51.99","52.99","50.00","179.08K","-1.79%"
"05/21/2026","51.99","52.58","52.58","51.00","45.60K","1.15%"
"05/20/2026","51.40","53.07","53.93","51.06","78.27K","-3.07%"
"05/19/2026","53.03","53.16","55.05","53.00","204.24K","-0.04%"
"05/18/2026","53.05","55.80","56.89","52.30","84.21K","-5.25%"
"05/17/2026","55.99","57.00","58.80","55.60","182.74K","-0.81%"
"05/14/2026","56.45","55.50","59.79","55.50","351.31K","3.16%"
"05/13/2026","54.72","55.00","56.39","54.15","109.65K","-1.28%"
"05/12/2026","55.43","56.01","56.79","54.27","164.46K","-0.91%"
"05/11/2026","55.94","55.87","56.50","55.25","46.71K","0.36%"
"05/10/2026","55.74","55.00","57.01","55.00","97.01K","1.35%"
"05/06/2026","55.00","56.00","57.18","54.97","209.10K","-1.49%"
"05/05/2026","55.83","53.00","56.90","52.70","377.38K","4.85%"
"05/04/2026","53.25","49.70","57.80","49.50","1.45M","7.14%"
"05/03/2026","49.70","48.00","49.80","47.61","438.04K","6.88%"
"04/30/2026","46.50","45.90","46.96","45.70","242.60K","2.38%"
"04/29/2026","45.42","45.50","45.90","45.10","44.20K","-0.46%"
"04/28/2026","45.63","45.40","46.25","45.16","67.01K","0.88%"
"04/27/2026","45.23","45.04","45.75","44.93","106.88K","0.31%"
"04/26/2026","45.09","44.77","45.98","44.77","47.26K","0.80%"
"04/23/2026","44.73","45.30","45.70","44.34","37.44K","-0.78%"
"04/22/2026","45.08","44.52","46.00","44.10","202.68K","1.17%"
"04/21/2026","44.56","45.19","45.86","44.32","48.14K","-0.02%"
"04/20/2026","44.57","45.45","45.45","44.50","42.57K","-1.09%"
"04/19/2026","45.06","46.14","46.80","45.00","40.98K","-3.03%"
"04/16/2026","46.47","46.35","47.89","46.27","155.48K","0.06%"
"04/15/2026","46.44","45.49","47.25","45.49","198.42K","3.09%"
"04/14/2026","45.05","44.60","45.69","44.01","110.64K","1.81%"
"04/12/2026","44.25","44.58","44.25","44.25","30.18K","0.00%"
"04/09/2026","44.25","44.60","45.30","43.60","30.18K","-0.74%"
"04/08/2026","44.58","44.48","45.40","44.31","44.33K","0.81%"
"04/07/2026","44.22","44.46","45.30","44.11","72.56K","-0.54%"
"04/06/2026","44.46","44.26","45.00","44.06","46.13K","0.50%"
"04/05/2026","44.24","44.60","45.95","44.21","163.36K","0.20%"
