"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","3.620","3.560","3.780","3.500","218.91K","-1.36%"
"06/22/2026","3.670","3.930","3.930","3.550","57.80K","-0.81%"
"06/17/2026","3.700","3.780","3.850","3.410","392.99K","-3.90%"
"06/15/2026","3.850","3.930","3.930","3.750","203.44K","-2.04%"
"06/10/2026","3.930","3.740","3.990","3.740","234.59K","-0.51%"
"06/08/2026","3.950","3.700","4.000","3.700","448.29K","-3.42%"
"06/03/2026","4.090","4.250","4.300","3.290","642.20K","-2.62%"
"06/01/2026","4.200","4.100","4.250","4.030","157.80K","4.22%"
"05/25/2026","4.030","3.940","4.050","3.800","509.58K","4.68%"
"05/20/2026","3.850","3.440","3.950","3.440","808.63K","11.59%"
"05/18/2026","3.450","3.550","3.550","3.430","145.73K","-0.29%"
"05/13/2026","3.460","3.650","3.660","3.460","264.86K","-3.89%"
"05/11/2026","3.600","3.870","3.870","3.550","265.92K","-6.01%"
"05/06/2026","3.830","3.780","3.920","3.550","378.37K","-0.52%"
"05/04/2026","3.850","3.900","3.900","3.750","133.01K","-1.03%"
"04/29/2026","3.890","3.910","3.940","3.720","332.69K","1.30%"
"04/27/2026","3.840","3.900","3.920","3.840","91.58K","-1.03%"
"04/22/2026","3.880","3.750","3.910","3.500","332.61K","3.47%"
"04/20/2026","3.750","3.570","3.790","3.510","527.33K","4.75%"
"04/15/2026","3.580","3.500","3.580","3.410","248.20K","2.29%"
"04/08/2026","3.500","3.500","3.500","3.420","260.36K","0.00%"
"04/06/2026","3.500","3.450","3.530","3.210","104.78K","1.45%"
"04/01/2026","3.450","3.450","3.450","3.400","63.71K","2.99%"
"03/30/2026","3.350","3.600","3.600","3.260","401.91K","-6.94%"
"03/25/2026","3.600","3.410","3.600","3.410","118.44K","2.27%"
"03/18/2026","3.520","3.570","3.570","3.340","137.73K","-0.56%"
"03/16/2026","3.540","3.570","3.570","3.340","169.57K","-2.21%"
"03/11/2026","3.620","3.520","3.700","3.450","418.45K","2.84%"
"03/09/2026","3.520","3.640","3.660","3.400","242.83K","-3.30%"
"03/04/2026","3.640","3.370","3.700","3.250","535.66K","8.01%"
"03/02/2026","3.370","3.450","3.450","3.330","187.00K","-2.32%"
"02/25/2026","3.450","3.590","3.590","3.250","179.60K","-0.29%"
"02/23/2026","3.460","3.400","3.650","3.400","636.03K","-4.68%"
"02/18/2026","3.630","3.550","3.780","3.520","471.82K","-2.68%"
"02/16/2026","3.730","3.800","3.880","3.500","713.61K","0.81%"
"02/11/2026","3.700","3.160","3.790","3.150","859.54K","17.46%"
"02/09/2026","3.150","3.100","3.170","2.010","2.26M","1.61%"
"02/04/2026","3.100","3.100","3.150","3.050","190.35K","0.32%"
"02/02/2026","3.090","3.030","3.090","3.030","247.55K","2.32%"
"01/28/2026","3.020","3.050","3.160","3.020","389.59K","-4.43%"
"01/26/2026","3.160","3.300","3.350","3.110","400.42K","-5.11%"
"01/21/2026","3.330","3.470","3.470","3.270","157.64K","-1.48%"
"01/19/2026","3.380","3.290","3.390","3.260","200.38K","2.42%"
"01/14/2026","3.300","3.400","3.450","3.250","165.58K","-5.98%"
"01/12/2026","3.510","3.800","3.800","3.500","811.31K","-1.13%"
"01/05/2026","3.550","3.800","3.800","3.450","558.31K","-8.03%"
