"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","82.00","82.00","84.45","81.03","692.54K","0.61%"
"06/23/2026","81.50","86.00","86.00","80.06","1.09M","-3.66%"
"06/22/2026","84.60","81.15","87.45","80.50","2.14M","5.75%"
"06/21/2026","80.00","73.13","80.00","73.13","1.18M","10.03%"
"06/17/2026","72.71","74.53","75.49","72.50","273.99K","-1.82%"
"06/16/2026","74.06","73.45","77.00","73.10","795.32K","0.90%"
"06/15/2026","73.39","71.00","74.43","71.00","555.95K","3.38%"
"06/14/2026","71.00","70.18","71.00","70.03","180.24K","2.89%"
"06/11/2026","69.00","69.53","70.28","69.00","196.66K","-0.77%"
"06/10/2026","69.54","70.78","71.18","69.45","144.62K","-1.81%"
"06/09/2026","70.82","71.51","71.75","70.13","142.68K","-0.96%"
"06/08/2026","71.51","70.00","72.05","69.38","357.56K","2.09%"
"06/07/2026","70.04","70.50","71.22","70.00","149.75K","-0.78%"
"06/04/2026","70.60","71.50","71.50","70.25","126.79K","-1.12%"
"06/03/2026","71.39","71.90","71.90","70.75","189.35K","-0.36%"
"06/02/2026","71.65","71.07","72.49","70.85","180.35K","0.82%"
"06/01/2026","71.07","72.10","72.10","71.00","92.73K","-1.12%"
"05/25/2026","71.88","71.00","72.50","70.75","133.13K","1.23%"
"05/24/2026","71.00","71.40","71.90","70.95","159.45K","-0.05%"
"05/21/2026","71.04","71.50","71.75","70.68","79.72K","0.62%"
"05/20/2026","70.60","72.05","73.25","70.51","135.12K","-1.58%"
"05/19/2026","71.74","70.80","72.89","70.25","337.14K","2.45%"
"05/18/2026","70.02","71.04","71.50","70.00","175.33K","-1.47%"
"05/17/2026","71.07","72.00","72.95","71.00","171.81K","-1.30%"
"05/14/2026","72.00","72.88","73.29","71.79","202.49K","-1.03%"
"05/13/2026","72.75","73.99","73.99","72.00","226.88K","-1.20%"
"05/12/2026","73.63","73.80","74.50","73.00","217.31K","0.03%"
"05/11/2026","73.61","73.50","75.00","73.30","576.31K","0.29%"
"05/10/2026","73.40","74.44","74.75","73.30","267.45K","-0.98%"
"05/06/2026","74.13","75.00","75.00","73.78","319.72K","0.76%"
"05/05/2026","73.57","73.30","74.50","72.80","396.33K","0.03%"
"05/04/2026","73.54","74.01","75.50","73.01","392.30K","-0.61%"
"05/03/2026","74.00","74.33","75.50","74.00","382.47K","-0.44%"
"04/30/2026","74.32","77.19","77.50","74.00","386.22K","-2.84%"
"04/29/2026","76.50","76.76","78.50","76.00","483.57K","0.41%"
"04/28/2026","76.18","74.80","76.95","74.50","607.52K","2.88%"
"04/27/2026","74.05","73.00","76.80","72.00","538.22K","2.75%"
"04/26/2026","72.07","72.75","73.50","71.80","86.05K","-0.71%"
"04/23/2026","72.58","71.00","74.00","70.70","283.65K","2.05%"
"04/22/2026","71.13","72.14","72.50","70.55","201.77K","-1.40%"
"04/21/2026","72.14","72.59","73.38","71.88","210.29K","-0.57%"
"04/20/2026","72.55","73.00","73.97","72.50","199.04K","-0.27%"
"04/19/2026","72.75","74.31","75.00","72.50","231.29K","-2.03%"
"04/16/2026","74.25","76.75","78.93","74.00","689.80K","-2.30%"
"04/15/2026","76.00","71.45","77.50","71.32","937.23K","7.04%"
"04/14/2026","71.00","68.35","71.32","68.00","580.69K","-48.11%"
"04/12/2026","136.82","137.65","136.82","136.82","77.85K","100.00%"
"04/09/2026","68.41","68.86","69.47","68.28","155.71K","-0.60%"
"04/08/2026","68.82","69.25","69.70","68.30","408.61K","1.01%"
"04/07/2026","68.14","69.75","69.86","68.01","429.55K","-6.41%"
"04/06/2026","72.80","72.25","73.13","71.88","489.64K","1.10%"
"04/05/2026","72.01","73.08","74.25","71.51","777.70K","-1.36%"
"04/02/2026","73.00","77.67","80.88","71.83","1.41M","-5.23%"
"04/01/2026","77.03","79.51","83.45","76.50","1.13M","-6.58%"
"03/31/2026","82.45","69.85","82.45","68.50","11.03M","18.04%"
"03/30/2026","69.85","63.49","69.85","62.50","1.57M","10.00%"
"03/29/2026","63.50","59.50","63.85","59.15","1.58M","6.72%"
"03/26/2026","59.50","60.35","60.99","59.10","445.22K","-1.25%"
"03/25/2026","60.26","58.00","60.55","57.75","2.38M","4.48%"
"03/24/2026","57.67","56.00","58.50","56.00","226.46K","0.74%"
"03/18/2026","57.24","57.00","57.50","57.00","6.43M","1.03%"
"03/17/2026","56.66","56.23","57.22","56.16","111.58K","0.76%"
"03/16/2026","56.23","57.31","57.49","55.80","168.50K","-1.89%"
"03/15/2026","57.31","57.50","57.90","55.26","232.78K","0.53%"
"03/12/2026","57.01","57.65","59.25","57.01","614.26K","-0.98%"
"03/11/2026","57.58","56.76","58.50","55.51","300.59K","1.61%"
"03/10/2026","56.66","55.49","56.75","54.63","151.95K","3.83%"
"03/09/2026","54.57","55.08","55.64","54.50","132.75K","-0.88%"
"03/08/2026","55.06","56.00","56.49","54.50","186.04K","-0.80%"
"03/05/2026","55.50","55.55","56.25","55.00","183.36K","0.62%"
"03/04/2026","55.16","56.43","56.50","54.35","218.53K","-1.46%"
"03/03/2026","55.97","56.51","56.97","54.53","118.01K","-0.07%"
"03/02/2026","56.01","55.51","57.25","55.20","518.64K","1.07%"
"03/01/2026","55.42","54.05","56.00","53.86","353.31K","-2.52%"
"02/26/2026","56.85","56.15","57.47","55.00","236.55K","1.53%"
"02/25/2026","56.00","57.50","59.00","55.53","506.27K","-2.93%"
"02/24/2026","57.69","56.51","59.45","55.28","548.61K","2.74%"
"02/23/2026","56.15","52.00","59.75","51.20","845.61K","8.77%"
"02/22/2026","51.63","50.35","52.78","50.35","661.52K","2.56%"
"02/19/2026","50.33","51.49","51.49","50.00","267.89K","-0.84%"
"02/18/2026","50.76","51.50","51.99","50.65","229.79K","-0.82%"
"02/17/2026","51.18","49.75","52.95","49.38","1.69M","3.66%"
"02/16/2026","49.38","50.03","50.90","49.00","691.05K","-1.35%"
"02/15/2026","50.05","49.44","51.13","49.44","683.49K","1.22%"
"02/12/2026","49.44","48.03","49.99","47.51","433.52K","2.48%"
"02/11/2026","48.25","48.05","48.88","48.01","119.33K","-0.52%"
"02/10/2026","48.50","48.02","48.50","47.51","437.63K","0.95%"
"02/09/2026","48.04","48.97","48.97","48.00","232.12K","-1.19%"
"02/08/2026","48.63","49.15","49.42","48.49","137.49K","0.25%"
"02/05/2026","48.51","49.55","49.55","48.47","292.07K","-1.99%"
"02/04/2026","49.49","49.34","49.99","48.72","401.38K","0.51%"
"02/03/2026","49.24","48.90","50.04","48.58","351.71K","-0.49%"
"02/02/2026","49.48","48.50","49.50","48.23","70.62K","1.14%"
"02/01/2026","48.92","48.50","49.40","47.29","636.51K","1.54%"
"01/28/2026","48.18","49.58","50.00","45.75","164.82K","-2.80%"
"01/27/2026","49.57","50.05","50.49","49.15","124.21K","-0.86%"
"01/26/2026","50.00","49.25","50.00","48.70","335.49K","1.77%"
"01/25/2026","49.13","49.49","50.99","48.83","136.71K","-0.24%"
"01/22/2026","49.25","47.15","49.44","47.05","515.72K","4.56%"
"01/21/2026","47.10","46.80","47.44","46.80","63.66K","0.20%"
"01/20/2026","47.01","47.00","47.45","46.75","105.59K","0.43%"
"01/19/2026","46.81","45.65","47.00","45.65","281.89K","1.77%"
"01/18/2026","45.99","46.40","46.40","45.30","55.01K","0.61%"
"01/15/2026","45.71","45.50","46.44","45.17","122.03K","0.53%"
"01/14/2026","45.47","46.42","46.42","45.00","78.94K","-1.33%"
"01/13/2026","46.08","46.01","46.78","45.96","307.67K","0.39%"
"01/12/2026","45.90","45.13","47.00","45.00","1.20M","1.95%"
"01/11/2026","45.03","44.55","45.20","44.05","819.16K","1.07%"
"01/08/2026","44.55","44.04","44.75","44.04","13.62K","0.56%"
"01/06/2026","44.30","44.01","44.92","44.00","50.61K","0.66%"
"01/05/2026","44.01","44.99","44.99","44.00","100.30K","-1.16%"
"01/04/2026","44.53","45.00","45.50","44.25","162.33K","-0.68%"
