"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","15.040","15.040","15.060","14.800","214.85K","0.00%"
"06/23/2026","15.040","15.250","15.290","15.020","219.77K","-1.38%"
"06/22/2026","15.250","15.160","15.280","15.060","231.39K","0.59%"
"06/21/2026","15.160","15.150","15.300","15.060","326.83K","0.66%"
"06/17/2026","15.060","15.170","15.170","15.050","285.54K","-0.53%"
"06/16/2026","15.140","15.030","15.210","15.010","186.50K","0.60%"
"06/15/2026","15.050","15.230","15.380","15.050","266.61K","-1.12%"
"06/14/2026","15.220","15.000","15.450","14.920","304.89K","2.70%"
"06/11/2026","14.820","14.900","15.050","14.800","635.43K","-0.54%"
"06/10/2026","14.900","15.680","15.680","14.900","598.72K","-4.97%"
"06/09/2026","15.680","15.600","15.700","15.510","262.24K","1.10%"
"06/08/2026","15.510","15.520","15.650","15.400","799.25K","0.00%"
"06/07/2026","15.510","15.750","15.800","15.440","374.97K","-2.08%"
"06/04/2026","15.840","15.850","15.900","15.750","417.84K","0.06%"
"06/03/2026","15.830","15.930","16.050","15.800","592.10K","-0.50%"
"06/02/2026","15.910","15.920","16.190","15.800","755.12K","-0.06%"
"06/01/2026","15.920","15.820","16.040","15.650","240.88K","0.63%"
"05/25/2026","15.820","15.970","16.000","15.660","512.48K","-0.19%"
"05/24/2026","15.850","15.900","15.980","15.430","309.78K","0.44%"
"05/21/2026","15.780","15.900","15.900","15.550","1.14M","-0.44%"
"05/20/2026","15.850","16.100","16.250","15.830","834.72K","-1.55%"
"05/19/2026","16.100","16.150","16.490","16.100","1.61M","0.44%"
"05/18/2026","16.030","16.100","16.150","15.900","852.55K","0.00%"
"05/17/2026","16.030","16.280","16.280","16.000","992.69K","-1.60%"
"05/14/2026","16.290","16.410","16.610","16.250","1.25M","-0.67%"
"05/13/2026","16.400","16.330","16.400","16.110","1.68M","0.37%"
"05/12/2026","16.340","16.250","16.420","16.100","1.38M","1.11%"
"05/11/2026","16.160","15.900","16.290","15.840","1.48M","2.02%"
"05/10/2026","15.840","16.000","16.100","15.800","464.03K","-1.00%"
"05/06/2026","16.000","15.960","16.170","15.920","662.09K","0.25%"
"05/05/2026","15.960","16.030","16.220","15.010","1.31M","-1.85%"
"05/04/2026","16.260","16.250","16.340","16.010","1.64M","0.06%"
"05/03/2026","16.250","16.210","16.500","16.210","1.26M","0.49%"
"04/30/2026","16.170","16.450","16.640","16.100","2.75M","-1.40%"
"04/29/2026","16.400","15.890","16.420","15.750","3.41M","3.21%"
"04/28/2026","15.890","15.750","16.020","15.570","3.73M","1.86%"
"04/27/2026","15.600","15.100","15.650","15.030","3.00M","4.00%"
"04/26/2026","15.000","14.750","15.160","14.750","1.42M","1.83%"
"04/23/2026","14.730","14.710","15.000","14.670","1.60M","0.55%"
"04/22/2026","14.650","14.670","14.770","14.590","1.11M","-0.07%"
"04/21/2026","14.660","14.700","14.830","14.620","818.51K","-0.27%"
"04/20/2026","14.700","14.850","14.850","14.680","745.30K","-0.54%"
"04/19/2026","14.780","14.780","14.900","14.750","770.29K","0.20%"
"04/16/2026","14.750","15.150","15.190","14.750","2.57M","-2.25%"
"04/15/2026","15.090","15.100","15.240","14.920","2.33M","2.65%"
"04/14/2026","14.700","14.690","14.800","14.610","1.31M","1.10%"
"04/12/2026","14.540","14.620","14.540","14.540","1.21M","0.00%"
"04/09/2026","14.540","14.790","14.800","14.490","1.21M","-0.55%"
"04/08/2026","14.620","14.800","14.900","14.620","1.11M","0.14%"
"04/07/2026","14.600","14.770","15.090","14.590","1.24M","-1.15%"
"04/06/2026","14.770","14.600","15.200","14.580","1.43M","1.03%"
"04/05/2026","14.620","14.780","14.810","14.500","394.01K","-0.61%"
"04/02/2026","14.710","14.820","14.880","14.670","613.54K","-0.61%"
"04/01/2026","14.800","14.850","14.950","14.730","1.44M","0.61%"
"03/31/2026","14.710","14.400","14.950","14.390","1.08M","2.29%"
"03/30/2026","14.380","15.170","15.280","14.300","1.41M","-4.89%"
"03/29/2026","15.120","15.750","16.000","15.120","937.61K","-4.42%"
"03/26/2026","15.820","16.240","16.310","15.750","556.12K","-2.65%"
"03/25/2026","16.250","16.450","16.500","16.100","614.66K","-0.67%"
"03/24/2026","16.360","16.010","16.450","16.010","827.03K","2.25%"
"03/18/2026","16.000","15.830","16.050","15.650","954.56K","1.07%"
"03/17/2026","15.830","15.400","15.930","15.170","758.62K","2.79%"
"03/16/2026","15.400","15.510","15.650","15.200","303.71K","-0.71%"
"03/15/2026","15.510","15.880","16.500","15.450","388.33K","-1.52%"
"03/12/2026","15.750","16.150","16.250","15.750","649.77K","-0.69%"
"03/11/2026","15.860","15.780","15.930","15.620","577.30K","1.67%"
"03/10/2026","15.600","15.920","15.940","15.400","592.26K","-2.13%"
"03/09/2026","15.940","16.800","16.960","15.750","2.25M","-4.26%"
"03/08/2026","16.650","15.850","16.690","15.620","2.99M","7.77%"
"03/05/2026","15.450","15.690","15.700","15.110","473.37K","-0.32%"
"03/04/2026","15.500","15.710","16.000","15.120","1.59M","0.00%"
"03/03/2026","15.500","14.600","15.500","14.380","1.12M","6.31%"
"03/02/2026","14.580","14.200","14.680","14.120","522.77K","2.17%"
"03/01/2026","14.270","14.000","14.440","13.500","589.40K","-3.06%"
"02/26/2026","14.720","14.750","14.940","14.550","432.54K","0.48%"
"02/25/2026","14.650","15.300","15.380","14.440","1.19M","-3.81%"
"02/24/2026","15.230","15.370","15.600","15.150","619.95K","-0.46%"
"02/23/2026","15.300","15.100","15.400","15.000","551.87K","1.39%"
"02/22/2026","15.090","15.600","15.790","15.010","1.26M","-3.45%"
"02/19/2026","15.630","16.300","16.300","15.460","1.17M","-3.58%"
"02/18/2026","16.210","16.300","16.440","16.130","792.64K","-0.37%"
"02/17/2026","16.270","16.300","16.470","16.100","788.18K","-0.43%"
"02/16/2026","16.340","16.700","16.800","16.210","1.20M","-1.68%"
"02/15/2026","16.620","16.700","16.990","16.520","2.71M","0.85%"
"02/12/2026","16.480","16.860","16.900","16.110","3.24M","-1.32%"
"02/11/2026","16.700","16.730","17.000","15.210","7.03M","-1.53%"
"02/10/2026","16.960","15.310","16.960","15.190","2.00M","10.99%"
"02/09/2026","15.280","15.480","15.610","15.250","616.44K","-0.97%"
"02/08/2026","15.430","15.130","15.620","15.040","1.10M","2.59%"
"02/05/2026","15.040","14.940","15.150","14.750","905.32K","0.67%"
"02/04/2026","14.940","15.100","15.140","14.910","800.82K","-0.47%"
"02/03/2026","15.010","15.180","15.280","14.970","836.85K","-0.92%"
"02/02/2026","15.150","15.220","15.300","15.000","593.10K","-0.20%"
"02/01/2026","15.180","15.250","15.390","14.700","554.38K","-0.07%"
"01/28/2026","15.190","15.440","15.650","15.030","828.89K","-1.81%"
"01/27/2026","15.470","15.660","15.770","15.400","642.98K","-1.15%"
"01/26/2026","15.650","15.910","15.910","15.400","700.24K","-1.63%"
"01/25/2026","15.910","16.040","16.300","15.850","1.17M","-0.25%"
"01/22/2026","15.950","16.150","16.290","15.900","1.06M","-0.99%"
"01/21/2026","16.110","16.110","16.320","15.810","1.76M","0.31%"
"01/20/2026","16.060","15.740","16.060","15.620","1.74M","2.03%"
"01/19/2026","15.740","15.940","15.940","15.500","1.19M","0.58%"
"01/18/2026","15.650","15.100","15.650","15.090","749.72K","4.26%"
"01/15/2026","15.010","15.410","15.700","14.840","1.59M","-2.47%"
"01/14/2026","15.390","16.180","16.250","15.170","2.87M","-4.41%"
"01/13/2026","16.100","15.850","16.420","15.700","6.22M","2.88%"
"01/12/2026","15.650","14.910","15.650","14.750","2.87M","5.10%"
"01/11/2026","14.890","15.340","15.390","14.870","957.40K","-2.10%"
"01/08/2026","15.210","15.500","15.640","15.150","1.10M","-1.49%"
"01/06/2026","15.440","15.280","15.550","15.150","1.64M","1.45%"
"01/05/2026","15.220","14.800","15.220","14.610","2.61M","4.89%"
"01/04/2026","14.510","14.320","14.550","14.210","406.43K","2.11%"
