"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","36.30","36.72","36.89","33.91","128.07K","-1.36%"
"06/23/2026","36.80","37.46","37.46","36.45","135.02K","-0.51%"
"06/22/2026","36.99","37.50","37.80","36.51","329.72K","-1.36%"
"06/21/2026","37.50","37.05","38.29","37.00","415.11K","1.43%"
"06/17/2026","36.97","35.90","38.00","35.75","1.02M","3.56%"
"06/16/2026","35.70","36.18","36.46","35.70","216.90K","-0.67%"
"06/15/2026","35.94","35.00","36.60","34.93","937.97K","3.07%"
"06/14/2026","34.87","34.49","35.00","34.06","295.72K","4.09%"
"06/11/2026","33.50","34.23","34.48","33.00","295.72K","-2.36%"
"06/10/2026","34.31","35.30","35.70","34.30","704.44K","-2.31%"
"06/09/2026","35.12","34.46","35.47","34.46","923.89K","2.54%"
"06/08/2026","34.25","34.05","34.28","33.70","462.02K","1.27%"
"06/07/2026","33.82","33.68","34.00","33.21","278.05K","0.24%"
"06/04/2026","33.74","33.98","34.00","33.56","161.15K","-0.53%"
"06/03/2026","33.92","33.80","34.28","33.52","379.54K","0.86%"
"06/02/2026","33.63","33.27","33.99","33.11","721.63K","1.85%"
"06/01/2026","33.02","33.20","33.79","32.90","466.31K","0.64%"
"05/25/2026","32.81","33.00","33.22","32.61","199.25K","-0.58%"
"05/24/2026","33.00","32.66","33.35","32.64","176.06K","1.10%"
"05/21/2026","32.64","33.00","33.29","32.31","123.17K","-0.76%"
"05/20/2026","32.89","33.50","33.79","32.60","323.23K","-1.67%"
"05/19/2026","33.45","33.41","34.00","33.25","440.59K","1.36%"
"05/18/2026","33.00","34.59","34.88","33.00","395.01K","-4.57%"
"05/17/2026","34.58","34.89","35.58","34.56","470.20K","-0.55%"
"05/14/2026","34.77","34.52","34.84","34.20","162.13K","1.64%"
"05/13/2026","34.21","34.90","35.15","34.20","345.87K","-1.98%"
"05/12/2026","34.90","35.58","35.79","33.51","576.88K","-1.66%"
"05/11/2026","35.49","34.92","35.86","34.90","439.91K","1.84%"
"05/10/2026","34.85","34.49","34.90","34.30","385.10K","1.93%"
"05/06/2026","34.19","34.47","34.49","33.95","272.70K","0.06%"
"05/05/2026","34.17","34.20","34.79","34.09","212.95K","-1.92%"
"05/04/2026","34.84","34.50","34.90","33.80","539.84K","0.52%"
"05/03/2026","34.66","34.50","34.85","34.00","494.13K","1.70%"
"04/30/2026","34.08","32.99","34.40","32.99","956.21K","3.34%"
"04/29/2026","32.98","33.31","33.31","32.91","339.04K","-0.48%"
"04/28/2026","33.14","33.46","33.46","32.91","751.41K","0.06%"
"04/27/2026","33.12","33.32","33.75","32.89","1.01M","0.33%"
"04/26/2026","33.01","32.21","33.30","32.20","667.55K","2.52%"
"04/23/2026","32.20","32.23","32.46","32.03","287.04K","0.06%"
"04/22/2026","32.18","32.03","32.29","32.02","102.11K","0.09%"
"04/21/2026","32.15","32.10","32.49","32.00","84.49K","0.25%"
"04/20/2026","32.07","32.75","32.77","32.00","115.20K","-1.60%"
"04/19/2026","32.59","32.60","32.75","32.45","87.73K","0.46%"
"04/16/2026","32.44","32.75","32.78","32.36","176.42K","0.12%"
"04/15/2026","32.40","32.40","32.76","32.35","73.94K","0.65%"
"04/14/2026","32.19","32.15","32.93","31.82","69.36K","0.34%"
"04/12/2026","32.08","32.45","32.08","32.08","206.55K","0.00%"
"04/09/2026","32.08","32.50","32.94","31.91","206.55K","-1.14%"
"04/08/2026","32.45","32.89","33.40","32.44","361.24K","1.50%"
"04/07/2026","31.97","31.60","32.94","31.50","400.15K","1.59%"
"04/06/2026","31.47","31.63","31.73","30.65","79.20K","0.93%"
"04/05/2026","31.18","31.58","31.88","30.74","51.10K","-0.92%"
"04/02/2026","31.47","31.50","31.66","31.33","24.05K","-0.10%"
"04/01/2026","31.50","31.17","31.69","31.01","39.31K","1.06%"
"03/31/2026","31.17","30.83","31.76","30.75","40.47K","0.42%"
"03/30/2026","31.04","31.50","31.90","30.70","81.94K","-1.34%"
"03/29/2026","31.46","31.65","31.88","31.40","30.86K","-1.04%"
"03/26/2026","31.79","32.01","32.25","31.70","61.88K","-0.66%"
"03/25/2026","32.00","32.20","32.24","31.84","144.51K","0.53%"
"03/24/2026","31.83","32.50","32.95","31.62","103.03K","-1.70%"
"03/18/2026","32.38","32.87","32.87","32.15","74.32K","0.12%"
"03/17/2026","32.34","32.59","32.93","32.02","12.08K","-0.43%"
"03/16/2026","32.48","32.99","32.99","32.02","48.79K","-1.10%"
"03/15/2026","32.84","33.20","33.59","32.82","44.95K","-0.48%"
"03/12/2026","33.00","32.70","33.95","32.30","1.23M","1.95%"
"03/11/2026","32.37","32.30","32.74","31.85","39.58K","0.81%"
"03/10/2026","32.11","32.09","32.26","31.71","27.27K","1.49%"
"03/09/2026","31.64","32.35","32.45","31.60","55.47K","-1.43%"
"03/08/2026","32.10","32.15","32.76","31.99","43.79K","0.34%"
"03/05/2026","31.99","31.75","32.20","31.50","34.14K","2.01%"
"03/04/2026","31.36","31.55","32.32","31.06","51.56K","-0.35%"
"03/03/2026","31.47","31.71","32.20","31.33","249.80K","-0.66%"
"03/02/2026","31.68","31.70","32.44","31.42","42.73K","-0.03%"
"03/01/2026","31.69","31.01","32.50","31.01","102.70K","-3.68%"
"02/26/2026","32.90","32.79","33.43","32.60","35.74K","0.21%"
"02/25/2026","32.83","34.00","34.50","32.51","117.76K","-3.47%"
"02/24/2026","34.01","34.78","34.85","33.51","97.61K","-0.99%"
"02/23/2026","34.35","34.00","35.00","33.11","191.47K","1.99%"
"02/22/2026","33.68","34.26","34.93","33.60","60.54K","-1.69%"
"02/19/2026","34.26","35.30","35.50","34.25","663.84K","-2.95%"
"02/18/2026","35.30","32.91","35.30","32.91","397.09K","6.97%"
"02/17/2026","33.00","32.80","33.50","32.70","114.73K","0.18%"
"02/16/2026","32.94","33.50","34.20","32.76","191.45K","-1.70%"
"02/15/2026","33.51","33.36","34.05","33.05","116.21K","1.82%"
"02/12/2026","32.91","33.18","33.40","32.76","36.19K","0.09%"
"02/11/2026","32.88","34.00","34.23","32.63","197.88K","-3.29%"
"02/10/2026","34.00","33.95","34.13","33.53","90.95K","1.58%"
"02/09/2026","33.47","33.80","34.14","33.25","60.52K","-0.92%"
"02/08/2026","33.78","33.80","34.49","33.60","85.98K","0.06%"
"02/05/2026","33.76","34.10","34.25","33.50","192.60K","-0.71%"
"02/04/2026","34.00","35.45","35.89","33.80","825.75K","-4.04%"
"02/03/2026","35.43","35.30","37.00","34.90","401.85K","0.34%"
"02/02/2026","35.31","34.48","35.45","32.00","216.85K","3.58%"
"02/01/2026","34.09","34.00","34.79","33.75","38.81K","-0.58%"
"01/28/2026","34.29","34.51","35.19","33.71","629.03K","-0.23%"
"01/27/2026","34.37","35.49","36.50","34.15","569.17K","-3.18%"
"01/26/2026","35.50","34.00","35.56","33.82","1.42M","4.41%"
"01/25/2026","34.00","33.99","34.30","33.00","492.76K","1.71%"
"01/22/2026","33.43","33.30","33.90","33.02","121.48K","0.48%"
"01/21/2026","33.27","32.79","35.00","32.25","1.01M","3.32%"
"01/20/2026","32.20","32.08","32.48","31.58","396.68K","1.00%"
"01/19/2026","31.88","30.89","33.00","30.46","1.23M","4.66%"
"01/18/2026","30.46","30.60","31.45","30.08","483.89K","2.15%"
"01/15/2026","29.82","32.63","32.80","29.00","1.26M","-8.50%"
"01/14/2026","32.59","33.57","34.30","32.50","205.63K","-1.66%"
"01/13/2026","33.14","34.25","34.25","33.00","195.94K","-2.07%"
"01/12/2026","33.84","35.32","35.32","33.75","206.06K","-2.93%"
"01/11/2026","34.86","35.91","37.00","34.51","257.69K","-2.19%"
"01/08/2026","35.64","36.75","37.00","35.47","244.60K","-3.41%"
"01/06/2026","36.90","35.38","39.55","35.37","2.33M","4.59%"
"01/05/2026","35.28","35.29","35.30","34.00","217.55K","0.06%"
"01/04/2026","35.26","33.27","35.44","33.25","198.64K","6.08%"
