"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2024","20.00","19.80","20.00","20.00","","0.00%"
"09/03/2024","20.00","19.80","19.86","19.00","0.03K","0.00%"
"09/02/2024","20.00","19.00","20.00","20.00","","0.00%"
"09/01/2024","20.00","19.00","20.00","20.00","","0.00%"
"08/31/2024","20.00","19.00","20.00","20.00","","0.00%"
"08/29/2024","20.00","19.00","20.00","20.00","","0.00%"
"08/28/2024","20.00","19.00","20.00","20.00","","0.00%"
"08/27/2024","20.00","19.00","20.00","20.00","","5.26%"
"08/26/2024","19.00","19.00","19.90","18.05","0.40K","0.00%"
"08/22/2024","19.00","19.90","19.90","19.90","0.16K","0.00%"
"08/21/2024","19.00","19.00","19.00","19.00","0.02K","0.00%"
"08/19/2024","19.00","19.94","19.94","19.50","0.08K","0.00%"
"08/18/2024","19.00","19.50","19.55","19.50","1.05K","0.00%"
"08/15/2024","19.00","19.50","19.95","19.50","0.26K","0.00%"
"08/14/2024","19.00","19.48","19.95","19.48","7.35K","0.00%"
"08/13/2024","19.00","19.95","19.95","19.50","0.25K","0.00%"
"08/12/2024","19.00","19.55","19.95","19.55","0.45K","0.00%"
"08/11/2024","19.00","19.25","19.48","19.25","0.29K","0.00%"
"08/08/2024","19.00","19.49","19.50","19.20","1.49K","0.00%"
"08/07/2024","19.00","19.25","19.50","19.25","5.34K","0.00%"
"08/06/2024","19.00","19.45","19.45","18.45","0.29K","0.00%"
"08/01/2024","19.00","18.63","19.50","18.62","0.65K","0.00%"
"07/30/2024","19.00","18.45","19.50","18.45","0.37K","0.00%"
"07/29/2024","19.00","18.44","19.50","18.43","0.69K","0.00%"
"07/28/2024","19.00","18.43","19.00","18.43","0.10K","0.00%"
"07/24/2024","19.00","19.55","19.55","19.55","0.01K","0.00%"
"07/23/2024","19.00","18.42","19.59","18.42","0.87K","0.00%"
"07/22/2024","19.00","18.43","18.43","18.42","0.04K","0.00%"
"07/21/2024","19.00","18.41","19.45","18.41","0.71K","0.00%"
"07/18/2024","19.00","19.47","19.47","18.40","0.08K","0.00%"
"07/17/2024","19.00","18.42","19.50","18.39","0.48K","0.00%"
"07/16/2024","19.00","19.18","19.60","18.41","0.29K","0.00%"
"07/14/2024","19.00","19.17","19.18","19.15","0.85K","0.00%"
"07/10/2024","19.00","19.17","19.17","18.40","0.07K","0.00%"
"07/09/2024","19.00","18.41","19.17","18.40","0.22K","0.00%"
"07/08/2024","19.00","18.42","19.17","18.41","0.36K","0.00%"
"07/07/2024","19.00","18.41","18.41","18.40","0.63K","0.00%"
"07/04/2024","19.00","18.99","19.00","18.99","0.06K","0.00%"
"07/03/2024","19.00","18.37","19.90","18.36","0.49K","0.00%"
"07/02/2024","19.00","19.00","19.00","18.46","0.42K","0.00%"
"07/01/2024","19.00","19.00","19.00","19.00","","0.00%"
"06/27/2024","19.00","18.50","19.90","18.25","3.34K","0.00%"
"06/26/2024","19.00","18.05","19.00","18.05","0.70K","0.00%"
"06/25/2024","19.00","19.00","19.00","19.00","701.22K","-5.00%"
"06/24/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/23/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/13/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/12/2024","20.00","19.00","19.00","19.00","0.55K","0.00%"
"06/11/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/10/2024","20.00","19.00","19.00","19.00","0.00K","0.00%"
"06/09/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/06/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/05/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/04/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/03/2024","20.00","20.00","20.00","20.00","","0.00%"
"06/02/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/30/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/29/2024","20.00","19.00","19.00","19.00","0.02K","0.00%"
"05/28/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/27/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/26/2024","20.00","19.00","19.00","19.00","0.01K","0.00%"
"05/23/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/22/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/21/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/20/2024","20.00","20.00","20.00","20.00","","0.00%"
"05/19/2024","20.00","19.00","19.00","19.00","0.40K","0.00%"
"05/16/2024","20.00","17.88","17.88","16.23","0.13K","0.00%"
"05/15/2024","20.00","16.23","16.23","16.23","0.01K","0.00%"
"05/14/2024","20.00","16.23","17.99","16.23","0.17K","0.00%"
"05/13/2024","20.00","16.30","17.00","16.23","0.07K","0.00%"
"05/12/2024","20.00","16.50","18.50","16.23","1.43K","0.00%"
"05/09/2024","20.00","16.05","18.50","16.02","1.92K","0.00%"
"05/08/2024","20.00","16.50","17.80","16.00","0.70K","0.00%"
"05/07/2024","20.00","17.39","17.39","17.39","0.23K","0.00%"
"05/02/2024","20.00","16.10","17.39","16.10","0.07K","0.00%"
"05/01/2024","20.00","16.13","17.90","16.02","0.19K","0.00%"
"04/30/2024","20.00","16.24","17.00","16.14","1.22K","0.00%"
"04/29/2024","20.00","17.00","17.00","16.23","0.66K","0.00%"
"04/28/2024","20.00","17.00","17.10","16.13","0.27K","0.00%"
"04/24/2024","20.00","20.00","18.40","16.08","1.31K","0.00%"
"04/23/2024","20.00","20.00","18.62","17.00","0.45K","0.00%"
"04/22/2024","20.00","20.00","17.98","17.50","1.06K","0.00%"
"04/21/2024","20.00","20.00","18.00","17.53","0.10K","0.00%"
"04/18/2024","20.00","20.00","18.62","17.53","0.48K","0.00%"
"04/17/2024","20.00","20.00","18.40","17.51","0.30K","0.00%"
"04/16/2024","20.00","20.00","18.38","18.30","0.25K","0.00%"
"04/15/2024","20.00","20.00","18.62","17.50","0.17K","0.00%"
"04/08/2024","20.00","20.00","18.65","17.50","0.39K","0.00%"
"04/07/2024","20.00","20.00","18.85","16.76","0.58K","0.00%"
"04/04/2024","20.00","20.00","18.97","16.81","0.56K","0.00%"
"04/03/2024","20.00","20.00","17.99","16.61","0.84K","0.00%"
"04/02/2024","20.00","20.00","18.99","16.60","1.18K","0.00%"
"04/01/2024","20.00","20.00","18.99","16.50","0.79K","0.00%"
"03/31/2024","20.00","20.00","18.98","16.33","0.54K","0.00%"
"03/28/2024","20.00","20.00","19.00","16.00","0.67K","0.00%"
"03/27/2024","20.00","20.00","18.09","17.50","0.83K","0.00%"
"03/26/2024","20.00","20.00","18.10","17.61","0.48K","0.00%"
"03/25/2024","20.00","20.00","18.09","17.51","0.27K","0.00%"
"03/24/2024","20.00","20.00","18.10","17.51","0.26K","0.00%"
"03/21/2024","20.00","20.00","18.47","17.51","0.12K","0.00%"
"03/20/2024","20.00","20.00","18.50","17.50","0.75K","0.00%"
"03/19/2024","20.00","20.00","18.51","17.50","0.39K","0.00%"
"03/18/2024","20.00","20.00","18.14","17.50","0.24K","0.00%"
"03/17/2024","20.00","20.00","18.15","17.53","0.24K","0.00%"
"03/14/2024","20.00","20.00","18.00","17.53","0.25K","0.00%"
