"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","29.640","29.610","29.980","28.020","484.30K","0.10%"
"06/23/2026","29.610","30.380","30.380","29.200","468.52K","-2.53%"
"06/22/2026","30.380","30.220","32.000","29.650","891.83K","0.53%"
"06/21/2026","30.220","30.000","30.590","29.820","895.58K","0.73%"
"06/17/2026","30.000","30.100","30.690","29.550","1.05M","-0.50%"
"06/16/2026","30.150","30.100","36.450","29.190","4.73M","-0.76%"
"06/15/2026","30.380","30.750","30.750","29.950","770.05K","-1.11%"
"06/14/2026","30.720","30.490","31.400","30.420","1.22M","1.09%"
"06/11/2026","30.390","29.610","30.960","29.500","1.69M","1.98%"
"06/10/2026","29.800","30.150","30.150","29.230","566.10K","-0.63%"
"06/09/2026","29.990","28.820","30.460","28.270","2.25M","4.13%"
"06/08/2026","28.800","29.200","29.300","28.110","1.91M","-1.37%"
"06/07/2026","29.200","27.790","29.600","27.790","1.54M","5.42%"
"06/04/2026","27.700","27.000","27.940","26.830","1.19M","2.78%"
"06/03/2026","26.950","26.490","26.980","26.220","1.05M","1.89%"
"06/02/2026","26.450","26.150","26.470","25.990","784.45K","0.72%"
"06/01/2026","26.260","26.400","26.990","25.950","840.28K","-0.23%"
"05/25/2026","26.320","26.130","26.400","25.790","854.89K","0.65%"
"05/24/2026","26.150","25.110","27.900","25.100","2.69M","3.98%"
"05/21/2026","25.150","24.450","25.350","24.050","1.50M","3.07%"
"05/20/2026","24.400","24.420","24.500","23.900","741.64K","0.08%"
"05/19/2026","24.380","24.300","24.390","23.600","1.25M","1.16%"
"05/18/2026","24.100","23.600","24.800","23.400","1.99M","2.55%"
"05/17/2026","23.500","23.400","23.730","23.100","1.10M","2.17%"
"05/14/2026","23.000","23.000","23.480","22.700","2.54M","2.22%"
"05/13/2026","22.500","22.700","24.000","22.080","2.83M","-2.09%"
"05/12/2026","22.980","20.850","23.000","20.660","1.75M","10.22%"
"05/11/2026","20.850","20.240","21.100","20.150","3.05M","3.01%"
"05/10/2026","20.240","20.490","20.750","19.800","2.61M","0.20%"
"05/06/2026","20.200","19.600","20.490","19.520","9.81M","3.86%"
"05/05/2026","19.450","19.070","19.770","19.050","2.23M","2.37%"
"05/04/2026","19.000","19.200","19.400","18.900","2.29M","-0.37%"
"05/03/2026","19.070","19.300","19.450","18.800","1.05M","-0.63%"
"04/30/2026","19.190","18.600","19.260","18.590","3.44M","2.95%"
"04/29/2026","18.640","18.530","19.180","18.130","2.40M","0.92%"
"04/28/2026","18.470","17.450","18.680","17.200","5.51M","6.76%"
"04/27/2026","17.300","17.080","17.400","16.850","1.33M","1.35%"
"04/26/2026","17.070","16.510","17.320","16.510","3.10M","4.09%"
"04/23/2026","16.400","15.730","16.400","15.510","5.32M","6.63%"
"04/22/2026","15.380","15.000","15.880","14.850","3.33M","3.29%"
"04/21/2026","14.890","14.690","15.150","14.550","1.18M","1.36%"
"04/20/2026","14.690","14.830","14.890","14.520","389.40K","-0.74%"
"04/19/2026","14.800","14.990","15.280","14.700","879.17K","-1.33%"
"04/16/2026","15.000","14.610","15.390","14.520","2.25M","3.45%"
"04/15/2026","14.500","14.000","14.710","14.000","1.84M","2.33%"
"04/14/2026","14.170","14.090","14.220","13.930","606.02K","0.43%"
"04/12/2026","14.110","14.200","14.110","14.110","557.25K","0.00%"
"04/09/2026","14.110","14.300","14.370","14.000","557.25K","-0.63%"
"04/08/2026","14.200","14.180","14.480","14.110","2.09M","0.92%"
"04/07/2026","14.070","13.740","14.250","13.700","2.17M","2.55%"
"04/06/2026","13.720","13.470","13.750","13.420","450.81K","2.01%"
"04/05/2026","13.450","13.360","13.650","13.360","464.38K","1.28%"
"04/02/2026","13.280","12.950","13.500","12.840","800.55K","2.71%"
"04/01/2026","12.930","12.850","13.110","12.850","271.12K","0.94%"
"03/31/2026","12.810","12.800","13.000","12.720","275.68K","-0.31%"
"03/30/2026","12.850","13.140","13.220","12.750","437.91K","-1.31%"
"03/29/2026","13.020","13.340","13.590","13.000","414.35K","-2.11%"
"03/26/2026","13.300","13.900","13.970","13.220","940.80K","-2.99%"
"03/25/2026","13.710","13.310","14.100","13.310","2.24M","3.16%"
"03/24/2026","13.290","13.000","13.510","13.000","975.37K","2.55%"
"03/18/2026","12.960","12.930","13.090","12.870","144.10K","0.23%"
"03/17/2026","12.930","12.940","13.100","12.680","313.68K","1.09%"
"03/16/2026","12.790","13.270","13.370","12.750","422.36K","-2.52%"
"03/15/2026","13.120","13.520","13.580","13.080","210.19K","-2.74%"
"03/12/2026","13.490","13.830","13.830","13.470","202.27K","-1.17%"
"03/11/2026","13.650","13.750","13.950","13.550","317.71K","-0.44%"
"03/10/2026","13.710","13.730","14.000","13.650","538.23K","0.51%"
"03/09/2026","13.640","13.660","13.740","13.410","383.05K","-0.15%"
"03/08/2026","13.660","13.100","13.800","13.000","826.23K","4.27%"
"03/05/2026","13.100","13.100","13.290","13.020","323.73K","0.23%"
"03/04/2026","13.070","12.850","13.240","12.680","571.49K","2.59%"
